{'短评内容': '真的挺好，老板非常好，', '短评打分': 5}
{'短评内容': '老板好好人，服务周到，很有礼貌，到丽江一定要到这间酒店玩玩，热水充足，但门锁坏，要小心小心。总括来说都很不错', '短评打分': 5}
{'短评内容': '挺不错的，推介你们来', '短评打分': 5}
{'短评内容': '挺好的不错 下次再来', '短评打分': 5}
{'短评内容': '地理位置很优，在古城外围，不需要古城维护费可以。房间的装修和设施有些陈旧了，行程紧凑的可以考虑。去哪都方便。', '短评打分': 5}
{'短评内容': '酒店位置很好，老板也很热情，交通便利。', '短评打分': 5}
{'短评内容': '还不错，丽江的第一晚就住这里。', '短评打分': 5}
{'短评内容': '房间挺大的，在山脚下，风景不错，但是稍微离闹街有点远，不过很安静！来这边很少遇到东北的，居然遇到老乡很亲切！', '短评打分': 5}
{'短评内容': '“充满人情味的客栈”即是标语，更是实质。温馨体贴的服务就像一杯温酒、一位老友，让我们忘却了旅人的身份，误以为到达了旅途的尽头。', '短评打分': 5}
{'短评内容': '还可以的客栈，靠丽江古城近', '短评打分': 4}
{'短评内容': '酒店在古城内，硬件设施不错。但是，订单上说好的早餐呢？', '短评打分': 5}
{'短评内容': '很不错，酒店安静，工作人员服务热情，主要床很舒适，棒棒的', '短评打分': 5}
{'短评内容': '老板人超级好，酒店很不错，不擅长表达，反正值得选择～', '短评打分': 5}
{'短评内容': '很好环境，一群年轻人，热情轻松，去木府都方便，下次还来。', '短评打分': 5}
{'短评内容': '挺好的客栈，交通方便，一群可爱的青年人', '短评打分': 3}
