{'短评内容': '破几把空调没法用', '短评打分': 3}
{'短评内容': '总体一般', '短评打分': 3}
{'短评内容': '建议去旁边的禧龙住吧', '短评打分': 1}
{'短评内容': '还行，当时没暖气冷点，服务人员少等候很长时间才入住。', '短评打分': 4}
{'短评内容': '就是服务有点乱', '短评打分': 4}
{'短评内容': '卫生还可以吧 赶上装修 服务不错 临街也不是很吵 比较满意 价位不高', '短评打分': 5}
{'短评内容': '卫生差，客房环境差，还有的房间租出去给个体和公司当办公室，牙科之类的，房间卫生非常差，装修也很老旧，空调口是个大洞都能看到里面的墙体和电线', '短评打分': 2}
{'短评内容': '环境一般', '短评打分': 5}
{'短评内容': '环境一般吧', '短评打分': 5}
{'短评内容': '住宿条件一般', '短评打分': 4}
{'短评内容': '推荐，大家来住住，房间够大。', '短评打分': 3}
{'短评内容': '所有房间消费均不计入房价  不可开发票 下次未必会来了', '短评打分': 5}
{'短评内容': '感觉不错，出差鹤岗就住这里', '短评打分': 3}
{'短评内容': '环境还可以，这个价位有点偏贵', '短评打分': 5}
