{'短评内容': '得改进改善服务质量及服务态度', '短评打分': 2}
{'短评内容': '非常棒！', '短评打分': 5}
{'短评内容': '有史以来第一次入住这样的酒店，首先服务太差。整个酒店就几个老年服务员，房间里热冷龙头安装相反，也没有安民告示，而且一直放不出热水，因此晚上连澡也不敢洗，本想打电话，但是前台和总机一直没有人接电话。要不是携程网有10+1奖励，绝对不会去那里，花了281元，这样的航空酒店也太差了，感觉连连锁酒店都不如，真是无语，很不爽！', '短评打分': 3}
{'短评内容': '没早餐，不适合带孩子，位置还行。这是出来旅游入住最差的房间，没有之一，又小又憋屈，靠路太近。早起吵得睡不舒服，只有两层，就是杭州的贫民窟', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '干净卫生，闹中取静', '短评打分': 5}
{'短评内容': '酒店有直达机场大巴，很适合商务出行人士，赶飞机首选。可惜的是第二次来杭州想再次入住，发现已关门了？', '短评打分': 3}
{'短评内容': '酒店管理欠缺、还得不断改进改善', '短评打分': 3}
{'短评内容': '交通方便，机场大巴就在门口', '短评打分': 5}
{'短评内容': '环境好，服务好，价格很实惠，网上订方便', '短评打分': 5}
{'短评内容': '机场大巴就是在酒店门口，要去机场的超级方便，酒店新装修过，内部布局还很新，完全可以', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '楼下就是机场快线，乘飞机不用赶早', '短评打分': 5}
{'短评内容': '离机场大巴很近，出门就是', '短评打分': 5}
{'短评内容': '入住此店主要考虑是坐机场大巴到浦东机场。价格不错，但设施、卫生、服务都一般。好在只是赶早班大巴去浦东，也就将就了。', '短评打分': 3}
{'短评内容': '房间很舒服，卫生很好', '短评打分': 3}
{'短评内容': '完全的市中心，交通方便，附近买吃的东西的店较多，房间还算可以。但是退房的早上看到好大一直蟑螂，感觉不好了。', '短评打分': 5}
{'短评内容': '地点好，去机场方便，机场大巴就在门口。但是太旧，房间小，不能烧水，没有电吹风。枕套看着有点脏。其他还行，还有晾衣架', '短评打分': 3}
{'短评内容': '房间旧，卫生一般，服务一般，还有蚊子，以后不会住这间。', '短评打分': 1}
{'短评内容': '下了机场大巴就是酒店，市中心交通方便，设施算一般吧。', '短评打分': 5}
{'短评内容': '很好！位置很便利！离西湖近周围还可以逛街！态度也很好！除了有一点点小！不过很干净！', '短评打分': 3}
