{'descr': '太热没空调', 'star': 3}
{'descr': '不怎么样', 'star': 1}
{'descr': '住这个酒店绝对是我有生以来最可怕的经历！房间大得可怕，里面设施又脏又破！卫生间大，破！经常没有热水！无言以对！', 'star': 1}
{'descr': '位置很好，交通方便，靠近商业区。关键是老板很好，热情爽快。', 'star': 5}
{'descr': '环境，服务都不错，带狗狗去是个好选择', 'star': 5}
{'descr': '被携程临时调剂的，太让人失望了。连热水澡都没得洗，还328的豪华间呢，设备非常少，陈旧，桌子都是胶布粘的。早餐就是农家乐的3个菜，一筐花卷。最后开发票也很周折，花了半小时才开好，水单也没有，出差报销比较麻烦。这次在携程上定酒店，实在失望极了', 'star': 2}
{'descr': '唯一的优点是暖和，在大降温的天气里比什么都好', 'star': 3}
{'descr': '卫生、设施一般，地理位置较好，服务态度可以。', 'star': 3}
{'descr': '酒店环境一般，服务一般，卫生一般', 'star': 1}
{'descr': '设施陈旧，该维修了。地点很好，很方便。服务一般。前台很热情。', 'star': 3}
{'descr': '设施陈旧老化，价格偏高', 'star': 2}
{'descr': '价格便宜，地理位置不错，希望设备和服务能有改进。', 'star': 4}
{'descr': '真没见过如此糟糕的酒店。给我的房间是403号，当我打开房间门时，我都吃惊了，三个女服务员躺在床上边看电视边聊天；看见我进来她们也很吃惊，不仅没有对她们这种行为感到羞愧，反而还责怪前台没有给她们通知，然后才匆忙地给我换床单和枕套，而且只换了一个枕头的枕套；没有早餐，前台说对门就是黑河市最好的早餐店了，我到走也没有发现；更为糟糕的是结账后居然说没有发票，说下个月初领了以后再给我邮过来。真是令我非常地不', 'star': 1}
{'descr': '设施陈旧，房间狭小，卫生一般，淋浴水流小，价格高，质价不相符。', 'star': 1}
{'descr': '距离中央街较近，位置不错。但设施陈旧，服务一般，性价比不高。', 'star': 1}
{'descr': '服务水平一般，酒店设施陈旧，上不了网，价格与实际条件相差很大，位置还不错，离江边很近。总之不能令人满意.', 'star': 1}
{'descr': '不错！住的还可以，酒店有点陈旧，价格也可以，就是早餐不那么令人满意！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '早上七点多下的火车，打的很快就到了酒店，后天知道黑河市区不大。前台很快给办理了手续。八点左右入住的吧！大床房，。酒店设施之类还算可以的吧。比较干净！稍作休息，就出门了，距离商业步行街很近，。两百米。距离黑龙江江边也就不到一公里。江边对面就是俄罗斯！', 'star': 5}
