{'短评内容': '多次入住了，一个字“好”。', '短评打分': 5}
{'短评内容': '挺好的，干净，安静', '短评打分': 5}
{'短评内容': '周边还算可以了，住了3天，地毯没有每月清洗，其他的都过得去！附近环境估计比较偏的原因比较少酒店！吃饭比较方便，挨着沃尔玛！看电影购物都可以', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '酒店卫生糟糕，关键是服务超级垃圾！前台完全没有任何服务意识！', '短评打分': 1}
{'短评内容': '很一般的住宿体验', '短评打分': 3}
{'短评内容': '第二次入住，一如既往的选择，本酒店整体环境对于在大兴开发区来办事的商务人员还是适合的，我去的刚好价格能接受', '短评打分': 5}
{'短评内容': '不错，以后继续选择，这家酒店虽然距离办事的地方较远，但是价格合理还包含两份早餐，早餐也比较满意，适合在开发区办事的入住', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '窗户大多无窗，房间味道有些霉味，空间算不小，配置装修还可以，人员服务虽然热枕但训练仍不足，酒店附近有商城，交通算便利', '短评打分': 3}
{'短评内容': '房间干净，服务好', '短评打分': 5}
{'短评内容': '手机没有信号', '短评打分': 1}
{'短评内容': '只是屋里太冷了', '短评打分': 5}
{'短评内容': '不错，总的来说比较满意，干净，服务也不错。就是房间没有窗子，懒得换了。', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 2}
{'短评内容': '酒店前台服务特别好！', '短评打分': 5}
