{'短评内容': '服务让人记忆犹新，有一种家的感觉', '短评打分': 5}
{'短评内容': '酒店服务特别好，有家的感觉', '短评打分': 5}
{'短评内容': '非常好的设施，一流的服务，入住后658号服务员还提供擦鞋服务，感到温馨和舒心。早餐非常棒，是住过的酒店里最好的早餐了。下次还会入住，也是积极推荐的一家酒店。', '短评打分': 5}
{'短评内容': '确实不错，好像兵团4师的酒店，离南站步行10分钟左右，距离机场打车半小时，早餐还可以，房间有送的水果。', '短评打分': 5}
{'短评内容': '只能说这次出行选择伊犁大酒店入住是明智之举。登记时的亲切问候、一杯热茶冲淡了旅途疲劳。进房间一声你好一盘水果，干净整洁的房间，温馨的布置，服务员的热情服务犹如回家的感觉，出行入住伊犁大酒店是最佳选择！', '短评打分': 5}
{'短评内容': '房间不错，服务也可以，暖气很热', '短评打分': 5}
{'短评内容': '酒店服务好，整体卫生干净整洁，4星标准。温馨舒适。床及床上用品好。。早餐丰富。。好吃。。值得入住的一家酒店。。推荐。', '短评打分': 5}
{'短评内容': '今年第二次到新疆出差，安检还是比较严。就是离店太早不能开专用发票，要邮寄。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '你值得选择', '短评打分': 5}
{'短评内容': '非常好，房间大且干净，又安静，服务态度好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很好每次去都会住尤其喜欢旁边的回族饭店。', '短评打分': 1}
{'短评内容': '设施较老，价格不便宜', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店房间没有想象中大，但设施齐全，旺季太贵了，淡季价格还可以，300多', '短评打分': 5}
{'短评内容': '交通很方面，周围很繁华，离5 1路夜市也不远，最满意的是早餐很丰盛。但是，房间面积太小，隔音很差，隔壁两位大姐聊了半宿，搞得我睡不着觉。总体感觉性价比不高。', '短评打分': 1}
{'短评内容': '交通很方面，周围很繁华，离5 1路夜市也不远，最满意的是早餐很丰盛。但是，房间面积太小，隔音很差，隔壁两位大姐聊了半宿，搞得我睡不着觉。总体感觉性价比不高。', '短评打分': 1}
{'短评内容': '酒店符合沿海地区准四星的水平 个人觉得标准间要好于大床房 部分房间有WIFI 是亮点 房间干净 地毯也很整洁 总的说来在乌鲁木齐应该算是性价比很高的酒店 早餐很一般 羊肉包子 骚味很重 不习惯', '短评打分': 5}
{'短评内容': '干净卫生，离火车站很近，前台服务太生硬要改善。', '短评打分': 5}
{'短评内容': '住房还不错', '短评打分': 3}
{'短评内容': '前台态度一般，结账速度较慢；房间卫生不错，送2瓶水，据说节假日有果盘，可惜没赶上。', '短评打分': 5}
{'短评内容': '第二次入住了，非常不错的酒店。', '短评打分': 3}
