{'短评内容': '太偏僻了！环境不行！', '短评打分': 3}
{'短评内容': '电脑有点老，其它都特好', '短评打分': 5}
{'短评内容': '太一般，不过价钱便宜，只能二选一', '短评打分': 3}
{'短评内容': '很好，服务很周到', '短评打分': 5}
{'短评内容': '根本就没能入住！害我大晚上还在外面另外找房，更可气的是钱还不能退！没房就别确认啊！本来半夜坐车到点就晚了，现在还没地方休息！', '短评打分': 1}
{'短评内容': '很好 老板 不认识 耐心解释', '短评打分': 5}
{'短评内容': '老板一家人都很热情，客栈位置离火车站5分钟步行足够了，周边吃饭也方便，也比较好找，对于来张家界游玩的非常方便。', '短评打分': 5}
{'短评内容': '帮朋友定的  老板人为人实在热情 服务周道  店离索道近得很 可让老板代定天门山门票 有优惠', '短评打分': 5}
{'短评内容': '国庆长假去得 放假很贵 平时的三倍 房不是很好 墙上竟然长了霉菌 设备很差 感觉很不值 但老板人挺好的 服务态度比较好', '短评打分': 3}
{'短评内容': ' 距离火车站、汽车站站很近，交通好，附近吃的很方便。', '短评打分': 4}
{'短评内容': '房间还是挺大的，不过桌子和茶几上灰尘很多，和洗手间相连的墙浸水，床头柜都被腐蚀了，感觉很不好。有电脑和电视，但是搞半天也没连上宽带。。其他都挺好，老板到火车站接的，一家人都很热情！', '短评打分': 4}
{'短评内容': '是一个家庭旅馆，环境一般，老板很热情，比普通招待所好一点。但开空调加收10元每晚。', '短评打分': 4}
