{'短评内容': '不咋样', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '一般般的酒店，就是离办事的地方比较近。附近吃饭的餐馆比较多，吃饭真是方便。房间里卫生一般，非常勉强吧', '短评打分': 4}
{'短评内容': '市医院对面，吃饭交通比较方便，还可以吧。如果要求不是特别高的话，还是可以的。反正不是新建的，有年头了。', '短评打分': 3}
{'短评内容': '晚上半夜停电，冻起来了，真服了，啥酒店啊，说没办法。没有房间，就这样，一晚上没睡好，。太差了，在网上预定还是有房间的。不去想这些了，生气。附图一张', '短评打分': 1}
{'短评内容': '太坑了 居然是假汉庭 真逗 每次去山东总有些不愉快', '短评打分': 3}
{'短评内容': '不错，环境卫生都挺好的。', '短评打分': 5}
{'短评内容': '酒店条件不错，安静，且服务态度好。干净，舒适，离浴场也不远。周边环境很好，特别是提供早餐的地方多，并且早餐内容很丰富，总之好评。', '短评打分': 5}
{'短评内容': '手机落在酒店床上了，酒店说没有，没找到。手机已经是关机状态了。无语的～给钱也不会再住！！！', '短评打分': 3}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '干净舒适，环境也不错', '短评打分': 3}
{'短评内容': '可能是理解错误吧，并不是真正的汉庭，房间一般，有一点冷，空调不好用。', '短评打分': 5}
{'短评内容': '旺季应该还不错，但是服务一般，如果以后有其他选择应该不喜欢这个酒店。', '短评打分': 1}
{'短评内容': '采光可能朝东的房间比较好，其他都还好。\n楼下的早餐感觉有点贵。\n', '短评打分': 5}
{'短评内容': '服务还可以，就是地点标志不太明确，应该再清楚一点。房间还算干净。', '短评打分': 5}
