{'短评内容': '好！', '短评打分': 5}
{'短评内容': '好！不错！', '短评打分': 5}
{'短评内容': '干净卫生安静！美中不足的是房间有点旧', '短评打分': 5}
{'短评内容': '一点都不好，非常不满意，这个价住这样的地方，非常不满意，超级后悔，图片美化太严重，不会再去第二次了', '短评打分': 1}
{'短评内容': '适合带小孩', '短评打分': 5}
{'短评内容': '没有早餐，没有加床，适合带孩子', '短评打分': 5}
{'短评内容': '很安静，没电脑&hellip;&hellip;', '短评打分': 3}
{'短评内容': '对于想对付一晚的朋友住这里还可以。酒店设施一般，但是老板娘服务态度超好。离火车站比较近。', '短评打分': 4}
{'短评内容': '非常好，还有免费接机', '短评打分': 5}
{'短评内容': '价格实惠，物超所值！关键老板娘人很好！已经连续住三晚了！以后出差都住这！', '短评打分': 5}
{'短评内容': '连续两晚入住，真心不错！', '短评打分': 5}
{'短评内容': '物超所值，经济实惠，干净卫生，服务周到，没得说！', '短评打分': 5}
{'短评内容': '经济又实惠', '短评打分': 4}
{'短评内容': '离火车站，机场大巴很近。该有的都有。老板人很好。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '离火车站很近，住得很方便，下次还来住。', '短评打分': 5}
{'短评内容': '酒店不错，在南宁火车站附近有这样的房间，很满意了，而且有洗衣机，虽然我没用上。。。下次还来', '短评打分': 5}
{'短评内容': 'OMG，试了才知道，就是让你难忘，会的，永远的', '短评打分': 3}
{'短评内容': '有电脑，有大床，却很旧，我所住过的最不堪回首的地方', '短评打分': 5}
{'短评内容': '因为我们不是太在意酒店档次，当时图便宜选择了这家，现在想来宁愿多花点钱住同地段的海格拉斯，每天贵40元左右，但条件肯定不一样。其实长青连锁是一个由老公寓楼改成的酒店（或许不能称之为酒店），内部设施、环境一般，卫生间比较简陋，有点儿像廉租房（本来也有很多房间是对外出租的）。优点是离火车站近，离琅东汽车站售票点也近，房间里有能上网的电脑（网速比较慢），双床房的床是一大一小的（1.5/1.2米），靠窗处', '短评打分': 1}
{'短评内容': '真的不错。这个价格。就是之后再定的时候出了点状况。', '短评打分': 5}
{'短评内容': '挺好的，这个价格还算合理，房间挺干净，要求不高的可以选择啊', '短评打分': 5}
{'短评内容': '公寓设备较全，能上网，烧饭，还有洗衣服机哦，适合长住！', '短评打分': 3}
{'短评内容': '很不好                        电脑根本不好用', '短评打分': 1}
{'短评内容': '酒店的位置较难找，房间里面的设置也有些陈旧，整体环境一般。', '短评打分': 1}
{'短评内容': '环境不错 干净卫生。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这个价格不能要求太高！不错！', '短评打分': 3}
{'短评内容': '环境不错 很宽敞 网络情况也很不错 就是有点难找', '短评打分': 5}
{'短评内容': ' 一如既往的好 实惠 过路旅客的好选择', '短评打分': 3}
{'短评内容': '刚到 看看在评', '短评打分': 3}
{'短评内容': '离火车站比较近,方便坐火车,离批发市场也很近,就在旁边.是一所公寓.', '短评打分': 5}
{'短评内容': '该旅馆房间瞒宽的也比较舒适而且价格也比较优惠…', '短评打分': 3}
{'短评内容': '性价比还行，离火车站近，楼下是个卖水果的市场，买水果吃方便。', '短评打分': 5}
{'短评内容': '位置很不错，离火车站很近，服务态度很好。', '短评打分': 5}
{'短评内容': '性价比还可以，交通方便。楼下有水果市场，离火车站最多十分钟路程', '短评打分': 5}
{'短评内容': '性价比还可以，交通方便。楼下有水果市场，离火车站最多十分钟路程。', '短评打分': 1}
{'短评内容': '电脑破旧，蜗牛速度！建议冲电脑的就别来，除非自带笔记本', '短评打分': 3}
{'短评内容': '挺喜欢这里的 下次我还会去的 地段好 清净中带着点热闹 我很喜欢 ', '短评打分': 5}
{'短评内容': '还不错，就是地方有点难找！', '短评打分': 3}
{'短评内容': '感觉不错挺好的', '短评打分': 3}
{'短评内容': '太简陋啦,招待所的标准。不过离市中心很近!', '短评打分': 1}
{'短评内容': '整体还行，离火车站很近，楼下有小吃，挺方便的！', '短评打分': 5}
{'短评内容': '相同的地点，地段，设备、房形各种条件都比永泰大厦好，人家只要70元一夜，长青要88元。亏了！', '短评打分': 1}
{'短评内容': '酒店环境还可以', '短评打分': 3}
{'短评内容': '从经济性来讲还是不错的，卫生间是蹲便，关键是冲水压力不足，半天冲不干净，属于房产公司业余租赁，不是专业宾馆，个人根据喜好入住', '短评打分': 5}
{'短评内容': '该酒店地处闹市，交通方便，房内有电脑和洗衣机，方便。', '短评打分': 3}
{'短评内容': '酒店交通方便，房间干净，早餐可口，还是不错的。', '短评打分': 3}
{'短评内容': '还是有点贵了，其它的都可以，交通也方便。', '短评打分': 5}
{'短评内容': '价格一般，房间内干净，有电脑但不知为什么上不了网。', '短评打分': 1}
{'短评内容': '给老爸、老妈南宁旅游订的，他们很满意：）', '短评打分': 5}
{'短评内容': 'goodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgood', '短评打分': 5}
{'短评内容': '环境一般,还好', '短评打分': 3}
{'短评内容': '酒店性价比很不错。。我已经去了三次了。。就是床太硬，窗帘是坏的。没有洗衣机。。很安静。。我喜欢。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '地方还不算难找，因为有谷歌地图，房间够大，有冰箱洗衣机居然，还有电脑，不过可能出问题了，上不去网，总体来说性价比较高…', '短评打分': 3}
{'短评内容': '离火车站不远，带行李的可以叫个电瓶车送一下，三元钱，空手走，没问题不远的，不错', '短评打分': 5}
{'短评内容': '环境还不错，只是地址有点难找，也没有电话，一般这个价位的宾馆都配有电话的了', '短评打分': 5}
{'短评内容': '挺好的，性价比很好，挺值得的，适合旅游入住', '短评打分': 5}
{'短评内容': '这家公寓式酒店还是挺不错的，价格低廉，房间蛮大的 还有阳台，就是厕所没有换气扇。设备还好，整体感觉不错。', '短评打分': 5}
{'短评内容': '很便宜，很适合穷游一族，配置就跟一般的住房一样，卫生方面也很不错', '短评打分': 5}
{'短评内容': '第一次去里面，挺干净的，还可以，性价比还可以。。。', '短评打分': 5}
{'短评内容': '房间很平价。外面的环境不是很好，但房间不错。设施也很齐全。', '短评打分': 5}
{'短评内容': '还行，有点像家的感觉！所以特意多住了一晚。但第二天晚上发生的一件事让我感觉很诧异：第一天入住时我交了200元（98元房费，102元押金），本来只打算住一晚，后来多住了一晚，晚上1：09分左右一名男服务员打电话给我要我补交第二晚的房费！天哪！凌晨一点多啊!我睡意正浓呢！', '短评打分': 5}
{'短评内容': '房间不错，位置也好，去火车站方便，但被子有点旧', '短评打分': 5}
{'短评内容': '很好！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境还可以，像家的感觉，挺温馨的', '短评打分': 3}
{'短评内容': '房间不错。', '短评打分': 3}
{'短评内容': '还行吧，卫生还可以，就是硬件设施不怎么样，电脑没主机。浴室太小了，洗衣机没用不知道，是半自动的 ，比较麻烦', '短评打分': 5}
{'短评内容': '是酒店式公寓,还算干净,淋浴的水还是满大的.就是家里的一室户改造的.2只1.5的大床,就是空调隔1个小时会自动关机,问了原因说这里的空调都是这样的,内部设置的.这个很不好.', '短评打分': 5}
{'短评内容': '＋就是有点偏了设备再更新一下更好了', '短评打分': 3}
{'短评内容': '服务态度热情,讯问回答耐心,房间卫生整洁,进出旅行方便', '短评打分': 5}
{'短评内容': '服务态度蛮好的，就是入住时如果你不说明你的要求的话，可能设备不会那么齐全', '短评打分': 5}
{'短评内容': '还算干净了，楼层够高。朝南面的房，风景不错。', '短评打分': 5}
{'短评内容': '在一个农贸市场楼上，居民楼内！如果常住非常合适。', '短评打分': 5}
{'短评内容': '，一踏糊涂。', '短评打分': 3}
{'短评内容': '洗澡的空间稍显狭小外，其他都还不错，交通也方便离火车站和市中心都蛮近的~', '短评打分': 5}
{'短评内容': ' 房间还算整洁，经济。火车站店，位置较偏。', '短评打分': 3}
{'短评内容': 'ok ok ok冫非常 经济实恵还可自巳烧饭', '短评打分': 5}
{'短评内容': '价格合适，房间比较大，洗衣机也有。适合背包族', '短评打分': 5}
{'短评内容': '整体性价比都可以，服务态度可以，环境OK，', '短评打分': 5}
{'短评内容': '有洗衣机和做饭的地方 对于长住的挺方便 只住一夜这里不够卫生和舒适，周围环境也不够好', '短评打分': 3}
{'短评内容': '第二次入住啦。。还不错，第二次入住啦。。还不错', '短评打分': 5}
{'短评内容': '公寓的地理位置还算不错,火车站.机场大巴都近.去步行街也近.公寓会应客人要求提供一些厨具,楼下就是市场,对于不适应外地伙食的人来说还是不错的.缺点就是可以煮食的房间没有其他房间的装修好.不过还是过得去吧.', '短评打分': 5}
{'短评内容': '服务热情，安全便捷.设施齐全。\n适合长期居住，值得', '短评打分': 5}
{'短评内容': '服务人员 态度和蔼，宾馆干净卫生卫生，价格便宜。缺点：宾馆硬件陈旧，位置难找。', '短评打分': 5}
{'短评内容': '还不错下次来还可以定住这里', '短评打分': 3}
{'短评内容': '除了不好找以外，性价比蛮好的。。除了不好找以外，性价比蛮好的。。', '短评打分': 5}
{'短评内容': '各方面都好，唯一的缺点就是比较难找，特别是第一次到南宁的时候。', '短评打分': 5}
{'短评内容': '挺好的 一般的生活用品都俱全 还有洗衣机呢 常住的朋友挺适合的 位置高 视野好 离火车站也近 离朝阳区也近 总的来说不错 价格也公道 ', '短评打分': 5}
{'短评内容': '服务态度好，交通方便，价格实惠，不过第一次找是比较难找到的。下次值得再去。', '短评打分': 5}
{'短评内容': '还行 ，就是楼道卫生不行', '短评打分': 3}
{'短评内容': '非常好舒适实用', '短评打分': 3}
{'短评内容': '90元值', '短评打分': 3}
{'短评内容': '没什么特别的感觉，不好不坏，不知道连锁了几家', '短评打分': 5}
