{'短评内容': '我住过非常差的酒店，千万别住。没电梯、没供暖，绝对差评。', '短评打分': 1}
{'短评内容': '酒店无电梯，无供暖。不建议去，还分南楼北楼，搬着行李爬楼不说，还要走很远。没供暖，跟服务员要暖风扇，主要带着3岁的孩子，服务员说没有，自己脚底下确吹着暖风扇。', '短评打分': 3}
{'短评内容': '宾馆没暖气，受不了', '短评打分': 3}
{'短评内容': '不提供早餐，周边就有很多吃饭的地方，不过这个以旅游为基础的小城还是……比如十一假期最火的那几天一块钱一根的油条只给半根（油条是两根拧在一起的对伐）等假期后几天人少了，同样1块钱就给足到两个拧成的一根了，人在做天在看', '短评打分': 5}
{'短评内容': '262元订的标间，到店给安排到4楼走廊尽头的房间。朋友脚疼，走路很不方便，想换个楼层低的房间。开始前台服务员不给换，说没房间了，后来朋友又和它们商量，结果一个服务员也不知道怎么珠脑算的，要我们补交70元，才能换个楼层低的。滚吧，不换了。订前看评论很多各种差评，总觉得自己也许不会遭遇到。结果，多听听看看以前顾客的评论，再做决定，简直太重要了。卫生间的淋浴头摇摇欲坠，都不敢碰，生怕粘包赖啊！', '短评打分': 1}
{'短评内容': '酒店没电梯，谁住谁煞笔', '短评打分': 1}
{'短评内容': '有些老旧，周边环境不错！', '短评打分': 3}
{'短评内容': '游阿尔山后入住一晚上，感觉不错！', '短评打分': 4}
{'短评内容': '房间没有供暖，不敢洗浴，自己另花钱洗的温泉。酒店提供了电褥子和小太阳取暖。', '短评打分': 5}
{'短评内容': '酒店没空调，地地面不平，晚上很冷，没有电梯，全靠腿！', '短评打分': 3}
{'短评内容': '没电梯要爬楼，没有空调，洗澡水很小，停车就是路边，房间没拖鞋，打电话要，过了20分钟也没来，再打电话问，说是给忘了，性价比太低，不推荐', '短评打分': 3}
{'短评内容': '没电梯啊，听说这边的酒店都没有电梯！', '短评打分': 3}
{'短评内容': '总体不错，性价比较高。', '短评打分': 3}
{'短评内容': '很不错的酒店，干净整洁，楼下就有餐厅，早点品种单一了一些。', '短评打分': 3}
{'短评内容': '非常破的一个酒店，很奇怪，在艺龙居然是推荐酒店，很旧，房间设施很差，给我们安排在顶层阁楼，没有电梯，每人拿着很大的行李箱爬楼梯，楼梯很陡很窄，同事的头都磕碰了一个大疙瘩，早餐基本不能吃，价格还特别贵，周边的小别墅，条件好，价格低。', '短评打分': 3}
{'短评内容': '名不符实，价高质次！', '短评打分': 3}
{'短评内容': '价格需贵，但与当地其他酒店比较算是合理。', '短评打分': 5}
{'短评内容': ' 凑合有点冷', '短评打分': 3}
{'短评内容': '自驾路上颠簸劳顿，睡在干净又舒服的房间让人瞬时缓解疲劳。 一共定了2间房，其中一间还有阳台，很不错。 酒店位置差不多在阿尔山的中心，门口就是小型广场，还有大型屏幕应该是举行活动的地方，楼下的几家饭馆也不错，值得推荐！  建议酒店适当提前早餐时间，因为阿尔山周边景点都较远，多数客人都希望早早用完早餐出发，可是说是7点，结果还晚了几分钟，门口排队的客人都好几十了。。。', '短评打分': 5}
{'短评内容': '酒店的硬件很好，但服务不专业，客人外出后全天都没有打扫房间，等回来后通知前台才立即打扫；解释说太忙忘了，但我看出租率并不多。早餐的服务员很好，会主动的和你打招呼，但自助早餐服务员还要将餐具按套发给客人，这让人有了食堂的感觉。客房的毛巾虽厚但掉毛，感觉不好，下次采购是要注意。客房没有冰箱。房间放的卫生纸的架子安的太低了，纸很容易接触到地面。', '短评打分': 5}
{'短评内容': '外观看起来很一般，里面倒是新装修的，只是味道有点大。卫生间的马桶坏了，换了两间都是坏的。晚上没有热水，其他还可以，早餐是送到房价的。', '短评打分': 5}
