{'短评内容': '帮朋友订的，听说还挺好的，入住的很舒心。', '短评打分': 5}
{'短评内容': '不错，房间干净舒适 ', '短评打分': 5}
{'短评内容': '周边环境不错对吃的挺方便的，有很大的免费停车厂服务员态度都很好，早餐丰富，尤其是水果好新鲜，不错的选择。', '短评打分': 5}
{'短评内容': '乐清最好的酒店，入住体验完美，适合出差旅游。', '短评打分': 5}
{'短评内容': '可以，不错的选择', '短评打分': 5}
{'短评内容': '地理位置不错，设施设备其全很大的停车厂，服务人员都很热情，早餐也很丰富，前台小姑娘服务很是热情，房间还增送水果。', '短评打分': 5}
{'短评内容': '是帮朋友订的听朋友说房间很大有落地窗，早餐也丰富，还好我没选错，', '短评打分': 5}
{'短评内容': '第一次入住这里整理感觉都不错的，房间干净舒服，服务员服务也好，早餐也比较丰富，很满意下次入住还会选这里，', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '质量不错，价格便宜。值得推荐。。。。', '短评打分': 5}
{'短评内容': '服务好，点赞！', '短评打分': 5}
{'短评内容': '房间很好！', '短评打分': 5}
{'短评内容': '酒店硬件维护的一般', '短评打分': 4}
{'短评内容': '很好很方便', '短评打分': 5}
{'短评内容': '经济型酒店', '短评打分': 5}
{'短评内容': '干净卫生干净整洁服务好！干净卫生干净整洁服务好！干净卫生干净整洁服务好！干净卫生干净整洁服务好！干净卫生干净整洁服务好！', '短评打分': 5}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '价格偏高', '短评打分': 4}
{'短评内容': '酒店出行很方便，自助餐也不错', '短评打分': 5}
{'短评内容': '酒店位置好，周边有许多饭店，超市，购物店，交通方便！早餐，午餐都不错！早餐的咖啡机坏了不能使用，服务员热情，有礼貌！房间设施齐全，使用方便！卫生情况良好！还会再次入住！', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '早餐好，都不错，值得入住！！', '短评打分': 5}
{'短评内容': '酒店很新,在柳市有这样的酒店,很不一般,服务,饭菜多很好!', '短评打分': 5}
{'短评内容': '酒店很不错，有地下2层的停车场，但是晚饭时候往往车很多。房间设施和配置都很到位，淋浴和浴缸都有。晚上还做夜床，很是贴心。网络速度也很快。但是叫餐的人似乎不是很顺畅。说实话，硬件够5星级标准，但是服务和细节上还只是4星级的水平。不过还是乐清最好的酒店之一。', '短评打分': 5}
