{'短评内容': '早餐很好。', '短评打分': 5}
{'短评内容': '早餐不怎么样，吵死了晚上，外面施工，影响睡眠，早餐少，', '短评打分': 3}
{'短评内容': '都还不错', '短评打分': 5}
{'短评内容': '旁边在施工，晚上太吵了', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还不错，交通便利，房间也很干净', '短评打分': 4}
{'短评内容': '很不错的酒店，适合出游居住', '短评打分': 4}
{'短评内容': '公寓式酒店，环境一般，离市中心近。', '短评打分': 3}
{'短评内容': '携程网和商家沟通很差劲！不能够为客户提供服务、我第一次使。用携程网就遭到忽悠！', '短评打分': 1}
{'短评内容': '环境.服务.卫生.设备设施都很完美！给个满分评价！', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '房间大，光线好，地点交通非常方便。附近吃的也很多。', '短评打分': 3}
{'短评内容': '挺吵的，wifi用不了，厕所镜子很赞', '短评打分': 3}
{'短评内容': '怎么说呢，公寓型酒店，性价比还是比较高的。洗衣机，微波炉都可以用。', '短评打分': 3}
{'短评内容': '不错，生活用品齐全，房间大。', '短评打分': 3}
{'短评内容': '床比较舒服，但卫生较差，更可气的是发票中奖不能兑，要自己去税务局。', '短评打分': 3}
{'短评内容': '环境较差', '短评打分': 3}
