{'短评内容': '太难找了，环境一般了，没有早餐，后面有一个停车场', '短评打分': 3}
{'短评内容': '一般般，各人眼光不同，各人自己体会，', '短评打分': 5}
{'短评内容': '环境安静舒适，老板娘很热情和蔼，挺不错的。', '短评打分': 5}
{'短评内容': '阳朔宾馆大多都没有早餐，我们住的三天里都在丁字路口附近的米粉店吃的饭。路口右手边的程大姐店里的肉夹馍15一个好贵，不知道猪肉是不是特别。附近还有日头火米粉，谢大姐啤酒鱼味道也不错。在丰盈住出门路口有摩的，公交车，搭车都很方便！推荐居住。处于刘三姐，西街，十里画廊的中间地带，步行都得十五到二十分钟。如果不累，走走是挺好的。没来的及多照照片，我看其他评论里的都很真实。店主确实很热情，祝店主生意兴隆啊！', '短评打分': 5}
{'短评内容': '离西街走路十几分钟，闹中取静。', '短评打分': 5}
{'短评内容': '环境还是不错的，五一阳朔人太多。住房都紧张，这里还是很好的。老板娘帮介绍电瓶车。', '短评打分': 5}
{'短评内容': '朋友三人出去游玩，特意定的三人房间，房间粉色系，很亮眼的家庭旅馆。老板非常和善，我们在等朋友来接的时候，老板让我们待到下午2点退房。唯一不好的是，有一张床靠近厕所，有点湿润，睡起来不太舒服。', '短评打分': 5}
{'短评内容': '酒店虽小但感觉温馨。', '短评打分': 5}
{'短评内容': '距离西街说真的有点远，但很安静，我本是个认床的人，在外地经常睡不着，但在这酒店住的两晚我都能睡很好。酒店布置的很温馨，下次到阳朔也会住这里', '短评打分': 5}
{'短评内容': '如网上评价，确实不错，特别是老板待人热情。', '短评打分': 4}
{'短评内容': '老板娘人很好，房间也挺漂亮的。出门时还问去哪里玩了，去哪里好玩。', '短评打分': 5}
{'短评内容': '房间比较整洁，但是比较简陋。到西街步行十几分钟，街口租车方便，走几分钟就到公交车站。', '短评打分': 3}
{'短评内容': '老板人很好，地址离南站和西街都很近，出门可乘车去北站，路口就有自行车租赁。  住房很干净，很不错~', '短评打分': 5}
{'短评内容': '干净、舒适，服务态度好，室内装饰温馨，老板人很好。', '短评打分': 3}
{'短评内容': '非常好，', '短评打分': 5}
{'短评内容': '还可以，性价比一般。', '短评打分': 3}
{'短评内容': '店主很热情生活很方便店主很热情生活很方便', '短评打分': 3}
