{'短评内容': '酒店位置还可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '时尚版民工宿舍。', '短评打分': 4}
{'短评内容': '不错 挺好的', '短评打分': 5}
{'短评内容': '前台女的板着脸，服务态度太差了，这样的人还在前台………做实事太死板', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '经济实惠，服务还不错', '短评打分': 5}
{'短评内容': '帮弟弟定的，房间除了小以外，其他都蛮好的！', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '位置有些偏，在开发区，设施还好', '短评打分': 4}
{'短评内容': '酒店环境不错，住着也挺好，出行也很方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '家庭房，房间比较小，床睡了也不舒服，有点失望', '短评打分': 4}
{'短评内容': '性价比较高，对舒适度要求不高的朋友可以住。', '短评打分': 5}
