{'短评内容': '有停车场吗', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '这个价位已经很不错了', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '价格便宜，很超值', '短评打分': 5}
{'短评内容': '便宜，该有的都有了，隔音稍差点', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '虽然设施略显陈旧了一点点，但是总体感觉很温馨，床很舒服，累了可以美美的睡上一觉。一楼餐厅的饭也很好吃。 ', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '房间小，不隔音', '短评打分': 1}
{'短评内容': '房间小，没窗户，不隔音，在当地也就招侍所的标准。', '短评打分': 1}
{'短评内容': '房间不大，环境还好。主要还是经济实惠。离客户近！', '短评打分': 4}
{'短评内容': '插座太少，就俩，为了冲电，电视都没得看！！', '短评打分': 4}
{'短评内容': '158的大床房，房间很大很干净，网速也快，送2张咖啡卷，可以在二楼免费喝咖啡，推荐', '短评打分': 5}
{'短评内容': '服务态度很好，评价很满意，不错！力挺！望此生意日渐兴荣！力挺此地！', '短评打分': 5}
{'短评内容': '酒店位置不错，房间也挺大的，就是网络太慢，而且不提供洗漱用品', '短评打分': 5}
{'短评内容': '住宿条件不错，环境优雅宜人，下次会再光顾本店！', '短评打分': 5}
{'短评内容': '很不错的酒店。房间很大，住得很舒服，房价也比较合理，下次还会入住。', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好 ', '短评打分': 5}
{'短评内容': '各方面还不错，房间比较整洁。就是没有洗衣服务，水有铁锈。', '短评打分': 5}
{'短评内容': '房间较大，硬件中上，服务中上。相对这个房价来说，性价比较高。重点推荐的二楼餐厅，菜做的相当好吃。住了三天，连吃三天，都把我吃胖了。。。。。', '短评打分': 5}
{'短评内容': ' 酒店不错，很干净，很超值', '短评打分': 3}
