{'短评内容': '还行吧，感觉跟连锁酒店也没啥区别，不过价格也差不多', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '整体不错，酒店内拖鞋没有，不间断电源没有', '短评打分': 4}
{'短评内容': '整体上来说性价比挺高，不足的是不含早，还有就是房间拖鞋没有，房间灯光设置电源插座设置不合理，没有不间断电源', '短评打分': 4}
{'短评内容': '一般般......', '短评打分': 5}
{'短评内容': '各方面不是一般的差，明显不像商业酒店，像国有招待所，服务员完全没有培训过，说话好不客气，早餐简单，总之，太差。', '短评打分': 3}
{'短评内容': 'haikeiyi', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通便利，地势好，环境佳', '短评打分': 5}
{'短评内容': '环境好，地势佳，适宜住宿', '短评打分': 5}
{'短评内容': '距离火车站很近，出入很方便，周边环境挺好的', '短评打分': 5}
{'短评内容': '不错距离火车站很近，方便坐车，同时环境卫生好，性价比高，值得一住。', '短评打分': 3}
{'短评内容': '酒店还可以，卫生和服务较好，离出火车站近，比较方便。', '短评打分': 5}
{'短评内容': '位置很不错，卫生状况也挺不错的，停车也方便，是新装修的。', '短评打分': 5}
{'短评内容': '位置很不错，新酒店很干净，卫生状况也挺不的，停车也方便。', '短评打分': 5}
{'短评内容': '出火车站左转300米，住宿设施，卫生和服务较好。遗憾的是深夜被火车鸣笛吵醒。', '短评打分': 5}
{'短评内容': '离火车站较近，出火车站左拐大约500m，房间装修有点旧，服务还可以。', '短评打分': 5}
{'短评内容': '228的房间和208的房间根本没有什么区别！唯一区别就是228的的电视用木头包了一下！另外ELONG的价格有些高了！前台看到别人报个什么单位的就是大概ELONG价格的7折了！这个酒店本来就是单位的生意不特别好', '短评打分': 5}
{'短评内容': '酒店还是比较新的!说4星还是牵强了些!没有自己门面是和很多单位共用的!早饭也就是能吃饱!', '短评打分': 5}
{'短评内容': '环境是不错，但是在九江那样的地方价格偏高了。商务还是不错的，自费就不必了。', '短评打分': 5}
{'短评内容': '酒店不错，环境挺好，离火车站很近，不觉得很吵', '短评打分': 5}
{'短评内容': '很超值，比想象地好~下次来九江还会来！', '短评打分': 3}
{'短评内容': ' 绝对不是四星！是不是江西人说话就这样，生硬！！！', '短评打分': 3}
{'短评内容': '这是我经常出差所住过的最差酒店，房间也装修大半年了，有味，问服务员说没毒，说是经过检验的，可以住；之后我让她再说一次，我要录音了，又说威害不大；态度极差，开票，水单全错；至于早餐最多也就是招待所标准；下次就是露宿街头也不会住这家了。', '短评打分': 1}
