{'短评内容': '现在看看价格一般，其他酒店做活动比这里便宜多了~', '短评打分': 1}
{'短评内容': '现在看看价格一般，其他酒店做活动比这里便宜多了~', '短评打分': 5}
{'短评内容': '现在看看价格一般，其他酒店做活动比这里便宜多了~', '短评打分': 5}
{'短评内容': '现在看看价格一般，其他酒店做活动比这里便宜多了~', '短评打分': 5}
{'短评内容': '挺好的 经济实惠 干净 安全 服务很热情', '短评打分': 5}
{'短评内容': '交通挺方便的，但是房间比较小，我订的家庭间，还是很小，适合情侣住吧，和布丁差不多', '短评打分': 5}
{'短评内容': '房间一般，服务还要加强。第一次给的房间是没有打扫过的，然后再下去换，折腾', '短评打分': 5}
{'短评内容': '房间也太太太小了点儿，不过性价比算高啦，就是怎么不说明要自带洗漱用品呢。。。到那才知道呢', '短评打分': 5}
{'短评内容': '安静很不错', '短评打分': 3}
{'短评内容': '住了那么多次都不给一张会员卡，还准备常住的呢。。好伤心啊，不错还是不错的！！！！！！！！', '短评打分': 5}
{'短评内容': '就这个价格还是不错的！！！就是在朝着马路早上的时候有点吵。。。', '短评打分': 5}
{'短评内容': '服务很好，很温馨，下次去还住鲜屋@', '短评打分': 3}
{'短评内容': '房间小了点，需要自己准备备品，地点还算不错。', '短评打分': 5}
{'短评内容': '说真的，虽然价格便宜，但是房间真的太小了。而且不提供一次的用品，要买的。', '短评打分': 1}
{'短评内容': '迷你房间太迷你！忘记带笔记本！里面没有电视！就一张床！这个价格有点贵哦！下次不会来咯！', '短评打分': 3}
{'短评内容': '鲜屋不错的，虽然有点小，但是风格温馨，有点类似布丁吧，不过价格优势现在越来越弱了。', '短评打分': 5}
{'短评内容': '还可以～～～～～～～～～地理不错1111111111111111', '短评打分': 5}
{'短评内容': '还行，环境比适合小情侣，服务也不错，价格 合理', '短评打分': 5}
{'短评内容': '出门在外，一个好的酒店是旅游的关键因素。因为时间的缘故。所以选择了鲜屋（教工路店），找到该酒店我花了一个半小时，多次打电话给店内服务人员询问到达该酒店路线，都是固定式简单的回答，没有起到任何效果。我订的是大床房258一间，但是我感觉根本不值这个价。如果和其他连锁酒店在该区域价格相比，价格高；而且间内设施不够齐全；在间内洗澡，水会留到房间内容易发生滑倒事故。住在该店房间像蜗居，很压抑。', '短评打分': 1}
{'短评内容': '还好。。。比较干净~ 就是大床房的洗手台在外面，得小心翼翼的不让水溅出来！标间还是可以的，我老婆喜欢这样风格的酒店，她说比起全是白白的酒店好看多了.', '短评打分': 5}
{'短评内容': '不图便宜就不要来这。', '短评打分': 3}
{'短评内容': '酒店的房间很干净，住得还蛮舒服，总体感觉不错', '短评打分': 3}
{'短评内容': '这什么酒店，房间这么小。还这么贵', '短评打分': 3}
{'短评内容': '环境不错。。热水还要打不方便，还没有电视。', '短评打分': 3}
{'短评内容': '卫生有待提高，床单上有污渍，也不知道有没有换过，不推荐。', '短评打分': 1}
{'短评内容': '装修不错，浴室水流不稳定，喝水要走比较远的路去打', '短评打分': 5}
{'短评内容': '新开的鲜屋，一如既往的好！只是价格与市中心的鲜屋相比没有太大优势。', '短评打分': 5}
{'短评内容': '很干净，卫生，虽小，但是很温馨', '短评打分': 3}
{'短评内容': '屋子干净温馨，虽然小，但是跟舒服', '短评打分': 3}
{'短评内容': '推荐归推荐\n停车位没有,房间内不提供一次性东西.\n', '短评打分': 5}
{'短评内容': '十虽然不大，但很干净，周围环境也不错，楼下就有公交车站，很适合年青人。', '短评打分': 3}
{'短评内容': '酒店整洁干净,服务态度也很好', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间稍微小了些，隔音效果不太好。其他还行。', '短评打分': 3}
{'短评内容': '房间空间太小，隔音效果很差，厕所的排水孔都堵住了，导致水往房间流。毛巾看起来也很不干净，唯一一点好的地方就是价格倒是还算公道。。。。。。', '短评打分': 1}
{'短评内容': '还可以的，经济实惠。以后有机会再来住，介绍给朋友也来住。', '短评打分': 5}
{'短评内容': '环境可以,但没洗淑品.楼层中间有个会客区比较新颖', '短评打分': 1}
{'短评内容': '房间有点小，洗漱用具只有一套，还要自己买，床被也很粗糙，睡得不舒服', '短评打分': 1}
{'短评内容': '房间超小，服务态度差，周边有大型机械，吵', '短评打分': 3}
{'短评内容': '这家酒店总体来说不错。就是几个前台接待工作人员中，那个较胖的男青年服务态度很差', '短评打分': 5}
