{'descr': '这个酒店没有情侣酒店的', 'star': 5}
{'descr': '快捷酒店，一般化', 'star': 4}
{'descr': '蛮好的欧，交通便利', 'star': 5}
{'descr': '还不错，就是没有窗户，太闷了', 'star': 4}
{'descr': '交通很方便', 'star': 5}
{'descr': '隔音不是太满意', 'star': 5}
{'descr': '订的房间到店说没了，叫我取消订单', 'star': 1}
{'descr': '蛮好的，不错、、、', 'star': 5}
{'descr': '房价真差，一股脚臭味，订完就后悔了', 'star': 1}
{'descr': '价格合适，挺好的', 'star': 5}
{'descr': '价格合适，挺好的', 'star': 5}
{'descr': '已经住过很多次了！方便，', 'star': 5}
{'descr': '蛮好的，还可以', 'star': 5}
{'descr': '位置很好找', 'star': 5}
{'descr': '东西不错，蛮好的', 'star': 5}
{'descr': '在市中心。如家的早餐真的不如锦江和汉庭。需要改进。', 'star': 4}
{'descr': '可以', 'star': 5}
{'descr': '还不错，下次继续', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '楼上KTV吵的你睡不着觉！', 'star': 1}
{'descr': '整体都不错，就是晚上无线网信号不稳定，经常掉线。', 'star': 5}
{'descr': '环境较好，交通便利，设施温馨！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '房间卫生不错，只是到了晚上周围因为有卡拉ok，一直要吵到半夜，这点不足', 'star': 5}
{'descr': '环境很不错，服务的态度也很好，还是比较推荐这家的！', 'star': 5}
{'descr': '离汽车站还是有点距离的2KM左右\n对面有工地在开工，早上很早就吵醒了。\n下次换其他地方了', 'star': 1}
{'descr': '商务大床房还可以，飘窗的设计。采光很好！', 'star': 5}
{'descr': '房间还行，噪音有点大', 'star': 3}
{'descr': '酒店位置很好，靠近汽车站。干净卫生，边上是楚街，吃饭方便。\n', 'star': 5}
{'descr': '酒店层高，离汽车站和宿迁最好的宝龙城市广场也近，还有紧邻的楚街美食一条街。总之很便利。', 'star': 5}
{'descr': '很好，旅途很愉快，很好，旅途很愉快，很好，旅途很愉快，很好，旅途很愉快，', 'star': 5}
{'descr': ' 房间还是一如继往的干净，服务也不错，还会选择这家店', 'star': 3}
{'descr': '环境还不错，干净卫生，出门住宿值得考虑，推荐', 'star': 5}
{'descr': '第三次入住，依然很好，但对面的工地夜间有点噪音', 'star': 5}
{'descr': ' 房间异常的小，房间没有外窗也没有提前告知。', 'star': 1}
{'descr': '第二次入住了，非常的好，安静，方便，来宿迁的首选酒店', 'star': 5}
{'descr': '一切服务都很好 就是晚上有个工地有点吵 不对 是很吵 但是总体不错 有飘窗 挺大的 第二次了', 'star': 5}
{'descr': '酒店位置很好，靠近汽车站。空调很暖和。边上是楚街，吃饭方便。', 'star': 5}
{'descr': '还不错，干净舒适，服务态度好。酒店比较新，所以设施都不错。房间的飘窗不错，可以远眺全城的风景', 'star': 5}
{'descr': '房间很干净，地段很好，飘窗可以让人有家的感觉，下次来还会选择如家。', 'star': 5}
{'descr': '1.位置不好，離汽車站要走一段路，離市區又遠。\n2.隔音很差，服務員整天都在走廊上說話，都被吵到快精神分裂了。\n3.12元的自助早餐菜色少，沒什麼好吃的。', 'star': 1}
{'descr': '总体不错，车位太少，不便，电梯太慢，早餐单调，其他都不错。\n\n', 'star': 5}
