{'短评内容': '总体来看还不错，就是离机场有点远', '短评打分': 4}
{'短评内容': '非常好，距离地铁站近', '短评打分': 5}
{'短评内容': '环境还可以 就是房间太小了   两个人还算不错  不过由于住的时候天气很冷  屋里明显发潮  其他的地理位置还算不错', '短评打分': 3}
{'短评内容': '无法形容……房间超级小，马桶和床在一起，而且去订房的时候竟然有工作人员在房间里面，我们要住了她才出来，超级差', '短评打分': 1}
{'短评内容': '帮朋友订的', '短评打分': 3}
{'短评内容': '酒店下个月就要拆了。', '短评打分': 4}
{'短评内容': '要拆迁了', '短评打分': 4}
{'短评内容': '不错，推荐', '短评打分': 5}
{'短评内容': '烂的要死，房间小卫生差没窗户', '短评打分': 1}
{'短评内容': '还行吧！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '干净卫生，价格实惠，', '短评打分': 5}
{'短评内容': '房间太小了，拖鞋也有待改善', '短评打分': 3}
{'短评内容': '酒店房间比较小，拥挤，但是卫生还是做的不错的，交通也方便，性价比不错的一家店。', '短评打分': 5}
{'短评内容': '总体还不错，价格便宜，交通方便，就是地上有水', '短评打分': 4}
{'短评内容': '房间比较小，马马虎虎吧', '短评打分': 4}
{'短评内容': '连住了三个晚上，应该不能给差评吧。。。整体还不错，有待改进。', '短评打分': 5}
{'短评内容': '还好，就是飞机太吵了。。比扬州的易佰好好多。', '短评打分': 5}
{'短评内容': '还行，一般般。。。勉强给个好评。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '干净是还行，一个人睡勉强也行。我和同学两个人入住的，厕所和浴室竟然是玻璃透明的！！我震惊了~~多不方便。而且相对空间有点小~~勉强还行吧~~', '短评打分': 1}
