{'短评内容': '酒店环境不错。 窗帘遮光效果很好。 就是卫生纸不行。 希望酒店注意i', '短评打分': 5}
{'短评内容': '房间较小其他还还可以', '短评打分': 3}
{'短评内容': '整体环境还可以，就是壁纸老化严重！网速一般，电视台比较少没有机顶盒！', '短评打分': 5}
{'短评内容': '房间太小了，配置的电脑超慢，卫生条件还可以', '短评打分': 1}
{'短评内容': '价格公道，房间布置温馨舒适，服务也很好，下次还愿意来住。', '短评打分': 5}
{'短评内容': '热水质量很好，不是忽冷忽热的，电视是液晶很清晰，卫生也不错，感觉住的挺好。', '短评打分': 5}
{'短评内容': '房间设计的挺现代化的，挺时尚，隔音很好，也挺干净，住的挺舒适。', '短评打分': 5}
{'短评内容': '要求不高的话可以接受。隔音不是很好，夜晚隔壁会传声音。。。', '短评打分': 3}
{'短评内容': '酒店很好，服务很热情主动，房间干净舒适，价格也公道值得推荐。', '短评打分': 5}
{'短评内容': '一般，将就点无妨。', '短评打分': 3}
{'短评内容': '床单枕头和被子有异味~~~叫换床单都说要出清洗费。\r\n躺了一个钟头，全身痒的半死。', '短评打分': 1}
{'短评内容': '房间的设计给人的感觉很温馨，下雨天还提供雨伞使用，服务很周到。', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '价格合理，服务卫生也挺好的。装修环境挺新的，当时住的豪华单间房间有点小，不过还是挺舒适的', '短评打分': 5}
{'短评内容': '房间内部整体感觉是很商务型的，比较紧凑、整洁，加上价格还比较公道，故还是属于选择范围之中。但酒店的床单、床垫等感觉不是很舒适，且略显毛糙，地理位置也不算太好，下面属于比较忙乱的地段。\n总体感觉为中等。', '短评打分': 5}
