{'短评内容': '空调吹的是凉风，冬天啊不是夏天，玩呢！房间不隔音，隔壁说话打呼噜很清晰啊！电视没几个台而且不清晰，差评！差评！差评！', '短评打分': 2}
{'短评内容': '还行吧。卫生间是真大，啦啦啦啦啦啦啦啦啦', '短评打分': 5}
{'短评内容': '网上90元就能住个双人大床，离火车站不远，出门就是公交。着实实惠。干净卫生，不比连锁酒店差。', '短评打分': 5}
{'短评内容': '很棒，以后常来。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很棒，环境不错。。。。。。。。。。。。。？。。。。。。。。。。。。。。。。。。。。。。。    。。。。', '短评打分': 5}
{'短评内容': '环境不错，有早餐', '短评打分': 5}
{'短评内容': '挺好的，以后常来。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交、通，，吃饭都方便，停车场也大，推荐！', '短评打分': 4}
{'短评内容': '好好好好，就是艺龙太WL，没返现，***客服还舔着脸解释。。。', '短评打分': 3}
{'短评内容': '非常好非常好，还不错还不错', '短评打分': 3}
{'短评内容': '非常好，非常好，很不错很不错', '短评打分': 3}
{'短评内容': '继续住，这次住了一星期了。', '短评打分': 3}
