{'短评内容': '挺好的，价格不错，环境很好，下次继续', '短评打分': 5}
{'短评内容': '环境不错，各项条件也不错，建议入住', '短评打分': 5}
{'短评内容': '酒店环境很好，设施有点陈旧。', '短评打分': 4}
{'短评内容': '可以上五星啊。', '短评打分': 5}
{'短评内容': '很不错，服务态度好', '短评打分': 5}
{'短评内容': '酒店就位于敬亭山风景区内，是个名副其实的园林式酒店，环境非常的好，有山有水很安静客房周围绿树环绕还有小竹林，真的很满意，从酒店后面走过去是条马路一直朝上走有一水库，哪儿应该就是敬亭山的南门了，那有2条道，上台阶的体力好的可以走走，如果体力不太好的建议走红色路面的步行道，据说可以走到主要景点，好像不要票的。其实酒店周边风景也很是不错，花草树木、小桥流水、水面回廊等，没事可以转转景色不亚于一般的公园。', '短评打分': 5}
{'短评内容': '在敬亭山下，但不是传统的游览敬亭山的入口吧。 房间很大，也很干净，就是偏冷。 服务有一点不好，已经订了家庭三人间，洗漱用品却只准备了两套，需要另外向前台拿，这点有些欠妥当。 另外网络非常差，WIFI基本就是不可用。', '短评打分': 4}
{'短评内容': '确认速度非常快，而且酒店价格也非常便宜，不错。', '短评打分': 5}
{'短评内容': '环境不错，挺好的', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '环境非常好，早餐品质也很好！', '短评打分': 5}
{'短评内容': '很不错的入住体验。', '短评打分': 5}
{'短评内容': '酒店环境非常好，十分幽静，青山绿水，亭台楼阁，漫步其中，很是惬意，房间设备还是挺齐全的，略显陈旧，还算干净整洁，性价比很不错~', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '亲子出游很好的。在敬亭山景区内。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好', '短评打分': 4}
{'短评内容': '整洁干净，设施齐全，服务态度好', '短评打分': 5}
{'短评内容': '整洁干净，设施齐全，服务态度好', '短评打分': 5}
{'短评内容': '五楼，在搞婚庆。', '短评打分': 5}
{'短评内容': '酒店可以说是宣城最好的了。房间很大，早餐也很丰富。', '短评打分': 5}
{'短评内容': '房间宽敞干净，配套完善，服务优秀，推荐入住。如再去宣城，会继续入住该酒店。建议，早餐供应可能因为客人较多，来不及供应。', '短评打分': 5}
{'短评内容': '不错的酒店，安静，周围有山可以散步，自身面积和房间面积也够大，不过周围沒有饭店和其它店铺，另外价格也小贵，总体来说适合自驾。', '短评打分': 3}
{'短评内容': '度假酒店，环境不错，但早餐一般。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常好的度假酒店，完全达到5星标准，当然，就地区城市而言，价格也是5星了。', '短评打分': 5}
{'短评内容': '不明白这个酒店为什么挂4星，各项软硬件非常到位，比很多的5星酒店还要好，房间宽大舒适，还有恒温室内泳池，个人以为这是一个标准的5星酒店。', '短评打分': 5}
{'短评内容': '住的是家庭房，很大也很干净。但是大堂的大理石地面似乎是用火油拖的，一股汽油味，让人觉得味道难闻的同时也存在一定的安全隐患。', '短评打分': 3}
{'短评内容': '酒店坐落的位子非常好，离敬亭山景区很近；酒店的设施及服务真的没话说，非常的棒，我东西遗忘在房间内的保险箱中，当致电前台时服务员的水准很高，告知只要是自己设定的密码，其他房客开不了，而酒店自己的服务员处于职业的修养更不会擅自打开，后再我赶到酒店开启保险箱清点物品，一样都未缺；这是次愉快的住宿。', '短评打分': 5}
{'短评内容': '宾馆很好，环境优美，我跟老公住的很开心，里面设施集全', '短评打分': 5}
