{'短评内容': '环境不错，安静', '短评打分': 4}
{'短评内容': '热水很烂，忽冷忽热，但是周边环境好，安静', '短评打分': 4}
{'短评内容': '来衡山旅游！酒店位置比较好找！', '短评打分': 5}
{'短评内容': '行', '短评打分': 4}
{'短评内容': '空调太不给力了。半夜多冷醒了。', '短评打分': 3}
{'短评内容': '无', '短评打分': 3}
{'短评内容': '环境一般，国庆节房价期间涨价不少。', '短评打分': 3}
{'短评内容': '还不错 离景区也很近', '短评打分': 3}
{'短评内容': '可以 可以 可以 可以 可以 可以 可以 可以 可以。就是开票不及时。', '短评打分': 3}
{'短评内容': '房间比较陈旧，下水道早些堵，洗澡时会积水，在携程网上订的特价房，房费已经用支付宝全额担保了，但是到了宾馆还是被告知没有特价房间了，只能住高价房间了，宾馆在天子山广场边上 晚上有人跳广场舞，比较吵', '短评打分': 2}
{'短评内容': '去晚了没什么好房间了', '短评打分': 3}
{'短评内容': '酒店价格还可以，但设施不敢恭维，卫生间积水搞得脚都踩不下去。郁闷！如加100元，可以到对面南岳国际大酒店住。', '短评打分': 1}
{'短评内容': '很一般，帮朋友春节期间订的，反应不是很好', '短评打分': 1}
{'短评内容': '酒店看起来是很新的感觉，可能是装修不是很长时间吧！我入住的房间比较干净、空气也比较好，房间不是很宽但二个人入住是算是可以的了，除了地板有一处地方有一点烂外，总体来说是很好的了。', '短评打分': 5}
{'短评内容': '干干净净，挺好~', '短评打分': 3}
{'短评内容': '酒店环境还是可以的，比较新，卫生、干净。但无得上网，房间比较细！', '短评打分': 5}
{'短评内容': '离山脚有点远，但是交通很方便，出门就有免费公交，住的静居房，服务很好，环境不错，挺干净的，就是热水有点小问题，忽然会一下子好热。', '短评打分': 5}
{'短评内容': '很干净，房间很大。', '短评打分': 3}
{'短评内容': '挺干净，不错。', '短评打分': 3}
{'短评内容': '还不错，价格也较合适，酒店比较干净，但设备稍简单一点。', '短评打分': 5}
{'短评内容': '酒店周边环境较好，步行三分钟有1路线免费公交到南岳牌坊，走路十分钟。但房间小，作为经济型酒店过的去吧。', '短评打分': 3}
{'短评内容': '房间很干净，感觉不错，就是没双早，楼下还在装修，有点吵，但总体感觉不错', '短评打分': 3}
{'短评内容': '酒店虽小，但很干净。隔音较差。', '短评打分': 3}
{'短评内容': '在衡山交通都算方便，有免费车到。可以不用住，直接到前台较为便宜！环境都算干净！', '短评打分': 5}
{'短评内容': '离衡山较近，帮我爸定了6间，也不知好不好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很干净的酒店，很新，还是中央空调，服务也很好，洗澡水要多放一会儿，我记住了尚客优，感觉比如家和汉庭都好。唯一缺点是，衡山地区这家没有电梯。', '短评打分': 5}
{'短评内容': '房间不错,可惜没有热水,网络也不通', '短评打分': 3}
{'短评内容': '设施很新，但床不舒服，大床房的床好像只有床板加床单。地点很好，离南岳牌坊只有几分钟车程，整洁干净。', '短评打分': 5}
{'短评内容': '房间装修设计尚可，卫生情况不佳，某些房间的空调系统不够好，8228房的空调完全不行，8227尚可，因为宽带上网的原因由8228转去8227房，相比之下发现8228 空调系统差很多，8228根本就上了网，虽然后面服务人员还是不错的解决，为我们找了相邻的房间。\n严重不足，由于换房关系，把之前房间的拖鞋穿到了8227，造成8227有4对拖鞋，但是这里的服务人员严重不行，居然23.30左右（由于本人早上一', '短评打分': 1}
{'短评内容': '酒店是中央空調的..這種天氣居然可以不開空調..連風扇都沒..請問我住的是青年旅舍嗎', '短评打分': 5}
{'短评内容': '房间价位在旅游景区来说还是可以接受,房间设施还可以。', '短评打分': 3}
{'短评内容': '酒店的设施比较不错，电视节目比较多，像是数字电视，印象不错.', '短评打分': 5}
{'短评内容': '房间的舒适度比较好，床很大，躺着很舒服，而且环境也好.', '短评打分': 5}
{'短评内容': '酒店的床板硬了点，水温不稳定，其他的各方面都挺好的，感觉挺干净！', '短评打分': 5}
{'短评内容': '客房的装修及布局都是挺不错的，而且设施也好，住着感觉很不错.', '短评打分': 5}
{'短评内容': '还算比较干净卫生,但离景点远,沐浴的水时冷时热,还第一天马桶冲不下,第二天沐浴堵水. 让他帮忙找车去车站,说什么一定要60元, 因为和之前了解的行情不一样,随即打了个白天认识的司机电话, 开价才50元. (实际上这次做高铁的一等票一张就400多了,不是在乎10块8块,主要是觉得有点那个)', '短评打分': 1}
{'短评内容': '卫生间设备太差，水龙头还是坏的。洗头水、冲凉液、牙刷、牙膏、梳子、拖鞋等等都要收费。不值198这个房价。不推荐。', '短评打分': 3}
{'短评内容': '服务尚可，但入住2天，第二天押金差一点不够就老催，太没有大家风范。而且卫生也只是一般。隔音也差。', '短评打分': 1}
{'短评内容': '交通很方便，中央空调效果很好\n但是洗澡不方便，水总是不够热，而且浴室的水会漏到睡房，很大一滩水，一晚上都没干···\n不知道是不是我运气差', '短评打分': 5}
{'短评内容': '交通挺方便的，旅游景点范围的快捷酒店算不错了。', '短评打分': 5}
{'短评内容': '酒店设施好，配套齐全，连锁酒店的质量令人放心', '短评打分': 5}
{'短评内容': '一进房间感觉眼前一亮，布置的很漂亮，电视是创维的，质量很好，房间灯饰很精美，床很大，睡着很舒服，卫生和服务都很好', '短评打分': 5}
