{'短评内容': '去年住的，评价晚了，环境卫生都还好，竟然还有早饭，虽然早饭简单，但也对得起这个价格了，总体来说，还可以吧', '短评打分': 4}
{'短评内容': '客户评价还行', '短评打分': 5}
{'短评内容': '不值这个价格，小旅馆的卫生水平，性价比较低。', '短评打分': 3}
{'短评内容': '性价比比较高的一家酒店，房间比较舒适，环境宁静安逸，工作人员的服务热情周到，住的很温馨很满意，说下次还来这家酒店！值得推荐！', '短评打分': 5}
{'短评内容': '一般吧，房间比较旧', '短评打分': 4}
{'短评内容': '房间挺大的，竟然有早餐，虽然种类少，不好吃，但一分价钱一分货，总体来说，还行', '短评打分': 4}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '很好，挺干净的酒店 旁边吃的东西也挺多', '短评打分': 5}
{'短评内容': '热水器莲蓬头坏了……靠浴室的那面墙。墙体剥落……有点不满意 前几次的房间还好，标准间和豪华大床房没区别，多了一个柜子就多了五十块好伤心的说……', '短评打分': 3}
{'短评内容': '干净，设施一般般，不过该有的都有，反正附近这家算好的了', '短评打分': 5}
{'短评内容': '一如既往', '短评打分': 5}
{'短评内容': '酒店地理位置挺好，服务周到，卫生环境也不错。', '短评打分': 5}
{'短评内容': '酒店还行，商务酒店', '短评打分': 5}
{'短评内容': '地理位置方便，卫生条件很好，价格适宜，服务态度好。', '短评打分': 5}
