{'短评内容': '就是太吵，其他挺好的，', '短评打分': 5}
{'短评内容': '没有早餐，有停车场', '短评打分': 4}
{'短评内容': '前台服务差', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '经济实惠！！！', '短评打分': 5}
{'短评内容': '红红火火恍恍惚惚哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '帮别人订的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '房间太小了～～', '短评打分': 4}
{'短评内容': '房间不错，不要有太多要求，晚上可以睡个好觉！！', '短评打分': 4}
{'短评内容': '价格实惠，环境不错，就是房间小点，不过一个人住可以了，麻雀虽小，五脏俱全，早餐也很好，下次继续到这住。', '短评打分': 4}
{'短评内容': '还不可以吧！这个价位很不错啦！', '短评打分': 3}
{'短评内容': '单人房，麻雀虽小，但东西挺全，被单有些污渍，建议太旧的被单可以换了，走小段路吃的很多，楼下五十米内也有超市，各方面都挺方便，房间没电话，性价比高，下次再来住，推荐', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
