{'短评内容': '酒店还行吧', '短评打分': 3}
{'短评内容': '在岛上就算很不错的了', '短评打分': 5}
{'短评内容': '涠洲岛比较正规的酒店', '短评打分': 5}
{'短评内容': '可以，环境好早餐好', '短评打分': 5}
{'短评内容': '很不错 很好', '短评打分': 5}
{'短评内容': '很不错 很好', '短评打分': 5}
{'短评内容': '很不错 很好', '短评打分': 5}
{'短评内容': '位置很好，玩下来感觉是南湾街一带非常不错的酒店。有发电机和电梯，房间也不错。岛上玩没几天的话住在南湾感觉蛮合适的，吃饭什么的都近，去各景点就租电动车吧，很方便。', '短评打分': 5}
{'短评内容': '岛上最老的一家三星级酒店，团队游客人较多，设备多已陈旧，靠近南湾镇市场', '短评打分': 4}
{'短评内容': '酒店推窗见海 紧靠海鲜市场 位置好，特别是周边服务比较齐全，唯一缺点是早餐希望能够提高一点！下次来，接着住', '短评打分': 5}
{'短评内容': '不知道那些好评怎么来的，418一个标间，说是四星级，房间设施旧，洗漱用品质量差，房间小。有一个房间的空调制冷效果极差。最最重要的是入住时，房间的被单未换新的，床上还有男人的毛发，枕头上很大的汗臭味，恶心死了。如果不是怕影响出行的心情，绝对投诉，要求赔偿。差评！', '短评打分': 2}
{'短评内容': '说是岛上唯一两家有电梯的酒店之一，买菜方便。但游玩的话喜欢骑摩托车的可以住滴水丹屏，因为那边水质比这边好', '短评打分': 4}
{'短评内容': '酒店是中规中矩的那种，有点旧，但是离市场很近很方便。', '短评打分': 3}
{'短评内容': '条件在当地算好的，价格也还可以接受。海景房可以近距离观赏海景，很不错。早餐有点简单，主要是稀饭和炒粉。', '短评打分': 5}
{'短评内容': '涠洲岛太脏了，整个服务完全跟不上', '短评打分': 2}
{'短评内容': '不错啊！以岛上经常停电停水的节奏！还是入住酒店比民宿要好！虽然价格贵贵一点点、值得的、房间环境不错！周边有渔船集中港口、买海鲜方便、又有市场！酒店旁边就是几间酒吧、推荐这间酒店啊！', '短评打分': 4}
{'短评内容': '房间是携程网上预付的，但没想到那天正好赶上南宁的民族节日3月3，从南宁到北海的火车票早早售罄，大巴由于堵车开了近4个多小时，到达北海时已经是下午，结果没有时间再买船票到涠洲岛了，所以最后只能放弃入住了。。。  ', '短评打分': 4}
{'短评内容': '港岛酒店是岛上最好的酒店', '短评打分': 3}
{'短评内容': '酒店位置很不错，房间里就能近距离看到大海，晚上在窗口就能拍到海水冲上大堤的海浪，感觉很好，但价钱太贵了，要不是因为随行的有2位老人，会选择便宜点的旅店了。', '短评打分': 1}
{'短评内容': '房间干净，就是价钱貴。前台刷卡机坏了，可是我昨天还特意确认是否能刷卡。', '短评打分': 3}
{'短评内容': '这是我帮朋友订的房，他也感觉该酒店是岛上目前最好的酒店，说是准四星，事实上差很远，只能算二星。好在酒店比较干净，海景也不错。', '短评打分': 5}
{'短评内容': '岛上目前最好的酒店，标称准四星，但是事实上差很远，最多只能算二星。好在酒店还算比较干净，且有不错的海景。', '短评打分': 5}
{'短评内容': '酒店真的很不错，确实是北海最好的酒店。北海人很淳朴热情。离海滩很近。服务也很贴心。全满分，下次来北海还会住这个酒店的。', '短评打分': 5}
{'短评内容': '酒店真的很不错，离海滩很近。服务也很贴心。全满分，下次来北海还会住这个酒店的。', '短评打分': 5}
{'短评内容': '岛上最好的酒店，但是设施简陋，象招待所。', '短评打分': 5}
{'短评内容': '这家酒店应该算是涠洲岛上最好的酒店了，看了下介绍，准三星的。我们上岛后第一天是在农家客栈住的，虽然有人接，但是，但是，客栈隔音效果很差，晚上没有睡觉好，第二天就直接杀到这里来了，好歹能睡个好觉！', '短评打分': 5}
{'短评内容': ' 酒店虽小还算干净温馨。', '短评打分': 3}
{'短评内容': '传说中岛上最好的酒店。也确实是岛上最好的酒店。不过跟陆地上的酒店自然是没法比的，也就准三星的标准。不过还挺干净的，虽然就这房间就这价钱是贵了点，不过勉强合格吧~', '短评打分': 5}
{'短评内容': '窗外就是海湾，看潮起潮落。步行10分钟就可到菜市。顶一个！', '短评打分': 3}
{'短评内容': '到北海旅游感觉最好的酒店，环境、设施、服务都还可以', '短评打分': 5}
{'短评内容': '算是涠洲岛最好的酒店，星级不达标，早餐特别次，没法吃，下次建议住农家。', '短评打分': 1}
{'短评内容': '房内设施较好海景房不错，', '短评打分': 3}
{'短评内容': '服务好，但是吃饭的话，上菜太慢.租车出去旅游，还是自己出去，比较好', '短评打分': 5}
{'短评内容': '  很好  干净舒服务', '短评打分': 3}
{'短评内容': '优点：房间装修不错，特别是卫生间，宽大，热水很好；宽带很快；靠近港口，吃饭这些都还方便。\n不足：早餐就一个团餐水平；浴巾毛巾质量太次，完全和酒店不是一个档次，用过后一脸毛线头！强烈建议更换！', '短评打分': 5}
{'短评内容': '都说是岛上最好的酒店，不过自助早餐太一般，白水鸡蛋限量供应，一人一个。', '短评打分': 5}
{'短评内容': '事先看到不少对此酒店的负面评论，入住后感觉比之前想象的好。对于岛上最新最好的酒店，还是应鼓励一下。酒店位置适中，出行方便，房间干净，前台热情。希望涠洲岛人在努力提升硬件水准和管理水平的同时，保留一份传统的纯朴民风。', '短评打分': 5}
{'短评内容': '酒店在涠洲岛上算是最好的了，还比较干净。位置不错，去五彩滩、教堂及火山公园都很方便，酒店门口有很多载客面的和三轮车。出酒店左转100米左右有一排海鲜排挡，味道挺好，价格也不贵。', '短评打分': 5}
{'短评内容': '酒店不错，出入方便。', '短评打分': 3}
{'短评内容': '海岛上一家规模较大的酒店,比较干净,就是会停电.', '短评打分': 5}
{'短评内容': '环境很好，很有特色，距离银滩和码头都比较近，很好', '短评打分': 5}
{'短评内容': '对岛上的酒店要求千万别太高，这家的位置和服务还比较好，卫生干净，挺好。', '短评打分': 5}
{'短评内容': '港岛酒店不好，下次决不住这家了，空调不行，换房间后还不行，宽带卡死了，上不了网，还有淋浴龙头出水太小，总之不好，没优点', '短评打分': 1}
{'短评内容': '港岛酒店在涠洲岛来说还是可以的， 适合对于住宿有点要求的朋友。就是价格确实是有点小贵， 虽然说是按照准4星酒店来建的， 但是， 其实， 还是达不到准4的标准，没有办法了， 涠洲岛就这么一个小地方。 酒店位于涠洲岛镇中心，酒店大门正门就是面朝大海的，从酒店出门向左走约500米就是集市，买东西什么的都很方便。酒店设施城景房290元还可以，晚上很静，彩电不是液晶的，海景房340元确实是面朝大海~~~城景', '短评打分': 5}
{'短评内容': '港岛酒店在涠洲岛来说还是可以的， 就是价格确实是有点小贵， 虽然说是按照准4星酒店来建的， 但是， 其实， 还是达不到准4的标准，没有办法了， 涠洲岛就这么一个小地方。 酒店位于涠洲岛镇中心，酒店大门正门就是面朝大海的，从酒店出门向左走约500米就是集市，买东西什么的都很方便。酒店设施城景房290元还可以，晚上很静，彩电不是液晶的，海景房340元确实是面朝大海~~~城景房豪标480元， 贵了点，但', '短评打分': 5}
{'短评内容': '港岛酒店在涠洲岛来说还是可以的，就是对于住宿要求高的朋友来说是可以的， 岛上也就这家酒店好点。 酒店位于涠洲岛镇中心，酒店大门正门就是面朝大海的，从酒店出门向左走约500米就是集市，买东西什么的都很方便。酒店设施山景房290元还可以，晚上很静。', '短评打分': 5}
{'短评内容': '港岛酒店在涠洲岛来说还是可以的， 酒店位于涠洲岛镇中心，酒店大门正门就是面朝大海的，从酒店出门向左走约500米就是集市，买东西什么的都很方便。酒店设施城景房290元还可以，彩电不是液晶的，海景房340元确实是面朝大海~~~城景房豪标480元， 贵了点，但是地毯很厚， 电视是液晶的挂墙上的。', '短评打分': 5}
{'短评内容': '海景房面朝大海，风光很美，下楼就可以到海边玩儿。房间里可以远眺鳄鱼山公园和猪仔岭，离妈祖庙也非常近。酒店很干净，应该是岛上最好的酒店，虽然价格贵点，还是值得', '短评打分': 5}
{'短评内容': '条件不错。岛上最好。', '短评打分': 3}
{'短评内容': '如果对住宿要求很高的朋友在涠洲岛就只能选择这家酒店，有一晚被免费升级到豪华山景房总之还不错', '短评打分': 5}
{'短评内容': '房间偏小,但干净.是岛上最好的酒店,但靠马路,有点吵.酒店服务人员态度很好,特别值得一提的是,我有一件K&C的外套放在衣柜里忘了带走,打电话给酒店,立即就同意给我邮寄过来,在此表示感谢.', '短评打分': 5}
{'短评内容': '在涠洲岛可能是最正规的一家酒店，其它的酒店你更看不上，因此没有可比性。希望改善一下早餐的质量！', '短评打分': 5}
{'短评内容': '住的海景标间,卫生条件很好,但房间面积稍小', '短评打分': 3}
{'短评内容': '海景不好看,不值,特别是标准海景房,就只有一个窗口.如果要看整个岛和海景,还是在到蓬莱酒店,但条件差得多.', '短评打分': 5}
{'短评内容': '还可以,在岛上也就只有这个酒店可以住一下.', '短评打分': 5}
{'短评内容': '涠洲岛上最好的旅馆。我们的海景房景观很好。我们非常享受岛上的宁静，虽然房间不大。价格是高了些，尤其和北海比。', '短评打分': 5}
