{'短评内容': '周围在修高价，酒店临街的一面比较吵', '短评打分': 3}
{'短评内容': '酒店还是挺高好的', '短评打分': 5}
{'短评内容': '床头的插座都是没用。 充电好麻烦。', '短评打分': 3}
{'短评内容': '房间很干净，有点小，但是挺喜欢这种简洁的风格，有个办公桌，关键还便宜，睡得很舒服，以至于我误了第二天的火车，妈卖批', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '一个子还好', '短评打分': 5}
{'短评内容': '还行，就是洗澡水一下热一下凉，不好不好…', '短评打分': 4}
{'短评内容': '出行方便，交通便利', '短评打分': 5}
{'短评内容': '还不错，好评', '短评打分': 4}
{'短评内容': '代朋友定，朋友说连锁店的服务就是高，风格统一，干净整齐，就是房间的隔音差了些。住了两天，对餐厅的饭食的口味不太习惯。', '短评打分': 4}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '1.整体还是干净的 2.Wifi网络不是非常稳定 3.卫生间灯光太暗，希望能够改善。 ', '短评打分': 4}
