{'短评内容': '环境不错，挺卫生的。交通便利，旁边就是万达，吃的逛的都很方便。去旅游的好选择。就是位置远了点。总的来说还是不错的。', '短评打分': 5}
{'短评内容': '位置好，在万达内，出行方便，休闲娱乐也很便利，房间空间大，宽敞明亮，商务办公临时住宿比较好的选择', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以，适合出差办事，刚刚好在万达附近', '短评打分': 5}
{'短评内容': '酒店太差劲了，与网上介绍完全不相符，说是豪华房，实际普通的不能再普通，而且特别吵，订了6晚想提前退房也不肯，这样的酒店绝对不会去第二次，大家三思而后订！！！', '短评打分': 1}
{'短评内容': '.', '短评打分': 5}
{'短评内容': '.', '短评打分': 5}
{'短评内容': '#ud83d#ude0a', '短评打分': 5}
{'短评内容': '万达边儿上，挺方便。', '短评打分': 5}
{'短评内容': '前台和住宿不在一栋，环境卫生一般，wifi容易断', '短评打分': 4}
{'短评内容': '离万达近，出行方便', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '边上是万达吃得很多，到福州都住在这家', '短评打分': 4}
{'短评内容': '挺不错的，就在万达边上，交通便利，吃的也多。', '短评打分': 4}
{'短评内容': '位置离万达近，但前台和房间分开两栋楼。设施和卫生一般，服务差还不给发票，说网上订的没有发票，但实际网上价格和门店现场价格是一样的。', '短评打分': 2}
{'短评内容': '周边万达附近不错，服务态度差', '短评打分': 4}
{'短评内容': '设备老旧，服务态度差', '短评打分': 4}
