{'descr': '订了5次，还是没有找到住的地方，让我评价啥，', 'star': 1}
{'descr': '房间很小，很压抑，感觉一般', 'star': 4}
{'descr': '挺一般的……没有早餐！！！', 'star': 4}
{'descr': '灯，浴室，卫生间，空调，床都有很大提升空间至少向7天，如家，锦江之星看齐周边吃饭方便，距离地铁口得走20分钟，最好打车', 'star': 4}
{'descr': '知道帝都贵，可是不如附近的如家，7天，锦江之星等房间不仅小，照明不足，浴室，卫生间都是比较廉价的，难道就不能看齐同等水平的别家全国各地的汉庭都体验不好', 'star': 4}
{'descr': '还行、只是早餐是外卖............ 都凉了....... 酒店态度也可以、设备也可以、也比较干净', 'star': 3}
{'descr': '还可以的。房间稍微小了点。其他都不错。', 'star': 5}
{'descr': '还不错吧！！！！', 'star': 5}
{'descr': '很好，地理位置优越', 'star': 5}
{'descr': '环境差就不多说了，在京东订的 8号离店今天20号发票一直没有给开并邮寄过来，联系客服踢皮球，一直在转接没得到问题解决，\n最后说是代理商开发票，联系代理商 代理商又说发票可以开邮寄费是到付的~~~~~~瞬间无语了，第一次碰到这样问题，还是京东太差劲了，再也不想用这个京东了', 'star': 1}
{'descr': '酒店规矩，如家标准', 'star': 5}
{'descr': '居然还有打电话到房间问需不需票按摩的。真是可以了。外面也是不安静。', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '方便、安静', 'star': 4}
{'descr': '位置不错，卫生良好，还可以', 'star': 4}
{'descr': '方便，周围环境还挺不错，生活一般。', 'star': 5}
{'descr': '还不错吧', 'star': 5}
{'descr': '位置不错 设施还可以 值得推荐', 'star': 5}
{'descr': '打扫清洁下午才来，洗发露也没有！其他就还凑合！', 'star': 4}
{'descr': '很好，不错，旁边吃的很多，交通业也方便，步行20MIN可以到三里屯', 'star': 5}
{'descr': '房间干净，电视小了点，周围环境不错，用餐方便，有大超市。如果是到大使馆签证是一家不错的快捷酒店。', 'star': 5}
{'descr': '都还不错，周日特价房只有200，性价比较高。不足的是隔音一般，电视太小而且不清晰。', 'star': 5}
{'descr': '看了网上的点评，离美国大使馆近才决定预定这家，但是其实很远，我大概走了有20多分钟，要说离美国使馆近的酒店，要数如家燕莎使馆店和如家燕莎店（而且离地铁近）。位置不好找，房间小，我是定的大床房，结果给了个双床房，我致电总台，“因为你定的周日百元房，有什么房给什么房”（前台小姐原话，复述旁边一位男同事的话，入住时见到像是个头头），有没有搞错，不管是不是百元房还是正价房，我是掏了钱的，而且百元房也是20', 'star': 1}
{'descr': 'good', 'star': 3}
{'descr': '因为没有在主干道旁边，所以还是挺安静的。周围也有吃饭的地方和超市。就是房间太小了，包括卫生间也太小了。洗澡的时候，浴帘一直往身上贴，感觉特别不舒服。不过经济型酒店是这样啦。服务员态度很不错', 'star': 5}
{'descr': '酒店干净，交通比较便利。去往机场，美国大使馆，及一些景点都比较方便。就是位置不是非常好找，出租车司机也不太清楚。相信住的人多了会好许多吧。', 'star': 5}
{'descr': '不错不错不错不错还不够二十个字吗是不是啊', 'star': 5}
