{'短评内容': '都很不错', '短评打分': 5}
{'短评内容': '小旅馆的设施。洗漱用品都另收费用', '短评打分': 1}
{'短评内容': '价格浮动太大 ', '短评打分': 2}
{'短评内容': '服务还行，但设备空间真的不忍直视', '短评打分': 2}
{'短评内容': '，，，，，，可以', '短评打分': 5}
{'短评内容': '无力吐槽', '短评打分': 3}
{'短评内容': '很一般、不想再换了，凑合一天吧', '短评打分': 3}
{'短评内容': '不是本人住的', '短评打分': 4}
{'短评内容': '不错，干净，虽然有点小，交通方便，逛街不远', '短评打分': 5}
{'短评内容': '去的时候青岛酒店普遍价格上涨，这个酒店价格还行，其他的一般', '短评打分': 3}
{'短评内容': '环境很好，我很喜欢。不过房间有点小，但是离台东这么近，性价比已经很高了。交通，购物，吃饭都特别方便。价格也划算，下次来青岛，还会选择您家。', '短评打分': 5}
{'短评内容': '这酒店真的很烂 房间小 味道浓 服务态度更烂  而且没有返还现金', '短评打分': 1}
{'短评内容': '靠近台东商圈，购物逛街很方便~总体来说还是很不错的。', '短评打分': 5}
{'短评内容': ' 很不错~处在台东繁华商圈，但就是房间面积小点了。总体上还不错~', '短评打分': 3}
{'短评内容': '卫生很差，老楼改的，根本睡不着，就在十字路口，外面车子、人、说话的声音都听的清清楚楚，唉，确实太差。不说了。', '短评打分': 1}
{'短评内容': ' 迷你房实在是迷你，也太小了吧。屋里还有台阶，地漏也不太通畅 味比较大。', '短评打分': 3}
{'短评内容': '去了拿出手机给前台看短信，前台说跟京东没有业务往来。\r\n178的豪华大房真大方，大概就10平米吧，定这家酒店的不如去顶迷你小房还便宜内容还都一样，上当受骗啊！！！！！！！！', '短评打分': 1}
{'短评内容': '房间虽小但真的不错，镜子多多电视也很大，床头的墙像沙发一样柔软，很温馨。', '短评打分': 3}
{'短评内容': '感觉还行 就是房间有点小 房间比较紧促 低端比较喧闹', '短评打分': 5}
{'短评内容': '房间比较小，但是干净。隔音效果不好，但离台东商业区非常方便，总之还是值得住的~', '短评打分': 5}
{'短评内容': '要不是朋友住处离得近，下次绝对不会再选这家酒店。由于是原来的KTV改的，角落里都是脏兮兮的，杯子里面还有小虫子，要不就给一次性的。网线还需要去下面拿。', '短评打分': 1}
{'短评内容': '有点闷', '短评打分': 3}
{'短评内容': '很好的酒店，就是地漏不下水，卫生间有味道，其他还好。、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、', '短评打分': 5}
