{'短评内容': '去武汉经常入住这里，武汉大学医学部对面，很方便！', '短评打分': 5}
{'短评内容': '闹中取尽！', '短评打分': 5}
{'短评内容': '高档酒店，高档服务，环境好，性价比高，离中南医院，汉街，汉秀剧场，都很近，还有沿湖路，可以城床夜游东湖', '短评打分': 5}
{'短评内容': '入住多次了，就在武汉大学医学院对面，到汉街步行也就几分钟，到汉街地铁站骑共享自行车也只要几分钟，在窗口就可看到东湖', '短评打分': 5}
{'短评内容': '酒店不错，四星。入住有惊喜，免费升级套间。交通方便，离汉街、武大都近，已经不是第一次入住了，下次还会继续选择。', '短评打分': 5}
{'短评内容': '风景蛮好的', '短评打分': 4}
{'短评内容': '配套很齐全', '短评打分': 5}
{'短评内容': '配套很齐全', '短评打分': 5}
{'短评内容': '在武汉大学医学部对面，对面是东湖，非常方便！', '短评打分': 4}
{'短评内容': '来这边出差的，酒店很好，给免费升级了套间，意外的惊喜哈哈哈！', '短评打分': 5}
{'短评内容': '去武大出差，所以这里是最佳选择，而且前台还帮免费升级了江景套房，在此谢谢那个态度温和的高颜值帅哥噢！', '短评打分': 5}
{'短评内容': '地理位置非常好', '短评打分': 4}
{'短评内容': '位置较近，正好是会议酒店，环境也不错。', '短评打分': 5}
{'短评内容': '老牌的酒店，环境蛮好的，房间比较干净，预订比较困难。', '短评打分': 5}
{'短评内容': '还行吧。位置比较方便 但没早餐不方便', '短评打分': 4}
{'短评内容': '还行吧位置还比较方便。但没早餐', '短评打分': 4}
{'短评内容': '很不错的酒店，服务也很周到', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '服务还可以', '短评打分': 4}
{'短评内容': '风景不错~`  全景东湖.', '短评打分': 5}
{'短评内容': '我订的2天房我只住了一晚上', '短评打分': 3}
{'短评内容': '靠近东湖，距离湖北省政府很近，位置绝好，价格有些偏贵，早餐体现不出武汉的特色', '短评打分': 5}
{'短评内容': '不错，环境好。服务好。', '短评打分': 3}
{'短评内容': '帮同事定的  反应不错哦！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '帮朋友订的.一共订了七间房,反映不错哦', '短评打分': 3}
{'短评内容': '设施比较旧了，但位置不错，出门到医院比较方便，用餐很一般。如不到医院，不太推荐住这里。\n', '短评打分': 1}
{'短评内容': '氛围很好，地段也不错，房间很整洁，还会光顾', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '地点不错，条件也算不错，设施稍显陈旧了点', '短评打分': 5}
{'短评内容': '地址不错，条件也算不错，有些设施稍显旧了点。', '短评打分': 5}
{'短评内容': '酒店位置不错，但是设施有些陈旧，相对价格而言，性价比不是很高。如果追求环境的人，最好换其它同等价位的酒店。', '短评打分': 1}
{'短评内容': '旧了点，总体还不错', '短评打分': 3}
{'短评内容': '房价有点偏高，湖景房风景非常好，但出行不是太方便。', '短评打分': 5}
{'短评内容': '干净卫生，服务态度好，房间宽带上网速度慢，房价价格合理。', '短评打分': 5}
{'短评内容': '在武大樱花盛开的时候去住的，酒店的设施和服务都普普通通，还可以！', '短评打分': 5}
{'短评内容': '靠近东湖环境好，房间干净卫生，早餐品种少', '短评打分': 5}
{'短评内容': '酒店还可以，比较卫生。', '短评打分': 3}
{'短评内容': '这个酒店的性价比太低了，4星级酒店，三星左右的服务和装修。', '短评打分': 1}
{'短评内容': '地理较好，房间环境也不错。', '短评打分': 3}
{'短评内容': '酒店服务好，地理位置方便，是去武大看樱花的首选入住，推荐！', '短评打分': 5}
{'短评内容': '房间很老旧，除了可以看见湖，还有就是床单的纱比较细，其余的感觉不太好。马桶的抽水系统不是很灵活，浴缸的水龙头不知是不是坏了，无法转成淋浴，以这个设施来说，还要598，价格高了。', '短评打分': 5}
{'短评内容': '房间很舒适，很好！就是价格有点高。不过能送自主早餐性价比高点了。', '短评打分': 5}
{'短评内容': '环境还好，住的1610房，空调有点冷，希望检修一下。', '短评打分': 5}
{'短评内容': '很不错的酒店，就在东湖边，值得再次来住。', '短评打分': 5}
{'短评内容': '价位高还不含早餐，但湖景房确实很漂亮，想想其所处地理位置，也许就是价高的原因吧！希望这么高的价能含早餐', '短评打分': 5}
{'短评内容': '因为需要不得不选住这家酒店。感觉设施一般居然收如此高房费（498元/间夜）还不包早餐！哪怕498元房价能包含早餐也好呀！房内卫生间设施还不如三星酒店。住店客人在酒店用餐，也照收服务费。值得称道的只有窗外景致，观景电梯、湖景房外的景色很漂亮！前台服务也不错，根据订房情况对无法12点退房客人允许延至14点，', '短评打分': 1}
{'短评内容': '房间很好，色调温馨，最让我感觉舒服的是床，躺在上面就有想睡觉的欲望。以后还会去住的。美中不足的是位置偏了点。', '短评打分': 5}
{'短评内容': '湖景房挺不错的，酒店环境也好，价格可以接受！                          ', '短评打分': 5}
{'短评内容': '湖景房挺不错的，酒店环境也好，正好赶上学术交流活动', '短评打分': 5}
{'短评内容': '环境优雅，设施完备，干净卫生，值得一住。。', '短评打分': 5}
{'短评内容': '如果不是为了办事方便绝不会住这家。平心而论，酒店位置环境都不错，东湖边上风景很好，但是服务态度很一般，早餐也过于简单，对不起价格。', '短评打分': 1}
{'短评内容': '环境不错。\r\n客房服务点了披萨和面。披萨还好，面实在非常非常难吃。。。。', '短评打分': 3}
{'短评内容': '似乎新装修过，还不错', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': 'not bad', '短评打分': 5}
{'短评内容': '每次回武汉，基本都是这个酒店。尽管设施随时间变化慢慢地旧了，但总体上还是很不错。', '短评打分': 5}
{'短评内容': '酒店不错，环境不错，可惜不含早餐', '短评打分': 5}
{'短评内容': 'just so so.', '短评打分': 1}
{'短评内容': '国内星级饭店的通病，地毯因没有定期清洁而太脏。', '短评打分': 1}
{'短评内容': '位置比较偏，', '短评打分': 5}
{'短评内容': '地毯肮脏，装修残旧，服务一般，退房刷完卡后还要等几分钟查房，几次催促才让走，第一次住酒店碰到这种情况。518元的4星酒店，性价比太差.', '短评打分': 1}
{'短评内容': '房间装修与其四星标准相差甚远，太旧了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错的一家酒店。会经常来住！！', '短评打分': 5}
{'短评内容': '比原来差了，特别是洗手间', '短评打分': 5}
{'短评内容': '有健身房的酒店不多，住在弘毅可以免费健身，还有免费矿泉水送哦。', '短评打分': 5}
{'短评内容': '总体尚可', '短评打分': 5}
{'短评内容': '设施太过于陈旧 该换换了', '短评打分': 5}
{'短评内容': '硬件设施还不错,酒店的服务也还可以,位置还是挺好找的,性价比也不错.', '短评打分': 3}
{'短评内容': '价格合适，服务和内部设施都不错', '短评打分': 5}
{'短评内容': '酒店的位置比较不错，交通挺方便的，这个价格也不算贵，内部设施和环境我觉得都还算可以。', '短评打分': 3}
{'短评内容': '我住的是801 那个窗帘无法完全合拢，周围会有一点漏光，其他的还没有什么。。总体来说是不错的酒店', '短评打分': 5}
{'短评内容': '酒店总体还不错,在东湖边上,所在环境非常漂亮,大床房里面床也非常大,很舒适,挺满意的.', '短评打分': 3}
{'短评内容': '十一时带老人去武汉旅游，酒店整体感觉很好，干净卫生、清净，适合老年人居住。刚入住就有服务生送来水果，叫人很舒服。', '短评打分': 5}
