{'短评内容': '周边正在改造，明年会更好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '一个字紧挨岳阳楼，其它的都不值得，卫生差，房间挨马路，闹，不隔音，但是方便，走路去景区就行，老板服务很好，态度好！', '短评打分': 2}
{'短评内容': '旅游淡期去住的，基本没住的人。整体还是可以的。房间卫生有待提高，房间里还有蟑螂。房间靠马路，夜里车来车往声音很吵，晚上基本没睡着。', '短评打分': 4}
{'短评内容': '很不错！老板态度很好 就在岳阳楼对面 出行很方便', '短评打分': 5}
{'短评内容': '门前正在修路，吵闹杂乱，房间细小，设施旧，最恐怖的是洗手间地漏严重堵塞，冲个凉弄得满脚脏水，恶心！携程坑爹，订房写明双床房的房价125元，到店付现金138元入住后返现13元，结果是没返现，骗人的。', '短评打分': 2}
{'短评内容': '位置好，在岳阳楼附近，走几步就到，只是早餐不怎么样，还限时，本晚了没有。可恶的是，早餐店开始见我们去，很热情的接待，问吃什么，后来见我们拿早餐卷，尼妈立即翻脸，说没有早餐，过时间了，用不了，这狗头早餐店，可恶之极', '短评打分': 3}
{'短评内容': '很一般很一般', '短评打分': 1}
{'短评内容': '位置超好，还能停车，适合节假日拥堵期出游，特别是带了老人的。真他不想评价，超一般。', '短评打分': 3}
{'短评内容': '设施设备陈旧了点，洗澡水小不太热，前台及客房服务员态度好。', '短评打分': 5}
{'短评内容': '房间年代较久，卫生还不错，位置很方便就在岳阳楼对面。', '短评打分': 4}
{'短评内容': '离岳阳楼倒是挺近，但是酒店太老，卫生、设施都看不下去，要不是看前台态度不错都准备走人了。', '短评打分': 3}
{'短评内容': '价格优惠，风景优美', '短评打分': 3}
{'短评内容': '地点就在岳阳楼旁，挺方便。可是设施跟招待所一样，不敢恭维', '短评打分': 4}
{'短评内容': '前台服务超好，我是半夜才到的，人家也等到了半夜。房间也挺好的。挨着岳阳楼，安静。外面的大街，每晚都用水擦洗，卫生标准高！', '短评打分': 5}
{'短评内容': '还不错，晚上吃饭不方便！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '前台的招待员很和蔼可亲，房间也不错，就是晚上窗户外面不知道什么东西有点吵，总体还是不错的', '短评打分': 5}
{'短评内容': '不错，性价比高。总台巨热情，指挥停车一直引导到停车场。', '短评打分': 3}
{'短评内容': '酒店服务不错，设施也不差，更重要的是酒店处在岳阳楼对面，周围的餐饮设施挺多，挺方便的。', '短评打分': 5}
{'短评内容': '位置好，价格好，环境好，早餐要更好就好上加好', '短评打分': 5}
{'短评内容': '虽然旧了点，地板和墙面有潮湿味道，不过离景区近，方便，而且，开窗就看到景区了，舒服', '短评打分': 5}
{'短评内容': '客栈服务热忱，态度好，整洁、干净；由于住的楼层高，热水水压不高。', '短评打分': 5}
{'短评内容': '房间很大，很舒服。', '短评打分': 3}
{'短评内容': '酒店地理位置相当不错，要是能再把卫生加强加强就更好了', '短评打分': 5}
{'短评内容': '地理位置优越，对面就是浩渺无垠的洞庭湖，正对着岳阳楼，个人感觉岳阳楼不值得一看，门票太贵，但是洞庭湖还是不错的，所以订幸福e家客栈的观景房还是不错的，可以直望洞庭湖，只是酒店里的设施陈旧，窗台玻璃都很脏.', '短评打分': 5}
{'短评内容': '服务很热情。也很干净  下次还会入住的、', '短评打分': 5}
{'短评内容': '酒店不大，但还干净。位置也很好，所以还会推荐给其他朋友。', '短评打分': 5}
{'短评内容': '还算不错的酒店，距离岳阳楼非常的近，下次再来，应该还会住的。', '短评打分': 5}
{'短评内容': '在岳阳差不多钱可以住到更加好的。。。服务一般。。。酒店很一般', '短评打分': 1}
{'短评内容': '酒店氛围很好，有星级酒店的氛围~感觉比较舒服', '短评打分': 5}
{'短评内容': '还行吧，地理位置优越，对面就是浩渺无垠的洞庭湖，正对着岳阳楼，个人感觉岳阳楼不值得一看，门票太贵，但是洞庭湖还是不错的，所以订幸福e家客栈的观景房还是不错的，可以直望洞庭湖，只是酒店里的设施陈旧，窗台玻璃都很脏，估计好久没搞卫生了！值得一提的是，前台小姐的服务态度非常好，有耐心', '短评打分': 5}
{'短评内容': '总体还不错 只是卫生间里 洗澡有时候没热水 这个很郁闷', '短评打分': 5}
{'短评内容': '岳阳幸福e家客栈临街夜晚有点太吵  洗手间的洗头液和沐浴露应该使用一次性的  洗手间气味太大  床铺有点太硬  睡着不舒服  房间地毯太旧  建议更换新地毯  工作人员的服务还是相当不错的  非常热情', '短评打分': 1}
{'短评内容': '酒店的小票不正规，去的话登记的时候要仔细核对下，   我进去的时候给了前台四百，结果她打的三百，  然后退房的时候她硬是说我只给了三百，那个前台语气特差，我们好言让她仔细想想，她硬是不干~~！！！一百块钱倒无所谓，可这完全关系到酒店的信誉和个人的名誉问题，  希望以后去的人注意下，不过酒店环境还是不错的，', '短评打分': 5}
{'短评内容': '有蟑螂，吓死人，弄了好半天拍死了！其他还可以，早餐只有粉，虽然是6元劵，什么都没有，吃了份热干面', '短评打分': 1}
{'短评内容': '我住的商务大床房。设施还行。就是没有肥皂。门口早晨的时候很吵，隔音不是很好。房间有霉味，但是位置好找。搭车方便！', '短评打分': 5}
{'短评内容': '隔壁是小学，所以想九点起床的人会受不了。', '短评打分': 3}
{'短评内容': '这里位置不错，交通方便，出门不远就有公交车站，到火车站和君山公园都有公交车。但是，实话说，情节方面问题要加强，另外就是，我在网上定了两个单人间，去了发现明明有个是麻将房，还好有床，只是后悔，早知道是麻将房，就多叫几个人去打麻将了！', '短评打分': 5}
{'短评内容': '环境不错，服务态度很好。那天我们凌晨一点多才到，那时只剩我们没入住，那前台服务的也等到我们来到才去休息。服务超好', '短评打分': 3}
{'短评内容': '还行，离景区近，就是放假有点味道！', '短评打分': 3}
{'短评内容': '价格很公道，位置也挺方便，同时清早就能听见汽车喇叭了，呵呵', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '上午入住就有房，很顺利。中午在餐厅吃鱼，价格太贵。', '短评打分': 3}
{'短评内容': '房间装修太旧了，而且洗澡水好像不太干净。', '短评打分': 1}
{'短评内容': '幸福e家地理位置非常好，对面就是岳阳楼，不足之处就是酒店没有一次性拖鞋比较不方便。', '短评打分': 3}
{'短评内容': '客栈位置很好,就是房间小了点.', '短评打分': 3}
{'短评内容': '离岳阳楼真的很近，再往前走一点就是小吃街—汴河街。交通也还算方便，离火车站也还算近。就是隔音效果真的挺差。环境服务什么的也没法和如家七天一类的比。不过还是挺便宜的。', '短评打分': 5}
{'短评内容': '酒店硬件设施不是很好,淋浴水小且不热，卫生条件也不太好。', '短评打分': 1}
{'短评内容': '  工作人员服务还不错,只是房间卫生不是很干净!价格如果再实惠点,我相信会有更多游客选择!', '短评打分': 5}
{'短评内容': '该酒店就在岳阳楼对面，住观景房岳阳楼公园及洞庭湖可尽收眼底，交通方便，卫生状况还是可以的，酒店服务人员态度相当好！就是空调的效果差一些！总体感觉还是相当不错！值得推荐 ！！！！！！！！！！\n', '短评打分': 5}
{'短评内容': '这家客栈的地理位置很好，离岳阳楼很近，坐车很方便。只是地毯比较脏，还有就是早餐过了8：30就没有了，要去附近的早餐店吃，虽然也是免费的，但只有米粉或河粉，白粥或包点就没有。入住的时候前台的美女应该提示一下，如果喝白粥要8点前到餐厅，但她没说。    \n但总的来说还对的起这个价钱的，凑合吧。。。。', '短评打分': 5}
{'短评内容': '服务态度很好。地理位置佳。就是热水慢了点。', '短评打分': 5}
{'短评内容': '春节期间入住的，在岳阳楼对面。我住的是二楼，2人经济房，房间不是很大，室内条件还不错。客栈服务不错。不是沿街，不算太吵，上顶楼可以看到岳阳楼的全景。乘高铁的话，坐游1路，大概30分钟可以到达。有机会去的话，还会入住。', '短评打分': 5}
{'短评内容': '正确来说，客栈处于岳阳楼斜对面，正对岳阳楼风景区，离岳阳楼和洞庭湖很近，就对面而已，所以地理位置很好，方便。入住的是两间观景房，晚上洞庭湖没有灯，只有岳阳楼和巴陵胜状里面的一些灯，所以风景一般，不过到它家天台观看更好。观景房房间还是不错的，比较整齐，卫生也可以，但床铺可以更好，电视的频道也很多。不过对于临街的房间要注意，由于临街，晚上车辆经过的声音比较响，会影响睡眠。总体来说，性价比不错，对于对住', '短评打分': 5}
{'短评内容': '最大优点，十分靠近汴河街（岳阳楼旅游区必去之处）方便，古朴！缺点：一分钱一分货！！！！', '短评打分': 5}
{'短评内容': ' 客栈就在岳阳楼对面,可以从窗户直接看到洞庭湖,很方便', '短评打分': 3}
{'短评内容': '对这个城市不了解，和别的城市相比起来，房间和价钱还是很可以的。', '短评打分': 5}
{'短评内容': '地点不错,但服务不行,马桶没冲,而且堵了,换了间房后问早餐,刚开始说没有,后来说可以买点送来,但要九点才行.以后不推荐住这样的酒店 .', '短评打分': 1}
{'短评内容': '岳阳幸福e家客栈入住有感，房内环境很好，性价比很高，地点近岳阳楼。很好。下次再到岳阳的首选客栈。', '短评打分': 3}
{'短评内容': '房间比较宽敞，只是灯光有点暗，窗户有点透风', '短评打分': 5}
{'短评内容': '位置非常好，如果天晴的话，住观景房，可远眺洞庭湖，近观岳阳楼。房间价位适中，比较干净。', '短评打分': 5}
{'短评内容': '酒店离岳阳楼很近，可以看到洞庭湖，但是卫生待改善', '短评打分': 5}
{'短评内容': '服务态度还可以。观景房可以看到岳阳楼，离岳阳楼也很近。', '短评打分': 5}
{'短评内容': '我们己入住幸福e家客栈.感觉无论是环境,还是服务都很不错.我们很满意.', '短评打分': 3}
{'短评内容': '位置好，交通、观景、购物、吃饭都方便，性价比高，就是床垫有点硌', '短评打分': 5}
{'短评内容': '紧挨着岳阳楼，房间卫生一般，但是地点还算好。性价比还可以吧。位置比较好找', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '一楼大厅很时尚可爱,从5楼湖景房看下去,全家决定不登岳阳楼了;进了大床房惊喜竟有电动棋牌桌,全家打得不亦乐乎,这也是我第一次陪爸妈打牌.爸妈有早起去吃早餐,说还蛮好吃的.唯一就是前台较少问候.\n', '短评打分': 3}
{'短评内容': '一楼大厅时尚可爱,从5楼湖景房看下去,全家决定不登岳阳楼了;进了大床房惊喜竟有电动棋牌桌,全家打得不亦乐乎,这也是我第一次陪爸妈打牌.爸妈有早起去吃早餐,说还蛮好吃的.唯一就是前台较少问候.', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '出门就是岳阳楼，服务不错，就是房间一般，但是还算性价比比较好，下次如果去，还会入住吧', '短评打分': 3}
{'短评内容': '+标双房条件还算过得去', '短评打分': 5}
{'短评内容': '住的大床房，显得房间不大，装修很一般，不入流的小宾馆。价格不便宜', '短评打分': 1}
{'短评内容': '卫生实在不好，被单都有些脏，不过位置还不错，就在岳阳楼的对面，景观房正对着洞庭湖。另外，送的早餐实在是烂，没法吃。', '短评打分': 1}
{'短评内容': '就是因为离岳阳楼比较近，所以才会定这家酒店。价格倒是也不高，只是有些过分简陋了！ 也许客栈都这样吧！', '短评打分': 1}
{'短评内容': '舒适，环境好，出门就是景区，交通方便，楼下面都是餐馆，或者售货小店，方便', '短评打分': 5}
{'短评内容': '卫生还可以，前台服务态度很好，人员很热情。', '短评打分': 3}
{'短评内容': '性价不真的不错！特别是在位置上，就在岳阳楼旁边，住得高有无敌湖景！嘻...', '短评打分': 5}
{'短评内容': '酒店的前台服务很好，就是他们所开的酒家吃早点的地方，说真的很不好，态度更是让人特不舒服，先到很久的没得吃，刚来的反而一下子就上了早点。而且我们已经说明了，我们先到，服务员还是把面给别人上了，之后一句对不起都没讲！', '短评打分': 1}
{'短评内容': '很一半..有很多小虫..卫生很差....................', '短评打分': 3}
{'短评内容': '下次不会再住拉.................................', '短评打分': 3}
{'短评内容': '卫生很差...各种虫会爬到身上......................', '短评打分': 1}
{'短评内容': '其他还好，就是少了洗发水！！！希望贵酒店有所改进。', '短评打分': 5}
{'短评内容': '交通方便，条件也可以，服务态度也不错，是一家性价比可以的酒店。', '短评打分': 5}
{'短评内容': '位置不错 交通便利 房间卫生间宽敞 还算干净 服务员态度好 就是近马路 有点吵', '短评打分': 5}
{'短评内容': '卫生不好！不过可以免费打电话，另外热水开始的时候居然没有！~', '短评打分': 1}
{'短评内容': '+地理位置好，住宿环境好，经济实惠', '短评打分': 5}
{'短评内容': '酒店位置非常好，窗外就是江景，很美，房间也不错。\r\n缺点是，停了几个小时电，可能是不巧吧。\r\n没有转换插头和线板，没法给手机充电。', '短评打分': 3}
{'短评内容': '位置好，服务也还可以，但设备筒陋。', '短评打分': 5}
{'短评内容': '主的很舒服了~  只是有时候厕所有点味道。', '短评打分': 5}
{'短评内容': '位置很好的酒店，服务员也很热情\r\n不过还是遇上一些不好的情况，一是停了几个小时的店，二是前台不能提供充电器的转换插头或者插座，三是房间不能上网。\r\n除了这些，酒店还是好的，尤其是窗外的湖景，很美。', '短评打分': 5}
{'短评内容': '酒店位置非常好，就在岳阳楼对面。这家酒店有免费国内长途。我已开始住进去的房间电话坏了，所以他们给我坏了对面的一个房间。第二天起来，打开窗子，才发现我住的是观景房：对面的黄鹤楼公园和洞庭湖一览无遗。太幸福了。我从我的房间拍了无数的照片。：）', '短评打分': 5}
{'短评内容': '地点好，参观岳阳楼，君山，吃饭都很方便。缺点是，热水不够热，虽然是夏天，也感觉到有点凉。', '短评打分': 5}
{'短评内容': '总体蛮不错的，并且性价比蛮高的，地理位置也很好', '短评打分': 3}
{'短评内容': '酒店就在岳阳楼景区对面的马路，5楼的观景房可以看到洞庭湖和岳阳楼里的双公祠。酒店的位置真是很好，虽然下面的马路有点吵，但是窗户的隔音效果不错，酒店附近就是鲁肃墓和文庙，吃饭和逛景区也非常方便。房间虽然小，但是很干净舒适，性价比较高，值得推荐。', '短评打分': 5}
{'短评内容': '这家酒店比想象中的要好，毕竟毗邻岳阳楼，总体感觉还可以……', '短评打分': 5}
{'短评内容': '该酒店的地段还算是可以吧。走路到岳阳楼正门大概五分钟不要。\r\n入住的时候免费升级了一间大床房（215房间）。本来是很开心的。住进去后才发现座便器附近一股挥之不去的骚味，用水冲了很久都去不掉那股难闻的味道。晚上打开电视，结果所有的台都有啸叫声，要把声音开很大才能听清楚电视里的声音，想想只住一个晚上，我也忍了。（第二天早上开电视却好了，估计跟隔壁房间信号有干扰吧），睡觉时才发现床上的棉被居然是冬天用的', '短评打分': 1}
{'短评内容': '优点：位置很好，离岳阳楼、汴河街都很近，走路可以看完，有免费上网，性价比还可以，餐厅烧的回头鱼味道不错。缺点：墙面上全是受潮的印迹，早餐供应时间要等到8点后，且只有面条，没有稀饭、馒头。最后等不及了，只能在外面吃碗粉条，房价与岳阳如家有20元的差额，差距很明显。', '短评打分': 5}
{'短评内容': '服务还可以，开始安排的经济房感觉很不安全。最后给我换了间，相对好点。但是没有窗户没有防盗网，还是感觉担心，望老板能改善~~', '短评打分': 5}
{'短评内容': '有免费上网及免费电话,超值', '短评打分': 5}
{'短评内容': '   位置很好，就在岳阳楼对面，性价比还可以。唯一不好的就是卫生不是很好，我去住的那天感觉床单都不是很干净。', '短评打分': 5}
{'短评内容': '离岳阳楼、汴河街都很近，走路可以看完。', '短评打分': 5}
{'短评内容': '很不错，住着很舒心~', '短评打分': 5}
{'短评内容': '要大力加强卫生工作，讲信誉，没有早餐就不要宣传说有，本来早餐不值钱，让人有受骗的感觉', '短评打分': 1}
{'短评内容': '酒店太旧，墙面让全是受潮的印迹，去吃早餐的时候馒头居然是凉的，叫服务员热一下还不干，气得没吃，还不如去其他酒店。。。。', '短评打分': 1}
{'短评内容': '经济实惠，地点极佳', '短评打分': 5}
{'短评内容': '位置很好,看到岳陽樓,就是有點吵,白天公車響號不停,而且服務特別差,打電話借了兩次電吹風都沒有來,等到睡著了,第二天問他們,他們說是太忙了,真可笑,太忙是借口嗎?吃早餐的地方沒有人,去問前台,就是叫我們等,發火罵他們才心不甘情不願的走出來找人,這是什麼服務?', '短评打分': 5}
{'短评内容': '房里的灯光太暗了！在小台桌上根本不能看书打字！空调机的功率不足，冬春两季，冷死人了！早餐没得吃！要等到八点半以后才有一个厨师慢悠悠的给你煮一碗面汤。人多的话，要等到十点吧！', '短评打分': 1}
{'短评内容': '我入住的房间空调制热不够,墙面也有点脏.但服务很好,也安静', '短评打分': 5}
{'短评内容': '该酒店就在岳阳楼对面，如果住景观房岳阳楼公园可尽收眼底，交通方便，卫生状况还是可以的，酒店服务人员态度相当好。', '短评打分': 5}
{'短评内容': '一般，饭菜不打折', '短评打分': 5}
