{'短评内容': '无早餐', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店位置很好，停车位不多', '短评打分': 5}
{'短评内容': '床头没电源', '短评打分': 5}
{'短评内容': '停车位紧张，保安大哥给找的停车位，非常感谢！', '短评打分': 5}
{'短评内容': '景区很便宜的宾馆，便宜实惠', '短评打分': 5}
{'短评内容': '价格合理，但是环境确实一般，紧邻大街非常乱，几次被噪音吵醒。', '短评打分': 3}
{'短评内容': '烟味很重，其他还行吧，商务酒店，对得起这个价格。', '短评打分': 3}
{'短评内容': '酒店的设施有点旧了！', '短评打分': 4}
{'短评内容': '在登封比较偏僻的地方，周边配套设施较差，吃个饭要走出较远的距离', '短评打分': 4}
{'短评内容': '房间太老。价格虚高。', '短评打分': 1}
{'短评内容': '酒店环境、卫生不错。  出酒店左手不到一分钟，有个小尾羊火锅，味道很棒。  出门打车去长途汽车站、嵩书院很近。', '短评打分': 5}
{'短评内容': '房间隔音效果不好，其他都很好！', '短评打分': 4}
{'短评内容': '还可以吧，没有早餐，不太好 位置有点偏', '短评打分': 3}
{'短评内容': '为了方便临时选的酒店，我都在网上做了担保，还一直打电话催我，不明白。', '短评打分': 3}
{'短评内容': '总体来说一般般吧 背街一面的房间只有高窗感觉像牢房', '短评打分': 3}
