{'短评内容': '第二次来咯，干净而且安静，出门也很方便！', '短评打分': 5}
{'短评内容': '酒店门面较小，但很新很干净，卫生条件不错。但房门缝太大、临街，所以隔音效果不佳。', '短评打分': 3}
{'短评内容': '房间还好，就是太小了，卫生嘛一般，地毯上还有水，服务一般，早餐有点难以下咽，特别是哪个炒面，', '短评打分': 3}
{'短评内容': '很不错，离火车站、步行街都很近，很新的房间设施！', '短评打分': 5}
{'短评内容': '环境非常好，很舒服，很干净，下次还会再去', '短评打分': 5}
{'短评内容': '非常不错就是住了4天 2天网络 电梯都坏了', '短评打分': 5}
{'短评内容': '恩还可以。环境不错。早餐在丰盛些就好了。', '短评打分': 5}
{'短评内容': '给朋友定的，他住的非常舒服，应该这是第二次入住了，呵呵', '短评打分': 5}
{'短评内容': '早餐很不错，房间也很安静，就是洗发水给的太少了', '短评打分': 5}
{'短评内容': '新的酒店，还是比较干净，交通也很方便。就是靠马路。', '短评打分': 5}
{'短评内容': '房间挺干净的 服务态度也好  价格也比较合适  交通也还可以', '短评打分': 5}
{'短评内容': '酒店很不错，还提供早餐，以前经常住城市之家，不过这儿的公交不太方便。', '短评打分': 5}
{'短评内容': '不错,刚刚建的酒店,挺干净的.就是隔音效果不好', '短评打分': 5}
