{'短评内容': '非常不错，售后很负责任!', '短评打分': 5}
{'短评内容': '很好的酒店，干净温馨，早餐阿姨和厨师都很热情！', '短评打分': 5}
{'短评内容': '不错的酒店，很干净，喜欢这种开放设施的风格！', '短评打分': 5}
{'短评内容': '服务态度不好', '短评打分': 4}
{'短评内容': '住了很多次，每次都很温馨', '短评打分': 5}
{'短评内容': '服务设施很久，员工没有职业感', '短评打分': 2}
{'短评内容': '石家庄波尔美精品酒店 精品大床房前台物品太少，买烟也要出去，该装修下了。', '短评打分': 5}
{'短评内容': '石家庄波尔美精品酒店 精品大床房卫生条件不错，就是装修时间长了，墙壁该翻新了。', '短评打分': 5}
{'短评内容': '入住该酒店后发现环境不好，是一个月子会所，有哭闹声。', '短评打分': 1}
{'短评内容': '这个酒店差的不能再差了，首先房门都锁不上，一进房间一股发霉的味道，哎，特别失败', '短评打分': 2}
{'短评内容': '环境不错  干净', '短评打分': 5}
{'短评内容': '位置好，环境也还好，还好吧', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境优雅', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '前台态度一般', '短评打分': 5}
{'短评内容': '老实说最近一次好觉被单都是用过的，唉……水龙头连续两次入住一开都冲着人喷过来了，服务员真的需要注意一下了', '短评打分': 5}
{'短评内容': '酒店一般！定的双床！排的两张床跟大通铺一样！', '短评打分': 3}
{'短评内容': '真的非常不错，环境好，位置好，都很好！', '短评打分': 5}
{'短评内容': '早餐品种少，被褥上好多破损，价格不低', '短评打分': 4}
{'短评内容': '服务一般，设施一般，早餐一般。好像除了交通方便外没啥了', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '很喜欢酒店的装修风格，睡眠整体环境好。交通也比较方便。', '短评打分': 5}
{'短评内容': '主题模式很好，酒店也干净，装修模式欧式，很喜欢，下次还来', '短评打分': 5}
{'短评内容': '服务态度很热情。酒店房间装修不错，安静适合休息。交通也方便', '短评打分': 5}
{'短评内容': '距离河北电视台近附近有万达广场。但距火车站较远。房间和早餐很不错', '短评打分': 5}
{'短评内容': '酒店干净装修也很有特色，就是房间装修味道太大了，半夜醒了，嗓子都疼了，把窗户又打开透气。。。', '短评打分': 5}
{'短评内容': '很有特点的酒店，干净还配备电脑，床很舒服。', '短评打分': 3}
{'短评内容': '石家庄波尔美酒店，干净，温馨，高档物有所值。值得推荐！', '短评打分': 3}
{'短评内容': ' 整体氛围比石家庄几家五星好很多，视觉效果是不多见的，我北京来的朋友是文艺圈的，也非常喜欢这里的设计，给很高的评价', '短评打分': 3}
{'短评内容': '酒店总体不错，比较干净，床也比较舒服，但是房间不大，餐厅早餐品种太少不像这个价位的，还有就是没有免费洗漱用品。', '短评打分': 5}
{'短评内容': '房间很干净，感觉不错，就是房间的格局太奇怪了，两个床竟然是连着的，不喜欢这点', '短评打分': 3}
{'短评内容': '入住的环境不错，有风格', '短评打分': 3}
{'短评内容': '从门面说起吧，挺干净，属于那种年轻时尚型的酒店，服务人员礼貌客气，有亲切感，房间面积还算可以，卫生间不是独立的，用玻璃隔的，这点我不喜欢，不过人家也得根据实际情况啊，房间里有宽带，让我感到开心的是，竟然还有无线路由器，这是我住过所有宾馆都没有的，不过路由器的数量太少，我没用上，请多准备点，房间床谁的挺舒服的，卫生可以。总之这个价位，合算不错，我推荐，我已经再半个月内3次入住了', '短评打分': 5}
{'短评内容': '.酒店非常不错，干净，舒适，有种回家的感觉', '短评打分': 3}
{'短评内容': '房间很舒适，每个房间的设计风格各异。下次还来', '短评打分': 3}
{'短评内容': '房间装修很时尚 酒店位置也好 服务态度非常好 下次过来还住这', '短评打分': 3}
{'短评内容': '房间干净，屋子装修挺有特色，各项服务都还不错。', '短评打分': 5}
{'短评内容': '酒店开业时间好像并不长，装修还很新，个别房间的空调还会出现渗水的现象，断电维修时会殃及到旁边的房间，因为这个原因我还被调了一次房。客房服务人员的态度非常热情友好，但还是能感觉出并不是熟手。餐厅的服务人员缺少必要的培训，他们完全弄错西冷牛排与肉眼排，纠正她们时还一本正经的坚持错误......令人很无语。早餐很一般，没什么太多可吃。总之酒店内唯一的餐厅从服务到菜品都还很欠火候。房间很干净，装修的也过得', '短评打分': 5}
{'短评内容': '第二次住了，干净', '短评打分': 3}
{'短评内容': '非常的不错，干净舒适，床垫和枕头都是精心选用的，非常用心，来石家庄选他没错', '短评打分': 3}
{'短评内容': '不错 干净 舒适 很喜欢 我的小宝也说好，下次还会光顾', '短评打分': 5}
{'短评内容': '酒店服务非常好，推荐入住！房间不大但比较温馨！', '短评打分': 5}
{'短评内容': '酒店服务很好，但是歺厅的饭菜品种太少，有待加强！', '短评打分': 5}
{'短评内容': '酒店很精致，很温馨的感觉！下次还会入住！', '短评打分': 5}
{'短评内容': '第二次入住了，一如既往的好，再次推荐，下次还会入住的。', '短评打分': 5}
{'短评内容': '酒店环境好，服务周到细心，是出差的好去处，今后一定会再来！', '短评打分': 5}
{'短评内容': '强烈推荐的酒店，干净整洁，舒服，服务态度也好，位置超棒', '短评打分': 5}
{'短评内容': '强烈推荐，干净整洁，房间氛围很好，交通很便利，', '短评打分': 5}
