{'短评内容': '不错。？。。。。', '短评打分': 5}
{'短评内容': '服务态度佳，房间干净，床很舒服', '短评打分': 5}
{'短评内容': '里边挺好，只要出来就住如家！顶！', '短评打分': 5}
{'短评内容': '很好没有问题', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大。窗户也意外的大。我住过的如家卫生条件一直都很好。附近吃饭和交通很方便。服务员很专业，很热情。', '短评打分': 5}
{'短评内容': '很好值得信赖', '短评打分': 5}
{'短评内容': '卫生不错，枕头不是很舒服，空调声音太大，灯上有个东西一直在闪红灯，不知道是什么', '短评打分': 4}
{'短评内容': '不按。。。。。。。。', '短评打分': 5}
{'短评内容': '很好，服务很及时。', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '整体还可以，就是靠近马路有点吵', '短评打分': 3}
{'短评内容': '不错的服务，本来定的别家，因为满了，所以客服主动打电话来推荐换房，酒店也不错。设施齐全，不吵闹。', '短评打分': 5}
{'短评内容': '满意！', '短评打分': 5}
{'短评内容': '满意！', '短评打分': 5}
{'短评内容': '很满意，每次出差都住这里', '短评打分': 5}
{'短评内容': '环境好服务好！', '短评打分': 5}
{'短评内容': '没有暖气，冻死！', '短评打分': 2}
{'短评内容': '相对于11月份这个旅游淡季来说，价格还算便宜，周围环境比较嘈杂，有个床头灯不亮。', '短评打分': 4}
{'短评内容': '给朋友预定的', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '京东和酒店都很贴心，非常满意', '短评打分': 5}
{'短评内容': '舒适 干净 交通方便', '短评打分': 5}
{'短评内容': '酒店很棒', '短评打分': 3}
{'短评内容': '挺好，就是烟味太重，下次还会选择！服务态度很好！', '短评打分': 5}
{'短评内容': '晚上 外面特别吵 。总是 有汽车发动机的声音，前台比较业余，吹风机借一晚上都没有借到。其余方面还行。', '短评打分': 1}
{'短评内容': '挻好的，服务周到、价格合理。', '短评打分': 3}
