{'短评内容': '还算一般吧', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '续房不搞卫生，服务差到让人怀疑人生', '短评打分': 2}
{'短评内容': '环境干净，很不错，', '短评打分': 4}
{'短评内容': '在坦洲比较繁华的南坦路上，要吃饭就在马路对面，不过过马路要走很长一段路才能找到红绿灯路口，而且路中间有隔离带不能随便穿。酒店有停车场，就在门口，但是车位不多，因为本人不吃早餐所以也不知道早餐的具体情况，有团队客人入住，所以走道里有时会比较吵', '短评打分': 4}
{'短评内容': '网定的房间连张桌子都没有，更别说椅子了，什么都没有，再也不去定了', '短评打分': 2}
{'短评内容': '好好下次还会再来', '短评打分': 5}
{'短评内容': '老式酒店，以水疗和KTV为主，客房为辅，房间硬件差强人意，保安车辆指挥有待加强，看见几台车同时进入也不知道指挥一下。不过PA阿姨礼貌很好，在电梯见到会主动打招呼', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '周边荒，其他还好', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '太旧了', '短评打分': 3}
{'短评内容': '酒店在装修中，味道有点重，但总的还是可以', '短评打分': 4}
{'短评内容': '还好了，性价比高，推荐', '短评打分': 3}
{'短评内容': '设备老旧，性价比还行', '短评打分': 4}
{'短评内容': '服务態度佳', '短评打分': 5}
{'短评内容': '还可以，没觉得什么不好的，楼下餐厅那个咨询MM人很好啊', '短评打分': 5}
{'短评内容': '在坦洲来说，国亨已经是老字号了，前台服务很不错，支持！！', '短评打分': 5}
{'短评内容': '太旧，墙纸发霉、有異味。卫生一般。整体感觉象招待所。以这个价格入住后悔了', '短评打分': 1}
{'短评内容': '酒店环境一般，晚上噪音好大，支装水都要收钱，牙刷牙膏都要收钱，简直一D都误值，从未住过像这样的酒店。服务态度又差', '短评打分': 3}
{'短评内容': '酒店还可以，车位少，离市中心稍微有些远，服务比较热情。酒店还可以，车位少，离市中心稍微有些远，服务比较热情。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '服务还可以，前台比较热情。热水不太足，开了很久还是不热。', '短评打分': 5}
{'短评内容': '酒店很旧 服务不好 房间结构你能想像的到以前酒店的样子 还有房间内很多小东西都是收费的 一不小心就中招 要先观察后消费', '短评打分': 3}
{'短评内容': '酒店位置还挺好找,房间够大,卫生也不错,总体满意.', '短评打分': 5}
{'短评内容': '不错，不过可能是南方的酒店，空调是单冷冬天没暖气，嘿嘿', '短评打分': 3}
{'短评内容': '酒店性价比较高，服务意识还有待加强，其它都还可以。', '短评打分': 5}
{'短评内容': '住房寬敞也算乾淨，房價具親和力，就是稍嫌老舊些!\n有時等好長時間叫不到出租車，總體還是可以的。', '短评打分': 5}
{'短评内容': '服务和卫生环境不错, 离镇中心也不远, 外出还算挺方便的.', '短评打分': 5}
{'短评内容': '坦洲的星级酒店比较少,尤其是通过网络能预定的少之又少,这家算是不错的选择', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还行吧，酒店有点旧，房间蛮大的。上网速度很一般。', '短评打分': 5}
{'短评内容': '9订房已入住', '短评打分': 3}
{'短评内容': '酒店很好找，停车很方便，内部环境很干净，整体感觉很好。', '短评打分': 5}
{'短评内容': '这家酒店还错，房间挺干净，服务很好，设施也齐全，下次还愿意住。', '短评打分': 5}
{'短评内容': '房间挺舒适的，设施的简洁大方，打扫也很干净。', '短评打分': 5}
{'短评内容': '服务很热情，房间整洁舒适，出行交通便利，值得推荐一下。', '短评打分': 5}
{'短评内容': '服务上很好，很周到，态度很热情，感觉很亲切。', '短评打分': 5}
{'短评内容': '晚上好多蚊子，被单有股难闻的味道，撒了蚊药跟香水后，味道极其难闻，位置较偏，不推荐。', '短评打分': 1}
{'短评内容': '服务很周到，对我们也很热情，感觉不错。', '短评打分': 5}
{'短评内容': '客房很整洁，装修简洁大方，住在里面还是很舒适的。', '短评打分': 5}
{'短评内容': '位置不错，公交、出租车都很好找，交通很便利。', '短评打分': 5}
{'短评内容': '酒店离我办事的地方很近，环境还不错，客房打扫的也很干净。', '短评打分': 5}
{'短评内容': '这家酒店还是比较好找，也很好停车，服务员也很热情，给人的感觉还是很不错的。', '短评打分': 5}
