{'短评内容': '还算可以住住', '短评打分': 4}
{'短评内容': '酒店位置不错', '短评打分': 4}
{'短评内容': '房间很大，但是电视稍微有点儿小。', '短评打分': 5}
{'短评内容': '很不错 格尔木最靠谱得酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，以后还会再去。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': 'Location is not too bad, worth to stay there, the most valuable hotel at this suburb. ', '短评打分': 4}
{'短评内容': '房间不错，环境大气，卫生间洗漱间很不错，就是灯开关太先进了，压起来麻烦，其余都好', '短评打分': 4}
{'短评内容': '非常好的酒店，很喜欢，每次来都住这里，家人也很喜欢这里，舒适宽敞明亮', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '干净，安静，怎么说也是品牌酒店，就那样，，，', '短评打分': 5}
{'短评内容': '当地最好的酒店了，总体可以，早饭菜式有点少', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '房间条件都很好，不错的选择', '短评打分': 5}
{'短评内容': '非常好，卫浴龙头都是高宜的，硬件设施很不错，早餐非常好，就是中餐厅服务员态度不是很好。', '短评打分': 5}
{'短评内容': '格尔木市最好的酒店，房间配套合理，环境优雅，早餐不错。性价比高，是我住过的最好的酒店之一。国际卡刷卡时前台操作不熟练，耽误时间。', '短评打分': 5}
{'短评内容': '，格尔木开元酒店软、硬件均达到五星级酒店标准，非常好！', '短评打分': 3}
{'短评内容': '设施服务很到位，住着舒服舒心。就是价钱略贵。', '短评打分': 5}
