{'短评内容': '很久了，态度也不好', '短评打分': 2}
{'短评内容': '前台服务态度比较差。', '短评打分': 2}
{'短评内容': '支持一下，好好rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr', '短评打分': 5}
{'短评内容': '好好好rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr', '短评打分': 5}
{'短评内容': '很好，不错，对于旅游景点来说！', '短评打分': 5}
{'短评内容': '酒店应该是铁路部门的下设酒店，不得不说酒店地理位置不错，门口即是景区，离黎阳in巷也不远，但酒店应该是建立了很多年，房间里面的东西特别旧，甚至在墙角看到渗水的霉块啥的。', '短评打分': 3}
{'短评内容': '房间有气味', '短评打分': 3}
{'短评内容': '前台服务态度不好，去的晚就不情愿招待携程订的宾馆，里面房间多没有指示，感觉像走迷宫，房间里面也很一般，不像四星级宾馆', '短评打分': 2}
{'短评内容': '设备差！空调制冷不好！早饭太贵。', '短评打分': 3}
{'短评内容': '都是心情', '短评打分': 5}
{'短评内容': '设施陈旧了！', '短评打分': 5}
{'短评内容': '要不是十一不好订房间真不想住这里。太老旧了，房间设施真该好好捯饬捯饬了，霉味很重。非常失望，还四颗星。', '短评打分': 3}
{'短评内容': '酒店设施太老，太旧了，卫生也一般。。', '短评打分': 3}
{'短评内容': '周边环境不错，离高速公路口不太远啦', '短评打分': 4}
{'短评内容': '交通方便.环境一般.服务可以', '短评打分': 3}
{'短评内容': '酒店设施比较陈旧，但环境相当不错。离高速入口非常近，但如果要去黄山玩，这里相对较远。', '短评打分': 5}
{'短评内容': '很不错，交通也便利，坐12路公交可以往返市中心和酒店，旁边吃饭的菜馆也很多', '短评打分': 5}
{'短评内容': '这样的挂牌四星酒店实在是坑爹了，很后悔没有去城里找一个哪怕是经济型酒店。隶属于铁道部下面的酒店吧，装修陈旧不堪，隔音奇差，硕大的一个走迷宫一样的酒店只有一部电梯，早餐不提也罢，总之各方面撑死也就是两星级水平的酒店，竟然是挂牌四星，还是国家机关单位指定接待酒店。这下明白为什么高级官员死活想要住五星了吧？这都被吓坏了的吧？', '短评打分': 1}
{'短评内容': '环境条件都不错，挺好。离老街比较近，早餐也不错', '短评打分': 5}
{'短评内容': '因为自己订的酒店没有房间了，听客服推荐住了这家酒店的商务标间260每晚的：\n1、酒店离汽车 火车站都有点距离，只能打车外出（从老街打车过来9元，不贵，但是酒店周围啥都木有，想逛逛都不成），估计更适合自驾游的；\n2、酒店号称四星，里面的设施也就是经济酒店的水平；\n3、墙面开裂，有股霉味，房间很小，空调有点吵；\n4、房间设置很不合理，像走九曲桥一般 绕来绕去；\n5、房间隔音很不好，服务员还会在半夜的时', '短评打分': 1}
{'短评内容': '还可以吧，就是房间不好找，绕来绕去的。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店还算干净，但感觉不到有四星标准，早餐更不敢恭维，标准是只管饱。', '短评打分': 3}
{'短评内容': '位置有点偏。其余的都挺满意。晚上蛮安静。', '短评打分': 5}
{'短评内容': '：已入住条件还可以，离主城区远点，但较安静。', '短评打分': 3}
{'短评内容': '价格便宜，但装修太差了，离黄山近，希望能重新装修', '短评打分': 5}
{'短评内容': '强烈建议大家预订标准间A或者B，千万不要订C，C真的很不好！', '短评打分': 5}
{'短评内容': '离屯溪老街较近，不错的一个酒店。环境设施都还可以。', '短评打分': 5}
{'短评内容': '位置不错，性价比高 设施齐全，周边环境不错，', '短评打分': 5}
{'短评内容': '酒店位置不错，房间内的设施比较齐全，住宿环境不错，性价比高\n\n', '短评打分': 5}
{'短评内容': '距离高速出口很近，经济实惠吧，这个价钱你还想5星级吗？呵呵！', '短评打分': 5}
{'短评内容': ' 已入住馨园国际大酒店 谢谢', '短评打分': 3}
{'短评内容': '馨园国际酒店条件不错,性价比挺高的!', '短评打分': 5}
{'短评内容': '房间设施比较新，也很齐全，卫生条件很好，每天都会有服务员打扫清理的，住着很放心', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '酒店位置不错，从徽杭高速公路黄山市区2出口处向右150米就到了，周边环境不错，房间内的设施比较齐全，住宿环境还可以', '短评打分': 5}
{'短评内容': '好像是个疗养型的酒店，里面有个大花园，空气很好，附近靠着山，房间硬件设施很齐全，服务周到，卫生条件也很不错，住着还是很舒服的', '短评打分': 5}
{'短评内容': '已经入住很好', '短评打分': 5}
{'短评内容': '服务效果高，有什么问题会及时的进行处理，比较重视客人。', '短评打分': 5}
{'短评内容': '酒店的卫生质量很到位，定期打扫和维护，第一感觉就放心，住着很满意。', '短评打分': 5}
{'短评内容': '感觉交通一般，但是卫生搞的不错，服务意识也比较强，这几方面做的很好。', '短评打分': 5}
{'短评内容': '酒店设施比较新，收拾的也干净舒适，视觉效果很好，满意。', '短评打分': 5}
{'短评内容': '酒店设施齐全，服务到位，总体满意。', '短评打分': 5}
{'短评内容': '靠近高速，卫生条件还可以，服务一般，下次会考虑其他酒店看看。', '短评打分': 1}
