{'descr': '很舒适 一直都住这里', 'star': 5}
{'descr': '房间还蛮干净，服务也可以', 'star': 5}
{'descr': '出门首选，干净整洁，安全卫生！！！！！！', 'star': 5}
{'descr': '房间一贯的整洁，舒适，赞，', 'star': 5}
{'descr': '还可以吧', 'star': 4}
{'descr': '挺好的，不过现在好像在重新装修', 'star': 5}
{'descr': '房间比较小 周围倒是比较方便 超市 市场都有 房间不算很干净 而且有点潮霉味道', 'star': 4}
{'descr': '电视机可以更新了，方便', 'star': 3}
{'descr': '还可以，无窗', 'star': 4}
{'descr': '酒店设施比较陈旧，卫生不够干净，下次不想再住', 'star': 3}
{'descr': '早餐比较简单，床单还算干净。就是毛巾之类的太破旧了。', 'star': 4}
{'descr': '还不错，价格便宜', 'star': 4}
{'descr': '还不错', 'star': 3}
{'descr': '总体感觉都很不错。继续支持！', 'star': 5}
{'descr': '房间很不错的，只是交通只有公交哦。', 'star': 3}
{'descr': '酒店还行，就是顶楼太热，空调效果差点。这个位置价格偏贵了', 'star': 3}
{'descr': '  离通用很近', 'star': 3}
{'descr': '周边环境还可以，餐饮方便.停车容易，已经入住多次了。', 'star': 5}
{'descr': '工作需要，离码头比较近。交通不大方便，下了地铁还要打车，起步价，只是地铁出来感觉比较荒凉，车都比较少了。门口有一条吃饭的小街，看上去还不错。打车起步价范围内有星巴克，肯德基，麦当劳等。168房间比较小，窗子虽大，只能换气，对面是墙。干净还是蛮干净的，布局也算合理。没有配吹风机，不间断电源接触不大好。后来工人来修理过，也没有完全好，凑或用。桌子偏小，抽屉刚好挡道腿。', 'star': 5}
{'descr': '帮同事订的酒店，因为要去外高桥的客户工厂，而海关内又没什么选择，这家还算方便的。', 'star': 5}
{'descr': '便宜，条件尚好，稍偏远，总体性价比不错。', 'star': 3}
{'descr': '干净舒适 安静 房间大小也比较合适 干净舒适 安静 房间大小也比较合适', 'star': 5}
{'descr': '舒服 安静 房间简单别致 舒服 安静 房间简单别致', 'star': 5}
{'descr': '还不错，蛮干净。比较满意。\n网上的时候，网速比较卡。估计有人下载东西。。。', 'star': 5}
{'descr': '服务态度不错，交通较方便，周围小吃较多，房间卫生条件还行', 'star': 5}
{'descr': '地方稍偏点,服务挺好,就是早餐不怎么样', 'star': 3}
{'descr': '锦江之星（上海俱进路店)----房间太小了，空调制冷效果不佳，隔音效果不良，早餐品种少，餐厅面积也很小，其它尚可', 'star': 3}
{'descr': '就在我家楼下 干净 整齐 \r\n\r\n5楼单人房间有loft感觉 ', 'star': 5}
{'descr': '房间太小比较拥挤，桌面也很小，空调不够冷，价格也有点略偏高，', 'star': 1}
{'descr': '周围是小区，晚上很热闹。夜里程睡的还舒服', 'star': 3}
{'descr': '环境还不错，只是上海下雨，飞机晚点。在店里只待了三小时', 'star': 3}
{'descr': '环境还不错，一直在这边住，不过今天天气不巧，飞机晚到了，呜呜', 'star': 5}
{'descr': '服务非常差，环境非常差隔音非常差，周边环境混乱，服务人员服务意识很差', 'star': 1}
{'descr': '服务方面还是有些问题。房间和其他快捷酒店都一样，价格还是比较贵。位置是有些偏了出行还可以。', 'star': 1}
{'descr': '世博期间价格涨的太多了，平时170顺便顶，现在都涨到350多了，有点黑。', 'star': 5}
{'descr': '性价比还可以，交通不太方便，不需要到市区的可以考虑', 'star': 5}
{'descr': '酒店没有矿泉水，这样很不好，尤其是夏天需要很多水的，晚上倒是很安静，这个不错，坐车出门也很方便，就是希望以后去的话可以喝到水', 'star': 5}
{'descr': '世博期间，高性价比。', 'star': 5}
{'descr': '作为商务酒店的话，还可以', 'star': 1}
{'descr': '除了位置稍偏外，其他均不错', 'star': 3}
{'descr': '服务好，吃饭也方便。各方面均不错', 'star': 3}
{'descr': '除了位置稍偏点，一层房间多，像迷宫，其他都很好，特别是服务', 'star': 5}
{'descr': '酒店服务不错，性价比还可以。', 'star': 5}
{'descr': 'ok', 'star': 5}
{'descr': '离世博有点远', 'star': 5}
{'descr': '酒店的卫生条件不错，餐厅也很好，不过就是隔音效果不太好有些吵.位置距离市中心比较远，（打车到浦东世博园区需要80元左右）酒店距离码头比较近.', 'star': 5}
{'descr': '卫生很好，干净。服务也不错，就是离市区太远了。不方便。', 'star': 5}
{'descr': '服务员是经过培训的，就连站的位置也是固定的，方便服务客人，态度挺好，蛮热情。', 'star': 5}
{'descr': '房间每天定时有人来做打扫，设施也还可以，就是离机场有点远。', 'star': 5}
{'descr': '房间设施不错，很干净。缺点:标间两张床，有一张床比较小。另外房间不是中央空调。', 'star': 5}
{'descr': '因为外高桥保税区附近，除了5号口进去、地处荒凉的莫泰168以外，快捷酒店仅此一家，也无所谓可比性了；\r\n距离6号线五洲大道站、外高桥保税区南站均为打车起步价，楼下就是工农商超市，斜对面是农贸市场，出门左行100m有KTV、棋牌室、火车票预售点，左行400m有邮局，处于外高桥保税区附近最大的居民区，门口至少3班公交车，可穿隧道到达五角场（打车30元）；\r\n早餐确实也够20种：白米粥、咸菜2种、炒菜2', 'star': 5}
{'descr': '酒店还是很不错的,干净舒适,价格也很适中；性价比还是比较高的.交通也很方便；值得推荐一下；', 'star': 5}
