{'短评内容': '早餐一般，适合带孩子玩，停车场小，', '短评打分': 5}
{'短评内容': '非常不错的一家四星级商务酒店 酒店位于沈阳市中心 交通便利 环境非常好 每次到沈阳都会住这里 早餐也很不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，干净卫生，方便。', '短评打分': 5}
{'短评内容': '豪华家庭房简直棒得没话说，这个价格配这个房间真心惊艳到了，早餐还OK，周边吃饭很方便', '短评打分': 5}
{'短评内容': '酒店服务不错，设施齐全。', '短评打分': 5}
{'短评内容': '很好的住处，服务态度很好！', '短评打分': 5}
{'短评内容': '性价比超高的', '短评打分': 4}
{'短评内容': '非常好！！！？', '短评打分': 5}
{'短评内容': '服务周到，菜品地道，新开业酒店', '短评打分': 5}
{'短评内容': '各方面都不错，就是前台犯迷糊，定的是大床房，给的却是双床，希望工作能认真些！', '短评打分': 4}
{'短评内容': '不错。。。。。。。。。', '短评打分': 5}
