{'短评内容': '交通还可以，但是房间很小的，条件也一般吧。', '短评打分': 1}
{'短评内容': '挺好找的，就是淋浴间不够给力', '短评打分': 3}
{'短评内容': '房间很干净,下次还会入住,支持!交通停车都很方便,性价比很高!', '短评打分': 5}
{'短评内容': '因将预授权刷成了消费，店家已联系改了。其他都很好，挺干净的。', '短评打分': 5}
{'短评内容': ' 位置比较方便。交通便利。周围吃饭比较方便。只是隔音比较一般。临近十字路口，噪音比较大', '短评打分': 3}
{'短评内容': '卫生还比较干净，跟汉庭的一贯风格一样  没有什么可以点评的地方了', '短评打分': 5}
{'短评内容': '酒店还算过的去吧，要是要求高的人估计还是不会去住宿的吧', '短评打分': 5}
{'短评内容': '收费偏贵，楼下是M记，还有永和大王，吃东西 方便。房间很小，我们住的是双床房，床旁就是电视了，只有一条很小的走道，洗手间一点都不好，都是玻璃的，中间一块是磨砂的，其他的都能看到，但马桶很差，老是发出臭味。隔间效果OK。', '短评打分': 1}
{'短评内容': '硬件设备很好，就是空间有点小，房间的密闭性不行，早上车子多了有点闹。\n软件服务是汉庭中比较好的，很方便入住者的出行。', '短评打分': 5}
{'短评内容': '酒店环境不错，很安静，出行也方便', '短评打分': 3}
{'短评内容': '服务态度好!加被子也不另加钱,赞一个。', '短评打分': 3}
{'短评内容': '卫生状况不错，可惜房间空间太紧，另外建议增加一台电脑，满足一部分商务需求。', '短评打分': 3}
{'短评内容': '干净舒适方便多次入住了.交通挺方便,附近吃饭的地方也多', '短评打分': 5}
{'短评内容': '性价比高，水不是特别热，隔音不好，卫生不错，其他的没什么需要说明的。', '短评打分': 5}
{'短评内容': '条件非常简陋，但是酒店位置真的不错，没有电梯，服务还可以。床不是很舒服，电视经常没信号，最受不了的是在洗浴中心里，很暧昧！桌牌上很直白的表述着服务价位', '短评打分': 5}
{'短评内容': '不好不好不好不好不好不好不好不好不好不好不好不好不好不好不好不好', '短评打分': 1}
{'短评内容': '还不错 比较方便 适合办事下榻 总的来说条件还可以吧', '短评打分': 5}
{'短评内容': '干净卫生，还不错', '短评打分': 3}
{'短评内容': '服务不错，蛮干净的！还有停车场，离武林广场和西湖不算远。附近还有一家知味观。', '短评打分': 5}
{'短评内容': '太小了，不像正规的酒店，因为是半夜到通辽，所以提前订了这家，到得时候才后悔。', '短评打分': 1}
{'短评内容': '环境还可以，就是床有点小，再有就是房间电话不能打外线', '短评打分': 5}
{'短评内容': '靠路边的，双层玻璃还是很吵呢.其他倒还挺满意的。周围的环境有点嘈杂', '短评打分': 1}
{'短评内容': '酒店设施 不如一些同价位的快捷酒店，床比较小，自带笔记本上网只能放在腿上！时间长了不太舒服！', '短评打分': 1}
{'短评内容': '该酒店位置不错 设施实用陈旧 网上说是安排二层 实际安排一层 隔音非常不好 能听见房间里的声音', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '大标间总体还行，但是因为我是从秦皇岛去通辽，只有半夜到达的火车，上次本来定了大标间，但是到了以后服务员说门坏了，只能凑合了一晚上没窗户的3人间，话说我是提前两天预定的，您酒店门坏了就不能再保留个其他同样的房间？', '短评打分': 5}
{'短评内容': '卫生像生态园，不过只有小强，服务有盛世迷情之类的，设施空调不能吹热风，洗澡没热水，洗漱用品都收费！位置还行，舒适度？小强 潮湿的被子想都知道，满屋子没个插座插手机充电器！性价比嘛，有性但是价格别旁边的都贵！', '短评打分': 1}
{'短评内容': '房间设施不足，手机充电、电脑充电都存在较大问题，另外电脑无处放置，也不简单桌椅。', '短评打分': 1}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '房间可以，网速很慢，房间热水不热…不提供洗漱用品！房间电话只供内线，不能外接！', '短评打分': 5}
