{'短评内容': '在市中心繁华地段，出行方便，房间设施齐全，能停车。离美食街很近，可逛夜市。', '短评打分': 4}
{'短评内容': '酒店还可以，设备陈旧了，卫生一般！', '短评打分': 4}
{'短评内容': '不错的，交通便利', '短评打分': 5}
{'短评内容': '有停车场，房间有巨大的烟味～外面有点吵。假期这个价格相对很便宜了～', '短评打分': 4}
{'短评内容': '一般般了。有点老旧', '短评打分': 4}
{'短评内容': '个人觉得比较坑', '短评打分': 5}
{'短评内容': '有些吭，明明东西没动说我消费了，要付款', '短评打分': 5}
{'短评内容': '床上好脏，和男朋友一起睡的时候胳膊和膝盖都被不知道的东西蹭的生疼，真怕传染病，里面的配套设施收费太高了，洗澡水也不热，跟冲凉水澡似的', '短评打分': 2}
{'短评内容': '位置稍偏，房间装修简陋', '短评打分': 3}
{'短评内容': '还好还好', '短评打分': 5}
{'短评内容': '周边环境整治的还好！就是唯独差一个自己的停车场！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境、位置、卫生均不错，早餐也还凑合，让人受不了的是房间无线，基本没法用，无数字电视。', '短评打分': 4}
{'短评内容': '就是房间苍蝇特别多，住的不舒服', '短评打分': 3}
{'短评内容': '什么网啊！形同虚设，一分钟一断', '短评打分': 3}
{'短评内容': '还凑合吧，在这样的小地方算不错了', '短评打分': 5}
{'短评内容': '酒店交通便利，服务设施齐全，干净卫生，停车出行方便，真心推荐～', '短评打分': 3}
{'短评内容': '一般吧，。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
