{'短评内容': '喜欢酒店大厅往下的楼梯，很宽很古风的木梯。楼底下就有一排坐椅等人的时候很方便。就在西街口在门口都能望到西街顶上的大景。房间里设计很小清新哈哈，窗子很宽朝外面望就是河景阿很雅致的感觉。虽然说168标间有一点贵但是网站有返还所以物超所值！住了很多家酒店算是很喜欢这一家的。。', '短评打分': 5}
{'短评内容': '免费停车场真难找啊！', '短评打分': 3}
{'短评内容': '房间干净 有点吵 晚上可以晚点回去 其他设施都很齐全', '短评打分': 5}
{'短评内容': '酒店实物和网上照片一点都不符合实际 入住第一天就看到一只很大的小强乱跑。。屋内地板还不平整  晚上外面吵闹到两三点钟  根本就没有办法睡觉 ', '短评打分': 1}
{'短评内容': '位置就在阳朔西街口，逛街饮食出游都很方便.因是临街房隔音效果做得不太好.房间空调躁声有点大.总体来说还是不错的.', '短评打分': 5}
{'短评内容': '服务不错,宾馆位置也很好,西街口很方便。宾馆导游服务很好。', '短评打分': 3}
{'短评内容': '酒店还算干净，地理位置很好，100多块钱也就如此了。', '短评打分': 5}
{'短评内容': '该酒店位置很好，是在西街的正门口上，交通便捷。就是停车费有点贵，要40元咧！\n房间设施很简单很干净，没有繁复的东西，看着就显得很明了的感觉。当时没有圆床了，没能体会图片上所见的豪华圆床的感觉，但是标间的设施还是很不错的。性价还挺好的。\n就是酒店与网上的衔接有点问题，我都结账几天了，还有网站来电说为何没有入住，看来双方衔接的环节有问题', '短评打分': 5}
{'短评内容': '房间很大，离西街又近，景色很好', '短评打分': 3}
{'短评内容': '，这家酒店一般，洗澡水时冷时热，不过酒店的服务态度很好。', '短评打分': 3}
{'短评内容': '感觉一般的酒店，设施一般，除了能看到湖景没什么特别的地方', '短评打分': 5}
