{'短评内容': '没有早餐。附近有。', '短评打分': 5}
{'短评内容': '酒店设施不错，床上用品感觉卫生！估计常有单位会议，所以卫生方面做的比较到位！性价比高，值得入住！位置出行也方便！', '短评打分': 4}
{'短评内容': '酒店很好，距火车站不远，酒店对面的小区里，有很多吃东西的小馆，也有个菜市场，出酒店就是大街，的士很多。', '短评打分': 5}
{'短评内容': '每次出差首选', '短评打分': 5}
{'短评内容': '每次出差首选地', '短评打分': 5}
{'短评内容': '大不如前，很失望', '短评打分': 3}
{'短评内容': '第二次住了，安静方便', '短评打分': 5}
{'短评内容': '周围环境有点糟糕，房间也一般，也还好！', '短评打分': 3}
{'短评内容': '交通相对方便，符合我的出行习惯', '短评打分': 5}
{'短评内容': '房间打扫干净，入住相对舒适。', '短评打分': 5}
{'短评内容': '离客户近，去办事方便', '短评打分': 4}
{'短评内容': '床头比较旧，浴室里也比较旧，淋浴头不好用', '短评打分': 4}
{'短评内容': '不错的酒店，每次都住这里', '短评打分': 4}
{'短评内容': '位置环境都不错，比较安静，服务态度好', '短评打分': 4}
{'短评内容': '设施陈旧了', '短评打分': 3}
