{'短评内容': '还行吧就是设备相对略旧，床也不算很舒服', '短评打分': 4}
{'短评内容': '好，方便干净，很喜欢，下次再来！！！！！！！！！！！！！！！！！！。！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店比较老比较破旧了', '短评打分': 4}
{'短评内容': '感觉一般感觉一般感觉一般感觉一般感觉一般感觉一般感觉一般感觉一般感觉一般感觉一般感觉一般感觉一般感觉一般感觉一般感觉一般', '短评打分': 4}
{'短评内容': '干净整洁 很好', '短评打分': 5}
{'短评内容': '很好，服务周到', '短评打分': 5}
{'短评内容': '还不错的商务酒店 出差过去那边朋友推荐的还很不错 网速再快一些更好', '短评打分': 5}
{'短评内容': '卫生太差，实际和说的相差太大', '短评打分': 3}
{'短评内容': '还可以，小贵', '短评打分': 4}
{'短评内容': '每次到花都都会住这里，位置优越，出行方便。', '短评打分': 5}
{'短评内容': '环境，服务，设施都不错', '短评打分': 5}
{'短评内容': '出行方便，设施齐全，房间干净。', '短评打分': 5}
{'短评内容': '携程上看到有浴缸，有双早，可惜到了什么都没有，地毯与地砖连接处有铁丝突出，脚被刮伤了。空调声音大，开到18度还不凉，而且还有蚊子，痒的要死，被子毛巾浴袍都有点味道，躺在被子里生怕第二天起来皮肤长东西，还好没有。跟女友出行，想泡个浴缸澡的，没有就算了，一晚上被蚊子咬的都没睡好，隔音也不好。说完了。', '短评打分': 3}
{'短评内容': '房间空间大，卫生干净，还可以。', '短评打分': 5}
{'短评内容': '经常住，位置出入方便', '短评打分': 5}
{'短评内容': '经常住，位置出入方便，舒服', '短评打分': 5}
{'短评内容': '酒店位置不错，周围环境还行，价格实惠，还会入住', '短评打分': 5}
{'短评内容': '设施有点旧了。简单住就行，便宜。', '短评打分': 3}
{'短评内容': '喜玛拉商务酒店花都店交通便利，房间干净卫生，服务态度良好，是探亲访友，商务出差的较好选择。', '短评打分': 3}
{'短评内容': '酒店还不错，价钱也很值，推荐', '短评打分': 3}
{'短评内容': '不错，交通方便，也比较安静，就是洗手间的地太滑了，差点两次摔跤，希望有弥补的措施，比如多备两条垫脚毛巾以防滑。', '短评打分': 5}
{'短评内容': '房间较大干净整洁，只是不能上网，换个房间还是不能上，交通不是很方便打车不方便', '短评打分': 5}
{'短评内容': '，和老婆一起出差入住的，性价比比较高，下次出差还会来…', '短评打分': 3}
{'短评内容': '很不错   酒店很新   服务很好  推荐', '短评打分': 5}
{'短评内容': '喜玛拉商务酒店挺不錯的,,地理位置都很好 走一段路就有很多吃的 很方便 如果再去都住那', '短评打分': 5}
{'短评内容': ' 外面能看到窗户里面的，很离谱的设计…里面往外看是镜子，外面往里看是透明的…', '短评打分': 3}
{'短评内容': '还可以还可以还可以还可以还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '看电视的时候没有靠枕，和服务员说了也没有拿上来，洗澡水不热，温温的。还有酒店的感觉挺商务的，不温馨，感觉一般。', '短评打分': 1}
{'短评内容': '酒店很温馨，楼下隔壁有个玛雅咖啡西餐馆，适合商务需要！', '短评打分': 5}
