{'短评内容': '早餐比以前差了很多，其他住宿设施都很不错，周边也不错', '短评打分': 5}
{'短评内容': '很好很不错。值得再去', '短评打分': 5}
{'短评内容': '一般搬吧   这个价位有点贵了。。。  竟然还带麻将桌   一个人玩个鬼啊，住的时候为什么不多问一句呢。', '短评打分': 4}
{'短评内容': '总的来说还是不错的，吃饭购物都方便，酒店旁边就是广场，晚上还可以去跳跳舞，说不定还有偶遇哦，早餐也还可以', '短评打分': 4}
{'短评内容': '位置好，早餐品种多。', '短评打分': 5}
{'短评内容': '酒店还是不错的，周边有很多的海鲜粥铺，是一个值得体验的去处，酒店的房价其实挺便宜的，周边还有公园，是一个旅游城市', '短评打分': 5}
{'短评内容': '酒店还是不错的，周边有很多的海鲜粥铺，是一个值得体验的去处，酒店的房价其实挺便宜的，周边还有公园，是一个旅游城市', '短评打分': 5}
{'短评内容': '酒店还是不错的，周边有很多的海鲜粥铺，是一个值得体验的去处，酒店的房价其实挺便宜的，就是携程定价过高，开发票的时候了解到这一点，感觉怪怪的', '短评打分': 4}
{'短评内容': '还行。出差住不错。', '短评打分': 5}
{'短评内容': '啦啦啦啦啦啦啦啦啦啦', '短评打分': 5}
{'短评内容': '干净卫生，服务周到，下次还住', '短评打分': 5}
{'短评内容': '性价比高。房间干净，安静。周边吃饭方便。', '短评打分': 4}
{'短评内容': '洒店环境很好，吃饭方便，周边可以散步，不吵，打车困难', '短评打分': 4}
{'短评内容': '酒店整体不错，是周边较好的，就是入住时发现卫生间有水，是个瑕疵。', '短评打分': 5}
{'短评内容': '赞，不错的酒店，但是晚上隔壁的ktv夜场低音炮很讨厌，建筑结构原因，震动传音很剧烈，熬到半夜三四点才能睡着，影响第二天外出办事。', '短评打分': 5}
{'短评内容': '服务不错，房间很给力', '短评打分': 3}
{'短评内容': '港区的酒店不多，这个算不错了。早餐在三楼空中楼阁上，有点创意。\n服务也可以，特别是吃饭可以去海边上的大排挡，很近的，过去20米就到了。', '短评打分': 5}
{'短评内容': '出差住宿还可以。服务还不错。旅游我还是不会选择的。', '短评打分': 5}
