{'短评内容': '安静，房间大，床舒服', '短评打分': 5}
{'短评内容': '上次来新疆出差也是住这酒店，这次还是如此，酒店离机场近，环境也不错，下次再到新疆出差还是住这酒店。。', '短评打分': 5}
{'短评内容': '非常完美，太好了', '短评打分': 5}
{'短评内容': '一切都好 多次入住 唯一需要提的建议就是早餐的纸巾太浪费了 连工作人员自己都说浪费 应该换成小纸巾 据说是因为换了领导才这样的 他们也不敢反馈 那么只能说这个领导是头猪 ', '短评打分': 5}
{'短评内容': '经常住，还可以', '短评打分': 4}
{'短评内容': '酒店交通便利，因去周边税局办事，感觉出行挺方便的。', '短评打分': 5}
{'短评内容': '酒店房问不错', '短评打分': 5}
{'短评内容': '酒店很不错，设施不错，服务很好', '短评打分': 5}
{'短评内容': '值得推荐，很好', '短评打分': 5}
{'短评内容': '酒店已经来很多次了，在乌鲁木齐算不错的酒店了，位置也方便，总体满意，值得推荐。', '短评打分': 5}
{'短评内容': '性价比不高', '短评打分': 4}
{'短评内容': '服务比较差，前台女服务员态度很差', '短评打分': 4}
{'短评内容': '边疆嘛～将就了～～～', '短评打分': 3}
{'短评内容': '酒店非常干净，地理位置非常好找，而且酒店的隔壁就有中和美食街，饮食等比较方便。酒店的服务也很周到，下次来乌市还住这儿，推荐！', '短评打分': 5}
{'短评内容': '周边环境还算好！出行比较方便！用餐也很便利.', '短评打分': 5}
{'短评内容': '周边环境还算好！出行比较方便！用餐也很便利.', '短评打分': 5}
{'短评内容': '周边环境还算好！出行比较方便！用餐也很便利.', '短评打分': 5}
{'短评内容': '在乌鲁木齐是性价比比较高的酒店，房间内的布置有很大问题，入住的房间内电脑桌和电源插座距离很远，用电脑是长长的电源线要悬在空中，网线也是这样，不过在这边，还能期待什么呢！！！', '短评打分': 5}
{'短评内容': '商务酒店，房间比较宽敞，床挺舒服的，装修比较简洁，新开的，设施都比较新，就是洗澡的时候水会流出淋浴间', '短评打分': 5}
{'短评内容': '地段较好，与去年入住相比卫生状况下降。毛巾不应有毛边。', '短评打分': 3}
{'短评内容': '帮朋友订的，反馈过来的意见还可以，地理位置不错，下次还会考虑入住。', '短评打分': 5}
{'短评内容': '酒店环境很好，地理位置非常便利离机场和火车站都很近，所处的位置是一个CBD的商务区，而且旁边就有一个美食一条街，就是价格比上个月涨了100元，但是还是值得推荐。', '短评打分': 5}
{'短评内容': '很棒的酒店~物有所值，下次有机会的话，我还会选择它', '短评打分': 5}
{'短评内容': '热情高质量的服务让人感觉舒适，不过前台订房退房操作速度较慢，让人等得有些不耐烦', '短评打分': 5}
{'短评内容': '环境很好，服务很热情，大力推荐～要说缺点的话，就是餐费有些贵，不过可以理解', '短评打分': 5}
{'短评内容': '挺不错的一家酒店。房间空间大，干净整洁，没有骚扰电话。这次入住非常满意。', '短评打分': 5}
{'短评内容': '中和大酒店不错，下次还选', '短评打分': 3}
{'短评内容': '酒店不错 服务很好 早上还给准备可以带走的早餐', '短评打分': 5}
{'短评内容': '酒店很不错，飞机比较早，还给准备可以带走的早餐，服务很好', '短评打分': 5}
{'短评内容': '酒店还是不错的，就是床有点小，呵呵.服务非常好！', '短评打分': 5}
{'短评内容': '服务还可以,早上8点前跟他们说说可以提前吃点东西,人性化可以.', '短评打分': 5}
{'短评内容': '感觉还是不错的……………………………………………………', '短评打分': 5}
{'短评内容': '乌鲁木齐中和大酒店装修较新 房间较卫生 地段好  就是价格有点高', '短评打分': 5}
{'短评内容': '在该地段,该项价位,非常不错的选择.\n1楼的自助餐还不错,就是108元/位有点贵.', '短评打分': 5}
{'短评内容': '服务态度很好，早餐很丰盛啊。退房有点慢。', '短评打分': 5}
{'短评内容': '环境好，干净，早上早饭不错，性价比比较高，下次来还住这里。', '短评打分': 5}
{'短评内容': '房间不错，地理位置也不错，\n房间舒适，价格稍微有点贵；', '短评打分': 5}
{'短评内容': '环境还不错，卫浴用的都是科勒的，入住酒店还给送了暖宝宝礼品，但是枕头确实很难受，睡的脖子不舒服，2天才缓过来。其他都还一般吧', '短评打分': 5}
{'短评内容': '感觉听不错的，对面就是全聚德，交通也很方便。这次是去旅游的，时间虽短 但还是留下了很好的映像。', '短评打分': 5}
{'短评内容': '市区中心，方便\n房间干净，舒心\n没有骚扰电话，爽\n床比较舒服，推荐', '短评打分': 5}
{'短评内容': '四星级里面不错的\n就是价格比标准间贵，设备只是多了电脑\n房间大不了多少', '短评打分': 5}
{'短评内容': '酒店位置很好床也很大,比正常双人床还大很多,床很软很舒服\n性价比高', '短评打分': 5}
{'短评内容': '房间内地毯有点脏，\n酒店前台办理退房效率低，\n早餐有待改善，总是一个样。', '短评打分': 5}
{'短评内容': '你值得入住的酒店！性价比高的典范（乌鲁木齐市内）', '短评打分': 5}
{'短评内容': '总体来说还不错，干净，舒适，价格相对还比较合适，性价比高', '短评打分': 5}
{'短评内容': '还行，领导住着还不错！以后继续，地理位置不知道为什么，好像不是很方便呢', '短评打分': 5}
{'短评内容': '酒店位置可以，达到四星标准，就是乌鲁木齐酒店价格都有点偏贵。', '短评打分': 5}
{'短评内容': '酒店设施齐全，卫生条件很好，房间很宽敞，电梯速度也挺快，服务员服务及时。就是价格偏高。要是能够提供免费接机就更好了。', '短评打分': 5}
{'短评内容': '服务不错，环境干净，装修的也不错，就是价格高了点！', '短评打分': 5}
{'短评内容': '再次入住，卫生又更差了，酒店这么管理真的不行啊，地毯都不怎么清洁的。\n\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': '再次入住，卫生又更差了，酒店这么管理真的不行啊，地毯都不怎么清洁的。', '短评打分': 1}
{'短评内容': '酒店比较新，屋子比较大。服务态度一般的很。不过在新疆，不能要求太高。', '短评打分': 1}
{'短评内容': '各方面都可以，房子也比较大，也比较干净，就是有点贵', '短评打分': 5}
{'短评内容': '前台服务很不错，干净、舒适，自助餐也很好，推荐。', '短评打分': 5}
{'短评内容': '地理位置不错，房间较大，干净，服务不错。价格有点高。', '短评打分': 5}
{'短评内容': '地理位置不错,房间较大,设施较新。推荐!', '短评打分': 3}
{'短评内容': '房间大,干净,交通方便。价格有点高。推荐!', '短评打分': 3}
{'短评内容': '很干净，服务很好！', '短评打分': 3}
{'短评内容': '酒店的房间较大，内部装修的也比较新。整体环境很好，一分价钱一分货', '短评打分': 5}
{'短评内容': '酒店还是一般，房间挺大的但是设施比较简陋感觉达不到四星的标准，位置倒是挺好找，服务态度一般，价格还好。', '短评打分': 3}
{'短评内容': '总的来说还可以 房间比较大 服务业还行 但是墙上的墙纸都破了一个很大的洞也没有维修过 早餐不怎么样 说是24小时送餐 但是品种太少了 网速很快 床很舒服', '短评打分': 5}
{'短评内容': '卫生打扫还可以房间设施还是比较新，位置还是很方便，价格可能还是稍微偏高了。', '短评打分': 3}
{'短评内容': '房间空间较大，装修一般。一分钱一分货，还是物有所值的吧', '短评打分': 5}
{'短评内容': '不错，房间很大，很宽敞，酒店位置也不错，购物很方便', '短评打分': 5}
{'短评内容': '+很好', '短评打分': 5}
{'短评内容': '+房间很大,很宽敞,不错!', '短评打分': 5}
{'短评内容': '房間很大，但是洗澡水一時熱一時冷，無所適從', '短评打分': 3}
{'短评内容': '房間很大，服務很好，位置一般，電視太小，最差是洗澡的水一時熱一時冷', '短评打分': 5}
{'短评内容': '还可以，早餐不好', '短评打分': 5}
{'短评内容': '酒店比较新，离家乐福大约500米，对面昆明路的巷子里有不少小吃，很方便。打车到机场大约25元，二十分钟车程。但当地的司机可能会讲价。', '短评打分': 5}
