{'短评内容': '进本设施完善，价格也较划算。', '短评打分': 4}
{'短评内容': '早餐很一般，就是普通的包子和稀饭，选择性有限。房间较大，但设施比较老旧，好在地理位置不错，离办事的地方比较近。', '短评打分': 4}
{'短评内容': '临近大路，价格适中。酒店门口停车位比较少，停车不方便。', '短评打分': 4}
{'短评内容': '酒店位置不错，周边餐馆非常容易找到。酒店设施比较齐全，也非常干净；房间也蛮大的，还有两份免费早餐，性价比非常高！', '短评打分': 5}
{'短评内容': '服务态度好！性价比高', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '每次到桐乡基本都去该酒店，方便。', '短评打分': 5}
{'短评内容': '房间干净、卫生、敞亮，就餐环境和质量不错。', '短评打分': 4}
{'短评内容': '酒店干净卫生，房间宽敞，购物方便。', '短评打分': 5}
{'短评内容': '酒店环境很不错，地理位置好，旁边是小区，交通便利，房间的设施和卫生也很不错，早上提供丰盛的免费早餐', '短评打分': 4}
{'短评内容': '去过很多次的宾馆，性价比高', '短评打分': 4}
{'短评内容': '价格跟地里位置都还好适合短住。', '短评打分': 4}
{'短评内容': '离电梯近有点吵，Wi-Fi信号也弱，后来调了个里面一点的房间。', '短评打分': 5}
{'短评内容': '非常不错德酒店，工作人员态度很好，环境也不错', '短评打分': 3}
{'短评内容': '住着还比较舒服，离目的地很近', '短评打分': 5}
