{'短评内容': '各方面条件都很好', '短评打分': 5}
{'短评内容': '酒店非常棒！', '短评打分': 5}
{'短评内容': '比较舒适，价格实惠。', '短评打分': 4}
{'短评内容': '服务很满意', '短评打分': 5}
{'短评内容': '非常好非常好', '短评打分': 5}
{'短评内容': '服务好   房间安静   很喜欢   免费酸奶质量很好   办理住宿期间有免费热茶水喝   很好   赞', '短评打分': 5}
{'短评内容': '公司办事，因为距离近一直住的就是这，离机场比较近，停车场大，就是和洗浴中心在一起，每一次服务员都问问问！有的时候陪客人就比较尴尬。', '短评打分': 4}
{'短评内容': '公司办事，因为距离近一直住的就是这，离机场比较近，停车场大，就是和洗浴中心在一起，每一次服务员都问问问！有的时候陪客人就比较尴尬。', '短评打分': 4}
{'短评内容': '公司办事，因为距离近一直住的就是这，离机场比较近，停车场大，就是和洗浴中心在一起，每一次服务员都问问问！有的时候陪客人就比较尴尬。', '短评打分': 4}
{'短评内容': '公司办事，因为距离近一直住的就是这，离机场比较近，停车场大，就是和洗浴中心在一起，每一次服务员都问问问！有的时候陪客人就比较尴尬。', '短评打分': 4}
{'短评内容': '服务员漂亮热情，大方得体，酒店房间干净，宽敞，配套齐全，洗浴中心舒适。综合环境好！', '短评打分': 5}
{'短评内容': '服务员漂亮热情，酒店房间干净，配套齐全，洗浴中心舒适。', '短评打分': 5}
{'短评内容': '超级棒，棒棒哒', '短评打分': 5}
{'短评内容': '环境优雅，服务热情', '短评打分': 5}
{'短评内容': '非常好，干净，整洁，安静', '短评打分': 5}
{'短评内容': '环境非常好，服务也很到位', '短评打分': 5}
{'短评内容': '环境不错，交通便利，外观设计和装璜非常高档，前台服务非常周到！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '大厅有点乱', '短评打分': 5}
{'短评内容': '挺好的，', '短评打分': 5}
{'短评内容': '可以预留到23点，这点非常好，方便飞机晚点的客户！', '短评打分': 5}
{'短评内容': '真的就是SPA/按摩专用房，符合我泡澡的需求，酒店装修风格还不错', '短评打分': 5}
{'短评内容': '酒店硬件条件很好，房间内设施非常齐备，出行很方便！', '短评打分': 5}
{'短评内容': '酒店位置优越，环境很好，价格适中，服务也很到位！', '短评打分': 5}
{'短评内容': '酒店很干净，不过价格有点贵，可能是旅游季节吧！', '短评打分': 5}
{'短评内容': '硬件条件不错，不过房间好象好久没打扫了，桌面上一层土。', '短评打分': 3}
{'短评内容': '还行，价格适中，床很舒服，但是房间不是很大，高级商务间', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '环境不错  就是空调不好  噪音很大 ，没有暖风', '短评打分': 5}
{'短评内容': '酒店很新，4星的标准，设施都不错，值得一住。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，礼宾很有礼貌，给人印象很好。大堂很宽敞很大，但酒店里有洗浴，大堂一楼一进去就有一种洗浴场有的不干净的味道，不太好。酒店服务较好，早餐挺好，房间内设施较新，床很舒服。但就是距离市区比较远，早上打出租车太困难了，我8月中旬住的，早上打车要等好长时间，很郁闷，建议：酒店如果能预约出租车就很好了。', '短评打分': 5}
{'短评内容': '服务很好，mm很漂亮，房间不错，就是很小，差不多3星吧', '短评打分': 5}
{'短评内容': '酒店服务不错 但硬件设施稍差 住的房间电视都坏了 不过很及时帮助更换了房间', '短评打分': 5}
{'短评内容': '服务员相当漂亮！笑容非常给力！但进了房间之后没有酒店的感觉，总觉得是浴场的按摩房呵呵，还有房间内有飞虫和蚊子…', '短评打分': 3}
{'短评内容': '非常不错的酒店，特别是双床的房间很适合商务出差\n特别是就带附带的洗浴中心的水池特别的大，附带的自助餐也很不错\n强烈推荐', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '卫生间设计的不太合理，其他不错的还不错，下次还可以考虑入住\n', '短评打分': 5}
{'短评内容': '房间挺干净，就是卫生间设计的不太合理，用的时候很不舒服', '短评打分': 5}
{'短评内容': '呼和浩特海德休闲酒店，是洗浴为主的酒店。地点还一般，但是这里的洗浴是很不错的。宾馆的硬件，装修风格都很好。不过没有早餐。', '短评打分': 5}
{'短评内容': '呼和浩特海德休闲酒店,以洗浴为中心的酒店，要是去的话 想好了，酒店的房间确实不错，但是房间的软实力比较一般。', '短评打分': 1}
{'短评内容': '非常好的酒店，很有个性。我住的是SPA房，服务非常好，前台也很热情，卫生条件没话说。绝对够得上五星标准。', '短评打分': 5}
{'短评内容': '海德休闲酒店硬件还好，管理一般', '短评打分': 5}
{'短评内容': '环境还行，房间里面设施挺简单的，卫生还行，服务价格都还不错。', '短评打分': 5}
{'短评内容': '不错……挺高档的，就是有点贵，还不能使用消费卷……呼呼……而且夏天有蚊子，不知道有什么解决的方法没', '短评打分': 5}
{'短评内容': '很不错的酒店，各个方面都很好，下次还会住的。', '短评打分': 5}
