{'短评内容': '酒店环境很好，卫生。', '短评打分': 5}
{'短评内容': '非常好讲真', '短评打分': 5}
{'短评内容': '酒店位置方便，院内有停车位。服务热情。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '价格合适 房间干净整洁 前台服务不错', '短评打分': 5}
{'短评内容': '挺好的，推荐', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '卫生好，环境好，退房后出行方便', '短评打分': 5}
{'短评内容': '下单后确认很快，不错。', '短评打分': 4}
{'短评内容': '装修不错，也挺干净，就是隔音不大好，浴室的私密性不太好', '短评打分': 3}
{'短评内容': '价格上的确很便宜 但是前台服务很差 另外房间隔音很差 走廊走路的声音里面都听的一清二楚、', '短评打分': 5}
{'短评内容': '价格便宜、网速快！唯一不好就是房间隔音太差了 门口的脚步声 都传到房内', '短评打分': 5}
{'短评内容': '怎么我到酒店后没有我的预定信息？', '短评打分': 3}
{'短评内容': '酒店环境很好，不过被子有点薄，并且洗澡用地开水不是很热，希望能够改善！', '短评打分': 5}
{'短评内容': '本人常年在酒店行业工作很是理解节日期间房间紧张。但是该酒店的行为实在是不符合行规。先是变换房型我想只是休息一晚有无窗户无所谓。可是到了房间一看就是酒店的维修房。一半墙壁没有壁纸房间狭小。墙上地面均是霉斑气味难闻。而且房间位于通道最一端居然是个通后院的木门。直至深夜还有人出入很是嘈杂。再有房内用具用品卫生极其担忧。没敢使用，房间隔音很差夜里满耳的“哀嚎”。一早起来吃了早餐赶紧离店。虽然价格很低但是酒', '短评打分': 1}
{'短评内容': '服务态度很一般；想上会儿网吧，网是坏的，换网线倒是给换了，但还是不能上网，直接影响出游心情，因为无法有效查询次日的游玩和住宿信息。我想我下次再去肯定不会选择这家酒店了', '短评打分': 1}
{'短评内容': '离车站还是比较近的。。。。。房间还行。。。。。就是桌子有点小啊。。。。。放个电脑啥的都费劲。。。。。其他的还不错。。。。', '短评打分': 5}
{'短评内容': '优点：价格实惠，位置不错，停车位充足；早餐还过得去。\n缺点：卫生条件一般；房间气味不好；卫生间洗澡间和房间门帘过于通透，私密性不好。', '短评打分': 5}
{'短评内容': '   房间设计不错，但是床单不干净，隔着床单还能看见褥子上的血迹', '短评打分': 1}
{'短评内容': '酒店还可以，新装修的，稍有气味', '短评打分': 3}
{'短评内容': '酒店设施比之以前陈旧了不少，特别是在细节方面不是很好。不过网速还是不错的。', '短评打分': 5}
{'短评内容': '酒店不错，只不过房间小点，还是比较干净的。宽带速度很低快！', '短评打分': 5}
{'短评内容': '性价比很高，住的环境也不错,离车站很近,就是早餐要自己购买', '短评打分': 5}
{'短评内容': '有点吵闹，里面n多人乱打电话，，很乱，隔音也不太好。。。。。。', '短评打分': 1}
{'短评内容': '房间有点小，但是设施很齐全，临近汽车站交通方便，但是靠窗的一遍比较吵', '短评打分': 5}
{'短评内容': '酒店服务很差，其他一般', '短评打分': 1}
