{'短评内容': '早餐还行 中规中矩 有停车场 房间唯一不合适的是手机充电的地方很少 床头没有查口 希望可以放简易的充电口或者转换口', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 4}
{'短评内容': '酒店位置非常好', '短评打分': 5}
{'短评内容': '到北京学习，订的酒店，周边环境好，方便', '短评打分': 5}
{'短评内容': '空气清新，卫生', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '能加床', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '香山脚下 主楼景色一流 如果是红叶季节一定美极了 房间设施三星到四星之间的水准 服务还不错 附设餐厅菜品不多 胜在精致可口 价格对得起体验', '短评打分': 5}
{'短评内容': '景色很好', '短评打分': 4}
{'短评内容': '环境优美，价格超值', '短评打分': 5}
{'短评内容': '还不错，能住，周边很方便。', '短评打分': 3}
{'短评内容': '还行。就是这样吧。有点旧了就是。', '短评打分': 3}
{'短评内容': '服务超赞特别是前台的小姑娘热情，周到赞一个，餐厅服务也不错，五星实在', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友赞不绝口，特别是前台服务热情，中餐菜品口味非常好服务更好', '短评打分': 5}
{'短评内容': '难得的好服务，特别是前台人员服务耐心，热情，棒棒的', '短评打分': 5}
{'短评内容': '服务没得说特别是前台服务非常好感受到家的温暖', '短评打分': 5}
{'短评内容': '香山难得的好酒店，入住时前台人员服务热情，还给升级了房间，中餐包间服务人员服务也非常好，以后还来。', '短评打分': 5}
{'短评内容': '环境棒，空气清, 非常满意。', '短评打分': 5}
{'短评内容': '环境设施都不错', '短评打分': 5}
{'短评内容': '环境幽静，可以游泳健身，赠送的早餐丰富，距离香山很近，住的比较舒服，美中不足是浴缸水放不出去，喷头是固定的拿不下来不方便，总体来说是一次满意的住宿。', '短评打分': 5}
{'短评内容': '酒店非常安静，附近吃饭的地方很多，也很好，一次非常好的体验！', '短评打分': 5}
{'短评内容': '周边环境，位置还可以，设施一般吧，', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '陪父母探亲，选了这家。环境非常棒，花园景色秀丽，空气好又清净。设施有点显旧了，但还是比较舒适的，对得起价钱。服务员态度很好，专业度可以再提升，比如加床的配套物品可以一次送齐，不是丢三落四。总体非常满意。', '短评打分': 5}
{'短评内容': '设施比较陈旧，服务一般', '短评打分': 4}
{'短评内容': '非常好！方便！环境也很棒！', '短评打分': 5}
{'短评内容': '环境不错，离香山很近，溜达就能到了。附近还有个那家盛宴，菜味道不错，就是贵了点，烤鸭没吃上。', '短评打分': 5}
{'短评内容': '很不错的酒店，头天晚上住下早上爬香山很方便。美中不足的是酒店里的游泳、打球所有的娱乐均需另收费，因为是北京人没在北京住过酒店，在外地住过无数的星级酒店，住店客人娱乐都是免费的。不知是不是所有的北京星级酒店娱乐项目都另收费。', '短评打分': 5}
{'短评内容': '首次入住，豪华山景房景致不错，房间内部设施达到四星级水准，龙萃会员优惠价799元，性价比一般，如非地处香山脚下，估计600元较为合理，中餐厅菜品味道正宗，价格稍贵。', '短评打分': 5}
{'短评内容': '酒店环境很好，早晨爬山很方便，房间设施也齐全，打扫得挺干净。唯一的问题就是房间比较小，略显拥挤', '短评打分': 5}
{'短评内容': '香山脚下非常舒适的住处了，但价格比较高。适合团队会议。', '短评打分': 5}
{'短评内容': '酒店硬件设施完备，服务周到热情。非常好。', '短评打分': 3}
{'短评内容': '很好，就在香山公园门口，去公园很方便，而且在房间里就能看见公园里的风景。', '短评打分': 5}
{'短评内容': 'very good.................................', '短评打分': 5}
{'短评内容': '很好很不错，整体都很喜欢。', '短评打分': 3}
{'短评内容': '金秋季节，来到美丽的香山。在香山脚下，有一处优雅别致的建筑，那就是世纪金源香山商旅酒店。入住酒店给人一种温馨回家的感觉，该酒店环境优雅，建筑风格别致。', '短评打分': 5}
{'短评内容': '酒店很不错，唯一就是因为太新了，房间里有味道。\n\nB1的中餐厅太好吃了；', '短评打分': 5}
{'短评内容': '帮亲属定的 说和好 价格也行 离香山医院很近 很方便\n五星标准 性价比很高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '环境不错，就是景色好的房间价格太高，而且都没有早餐，让人觉得不爽。还不如去香山好好享受无尽的绿色。', '短评打分': 1}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '为了第二天一早爬香山 前一晚住进了金源香山 我们选住的是最便宜的东楼标间 虽然没有电梯和阳台 但房间设施一应俱全 有冰箱洗漱用具拖鞋电水壶 矿泉水收费30元 还有催眠贴呢 当然也是收费滴 寝具很干净 只是一张床单上有小小破洞 酒店里的环境很好 小桥流水 最看中的是就离香山公园东门7、8分钟的路程 对我这样道远的人来说住在这里可以不必很早起 而且爬山完了还可以睡一下解解乏 下次会尝试大床豪华间', '短评打分': 5}
{'短评内容': '酒店很舒适，服务很好，环境不错，游泳池水温合适，离香山近，游玩方便。', '短评打分': 5}
{'短评内容': '设施有些老了', '短评打分': 3}
{'短评内容': '挺豪华,特别是里面的别墅群,看上去特别,舒适', '短评打分': 5}
{'短评内容': '酒店很好，就是房间稍小了一点。', '短评打分': 3}
{'短评内容': '大庭和房间不相称,房间管理和卫生很一般.大庭和房间不相称,房间管理和卫生很一般.', '短评打分': 1}
{'短评内容': '早餐不好，其他尚可。', '短评打分': 3}
{'短评内容': '位置很好，上下皆宜。十一后入住人比较少，挺幽静，值得推荐。\n不过因为人少，所以服务也就比较一般、应该改进。', '短评打分': 5}
{'短评内容': '会议的理想所选，会议室还不错，就是收费貌似高一点。整体感觉很好，很好找。', '短评打分': 5}
{'短评内容': '整体感觉很好，我们是20人在那里开会。就是酒店的餐饮有些贵，呵呵，不过整体感觉还不错', '短评打分': 5}
{'短评内容': '酒店整体感觉不错，很干净，服务也还不错，风景很好', '短评打分': 5}
{'短评内容': '感觉不错，环境很好，去香山也不远.........', '短评打分': 5}
{'短评内容': ' 高檔酒店但東樓設施較舊無電梯', '短评打分': 3}
{'短评内容': '这里是度假的理想之处，观景、运动、餐饮、休闲皆佳，就近商务亦可。', '短评打分': 5}
{'短评内容': '香山脚下，环境是没得说，就是餐厅不是太好，贵而且饭也不是太好。其他方面都不错', '短评打分': 5}
{'短评内容': '推荐商旅入住。不过现在会该多起来了，估计价格会有所上涨。\r\n大床还算大，就是两张床拼起来，孩子睡中间还是有些不舒服。', '短评打分': 3}
{'短评内容': '总体来说不错 离香山也很近 附近的小吃很有味道 就是房间里面太多非卖品了 价格还不低 这样会打击消费者的消费积极性的 ', '短评打分': 5}
{'短评内容': '香山住金源还是第一次，以前住过香山饭店，感觉还可以，不过以前都匆匆而过，没上过山，这次算是爬了次山，感觉还挺好。不用很快，三小时可以上山下山。当然，下山我们走梯子直接下来的，可能稍微快些。\r\n金源感觉比香山饭店要好些，因为性价比更强。早餐50一位，还算丰富，就是吃饭的人太少，心里有些嘀咕。酒店相当不错，确实能看到一些山景，不过要想上凉台，还要找服务员开门。可是我很纳闷，我们没开门，为什么房间有三只', '短评打分': 5}
{'短评内容': '十内容', '短评打分': 5}
{'短评内容': '我次入住该酒店，酒店的卫生、服务非常好。建议酒店增加适于家庭居住的三人间。\r\n', '短评打分': 5}
{'短评内容': '酒店設施非常好，就是地下的游泳池水太涼，服務員態度極差！酒店的風景不錯，下次還會來住。', '短评打分': 5}
