{'短评内容': '很老很旧很破，改装修了。', '短评打分': 3}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '还可以，位置挺好找的，出门离吃饭的地方和东门步行街也不远。', '短评打分': 5}
{'短评内容': '还可以吧！毕竟便宜', '短评打分': 4}
{'短评内容': '服务态度不好，而且窗户是假的，根本不透气', '短评打分': 2}
{'短评内容': '我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上，而比较差的产品，我绝对不会偷懒到复制粘贴评价，我绝对会用心的差评，这样其他消费者在购买的时候会作为参考，会影响该商品销量，而商家也会因此改进商品质量。', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '客人的订单不用确认就可以直接开房？今天过去提示本人已离店，出个门都没点心情，想给好评都难！钱是小事，服务跟不上维也纳，注定被淘汰！我不会再选你们了！这差评不是给这家店，是给整个七天！包括携程酒店！', '短评打分': 1}
{'短评内容': '地理位置还可以', '短评打分': 5}
{'短评内容': '住了几次，价格有点小贵', '短评打分': 5}
{'短评内容': '待人礼貌、真诚，房间卫生。', '短评打分': 5}
{'短评内容': '位置好，室内环境不错。', '短评打分': 5}
{'短评内容': '位置不多，房间不行', '短评打分': 4}
{'短评内容': '酒店可以就是两个店容易搞错', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '旅馆不错，服务很好，位置很好！', '短评打分': 5}
{'短评内容': '不知道怎么七天也开始这么贵了。。。。', '短评打分': 5}
{'短评内容': '酒店很让我无语！本来是过了十二点后定的房间！硬要说过了下午六点才能入住！沟通了很久还是没有结果！打电话给客服退了！自己用现金定了房间', '短评打分': 5}
{'短评内容': '不错，位置好，就在东门步行街旁边，可以逛逛小吃街，离老街地铁站也蛮近的，很方便，推荐入住，服务好，，', '短评打分': 5}
{'短评内容': '卫生不错，挺舒适', '短评打分': 5}
{'短评内容': '交通便利，一如既往的好，简单干净！以后还是会选择', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '非常不错 房间挺大 我们三大一小住的很好', '短评打分': 5}
{'短评内容': '非常不错 房间挺大 我们三大一小住的很好', '短评打分': 5}
{'短评内容': '非常不错 房间挺大 我们三大一小住的很好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '环境不错，深圳市中心地段', '短评打分': 5}
