{'descr': '价格合理，家人去的，服务还可以', 'star': 5}
{'descr': '很好的酒店，前台姓丁的小姑娘挺好的，下次来还会入住！', 'star': 5}
{'descr': '挺好的，已经住两天了，！！！！！！！！！', 'star': 5}
{'descr': '离火车站不算太远，就是住的房间水压太小，洗澡费劲。', 'star': 5}
{'descr': '简单的房间，也算干净，对面是小区的楼，比较安静。', 'star': 3}
{'descr': '还不错吧，替朋友订的，他们说还好，只是打电话预定的时候服务台的人员服务态度一般，建议改善一下', 'star': 5}
{'descr': '酒店还可以  只是前台服务一般  吃饭有点贵', 'star': 5}
{'descr': '已入住两天，卫生尚可，基本满意', 'star': 3}
{'descr': '屋子太小  水不热，要放很长时间水太热，房间连个衣柜也没有！总之，不喜欢', 'star': 1}
{'descr': '床挺舒适，洗浴也可以。临街的房间有点吵，窗户有裂痕，停车位也很紧张，在房间里WIFI信号时有时无。整体感觉一般', 'star': 1}
{'descr': '位置还不错,服务挺好!吃饭特方便!希望更换或维修电梯!', 'star': 5}
{'descr': '还不错卫生也好', 'star': 3}
{'descr': '卫生不错，服务也好，早餐也很干净卫生。还有免费的WIFI。', 'star': 5}
{'descr': '总体感觉还可以，早晨热水有些问题。服务态度很好，也很及时！', 'star': 5}
{'descr': '房间小了点，不过开发票比较灵活 而且服务不错  热水也还可以 ', 'star': 5}
{'descr': '还不错，挺干净的，价格挺实惠的，就是菜做的一般', 'star': 5}
{'descr': '价格在暑期的秦皇岛还不算贵 但是房间太小 而且床不是很舒服', 'star': 1}
{'descr': '很好，住起来很舒服，很有家的感觉，下次再光顾', 'star': 5}
{'descr': '凑活吧，餐厅里的佛跳墙纯属坑爹的   发反反复复', 'star': 5}
{'descr': '怎么说呢，服务态度还行，但是觉得性价比不太高，就是有点贵，但是标准间不太好。。但是其实整体上还是不错的。', 'star': 1}
{'descr': '地理位置好 干净 推荐', 'star': 3}
{'descr': '地方还可以，屋内环境也挺干净，有WIFI，价格一般，当地消费价格不是太高，建议去玩的可以在当地现找快捷酒店，一百左右足够！~', 'star': 5}
{'descr': '便宜干净', 'star': 3}
{'descr': '  一般', 'star': 3}
{'descr': '7非常满意', 'star': 3}
{'descr': '酒店性价比还可以，服务员态度不错，只是离旅游区较远。', 'star': 5}
{'descr': '态度不粗.设施稍有损坏,让他们修了,但是晚上回去没看到有什么改善.还好是小问题,不影响住宿.环境还可以,也很安静.', 'star': 5}
{'descr': '很干净，无线也很给力，隔音尚佳，值得推荐~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '十还行，就是衣架太少了，两个人不够用，宽带也没有，预订时好像有的吧。', 'star': 3}
{'descr': '酒店环境不错，客房质量也可以，挺安静的~ 停车方便，服务员态度还不错，出行还不错，。 \n总体性价比还可以。 \n', 'star': 5}
{'descr': '条件一般，对得起这个价格', 'star': 3}
{'descr': '我们一行14人是8月13日入住这家宾馆的 总体的感觉还不错 房间稍小点但干净整洁 有几点提一下 电梯的门应检修一下特别容易夹人 房间和房间之间打内线电话老有故障通不了 结账时的速度能在快点就好了 其他没什么 在这里住交通挺方便的', 'star': 5}
{'descr': '整体还行，交通也比较方便，不过早餐觉得一般吧，小菜都咸的要死', 'star': 5}
{'descr': '入住当天要求更换床单被罩很快，服务态度不错，周边交通还算便利，附近吃海鲜可以到百味一族，好像是这个名字，硬件设施有待于改善，床垫建议更换。85分吧', 'star': 5}
{'descr': '交通便利，客房较干净，服务态度好，比较满意。', 'star': 5}
{'descr': '比较干净，吃饭购物很方便，下次还会去哪里住', 'star': 5}
{'descr': '住了两天，干净卫生的快捷酒店。在秦皇岛市区，交通、购物、办事方便。早餐较差，只有4个凉菜而且非常咸。能上网。总体而言，价格和服务较为般配。', 'star': 5}
{'descr': 'POS机和电话坏了，其他还好，早餐还可以！', 'star': 5}
{'descr': '房间还算干净 赠送早餐 楼下的餐厅也很不错', 'star': 5}
{'descr': '服务周到，环境整洁，离市区较近，交通比较便利。', 'star': 5}
{'descr': '位置还行，价格也算可以，普通的商务酒店，还行吧！', 'star': 5}
{'descr': '酒店很干净，就是临街，隔音有点差。服务非常好，我急性肠胃炎，经理开车把我送到的医院！非常感谢！', 'star': 5}
{'descr': '住的双人标准间，有窗，环境挺好，地理位置也不错，附近超市餐馆很多，楼下不远处有一个自助兼肉好好吃，自助早餐丰盛，就是有点咸，我们的房间应该的隔开的，所以隔音效果不是很好，不过也无所谓了，总体来说不错。', 'star': 5}
{'descr': '性价比较高，服务态度好，就是早餐有点差，整体来说还不错。', 'star': 5}
{'descr': '酒店上网是无线网络，若你自带电脑必须安装无线网络连接，否则无法上网，酒店环境一般，房间比较干净，服务好。', 'star': 5}
{'descr': '无线网络网速尚可，有停车位，房间挺大，设备陈旧，周边环境尚可，吃饭方便', 'star': 5}
{'descr': '很一般，很一般，早餐实在是太差了，跟本就没什么吃啊，下次不会住了', 'star': 1}
{'descr': '卫生，舒适，服务好！但隔音确实有点问题，走廊里的声音特别清楚；还有房间里的挂钩太少了，卫生间里应该再安几个', 'star': 5}
{'descr': '房间通风不好，卫生间还没排气扇，空气很不好，室外机正对着房中的窗户而且玻璃窗还不能关噪音大，肯定不会再住了', 'star': 1}
{'descr': '房间感觉小了一点,不过很干净,而且很方便,前台服务态度很好.', 'star': 5}
{'descr': '什么都很好，卫生挺好，性价比很高，隔音效果需要改进', 'star': 5}
{'descr': '住宿条件比想象中好，洗澡水很热，就是隔音效果不太好。总体还是很满意的。', 'star': 3}
{'descr': '马马虎虎吧，就算对得起这个价格。房间内设施老化尤其卫生间，花洒水量小还不走正路，牙具等备品也算劣质，最可恶的就是餐厅的苍蝇非常多。还有临街的房间那是噪音极大，睡眠不好的童鞋要谨慎。', 'star': 5}
{'descr': '很满意', 'star': 3}
{'descr': '没有挂衣服的地方，隔音稍差，其他很好。', 'star': 3}
{'descr': '条件还不错 网络挺好。\n两个问题 1.卫生间的冷水 热水 标致贴反了啊 等了半个小时才弄明白\n2.我住的房间墙壁是坏的 修一修吧 弄个纸贴住  比较不美观', 'star': 5}
{'descr': '还可以，热水不是太方便，花洒是固定的，床够软够舒适。', 'star': 5}
{'descr': '我住的特价房，房间大小有点小，但是比较干净，隔音差了点', 'star': 5}
{'descr': '呃，好粉嫩的房间呢，墙上还有桃心…虽然特价房没窗户有些可惜，不过很安静，房间也宽敞，性价比不错。前台接待服务很好很好！！', 'star': 3}
{'descr': '酒店环境非常好,服务也非常到位,主要是工作人员让你心情好,不错!方便', 'star': 5}
{'descr': '真的很好，卫生好，条件好，比村里500两天的公寓好多了，还方便，旁边有超市和24小时的面食馆', 'star': 5}
{'descr': '位置不好找，环境不错 ，质量好，干净卫生，服务态度很好', 'star': 5}
{'descr': '主要是便宜，还可以啦，就是晚上洗澡热水关的比较早！', 'star': 5}
{'descr': '酒店不错，性价比高；缺点隔音不好，早餐简单', 'star': 3}
{'descr': '整体房间小了点，但隔音效果还不错，而且有消费品，我住的是数码房，既可以看电视又可以上网，网速也很快', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '热水不错，网络快。\n酒店牌子的滚动字幕上写的89，一住就说89的没有了，99的是没有窗户的小房间，秦皇岛同等价位的应该可以住到有窗户的小房间。\n电话不好用，热水壶不好用。解决速度很慢。', 'star': 5}
{'descr': '房间很简，价格与实物有距离，早餐欠丰富，是快捷酒店的标准。服务还可以。', 'star': 5}
{'descr': '干净 安全 周边环境也不错 值得推荐的宾馆 下次来还订这里', 'star': 5}
{'descr': '隔音效果不好，隔壁的大叔一直再大声说话。其他还行', 'star': 5}
{'descr': '这家酒店很好，装修简洁大方，我喜欢！位置很好找', 'star': 5}
{'descr': '出差来住，还可以，就是没早饭。。。交通还算方便周围吃的东西很多', 'star': 5}
{'descr': '很好，不错，经济实惠，餐厅里的饭菜也很好的。', 'star': 5}
{'descr': '服务很不多，卫生条件也不错，虽然很简单但是很温馨！不喜欢卫生间，没有独立淋浴间，洗完澡以后到处是水容易滑倒', 'star': 5}
{'descr': '设备较简陋，桌子太小，物品放不下，坐在桌子前脸要贴到电视了。网速还可以，电视频道太少。适合旅游，不适合商务。其他还过得去', 'star': 5}
{'descr': '酒店在市中心，位置很好。不远处就有小超市。买东西很方便。酒店卫生很好。就是房间小了点。', 'star': 5}
{'descr': '还行，比较整洁，方便，服务态度好，由于天冷有点感冒，大堂经理还送了药，蛮感谢的。下次出差还会住。', 'star': 5}
{'descr': '位置不错，周边环境好，打车方便，边上的自助火锅最好，海鲜不错经济实惠', 'star': 5}
{'descr': '这个可以，还有电脑上网，也挺干净，沐浴有个隔挡就更好', 'star': 5}
{'descr': '酒店的位置不错，房间环境也不错哦，服务也很不错，推荐', 'star': 5}
{'descr': '住了2天，总体而言，还不错，性价比还可以。\n优点：交通方便，马路对面就是超市，楼下两旁有不少吃饭的地方。尤其推荐楼下的餐厅（送的早餐也在这里吃），价格便宜，味道也很好。楼道、门及卫生间部分设施比较新。网络速度很快（400K/S）！门口免费停车。\n缺点：宾馆配套设施总体比较旧，主要是空调（老式），卫生间台面（已经严重倾斜），电视和空调遥控器（反应非常慢），床垫（硬）。房间内只有挂钩，没有衣架。另外临', 'star': 5}
{'descr': '性价比高', 'star': 3}
{'descr': '好地方,尤其是送菜,价格不贵,味道还不错,服务也很到位~~~还会去的!', 'star': 5}
{'descr': '这件酒店电脑房的网速真的太快了，比别的酒店可强太多了。房间卫生干净，服务意识满强的，酒店设施和七天差不多，如果在加个桌子就好了，价格不高，赞一个。', 'star': 5}
{'descr': 'okokookoooooooookkkkkkkkkkkkkkkk', 'star': 3}
{'descr': '灯光不行、洗澡水不热。性价比不高。设施较简陋，不过早餐不错。', 'star': 1}
{'descr': '价格与一般连锁酒店相比..性价比不佳...房间设备需要多维护..灯坏了3个.抽风机声响过大', 'star': 1}
{'descr': '位置还算方便，周围餐饮、超市之类的都有。服务一般，办理入住和退房的时候前台的效率那是相当的慢啊。房间比较狭小，早餐比较差。', 'star': 5}
{'descr': '宾馆环境还可以，卫生也干净，早点可口，有点潮湿。就是墙壁隔音差。晚上有人一整夜说话，早晨却打起了胡噜。', 'star': 5}
{'descr': '+价格合理，卫生干净，位置好找，但是临街，略显吵闹。', 'star': 5}
{'descr': '很不错，工作人员态度超级好，很干净。如果有机会，以后还会入住的', 'star': 5}
{'descr': '                                                                                           还不错的酒店~~~', 'star': 5}
{'descr': '+已入住酒店，酒店很好找。房间的空气很干净，床单很整洁，洗澡水很大很热，就是卫生间没有衣柜帽钩和衣架有些不便', 'star': 5}
{'descr': '感觉挺好！', 'star': 5}
{'descr': '  还算不错', 'star': 5}
{'descr': '房间一般设施较旧', 'star': 5}
{'descr': '旅游旺季时去的，价格比之前涨了很多，所以性价比就低了，另外此次入住的酒店无排风扇，感觉不适应，另外室内有好多小飞虫，较潮湿，感觉不如首次入住舒适，但是服务还是不错的。', 'star': 5}
{'descr': '酒店太一般了', 'star': 5}
{'descr': '酒店还行，地方也算是比较繁华，就是有的屋子隔音效果不行，隔壁屋子正常说话都能听见，更别说再大声点了，卫生间很好！下次应该还入住', 'star': 5}
{'descr': '家庭旅馆的感觉吧，进门后因为有前住客的烟味，比较不爽。', 'star': 5}
{'descr': '酒店的设施少了点，没有晾衣服的，其他的非常满意了！', 'star': 5}
{'descr': '为了旅游没办法，本来准备住两天，看了后连一天都不想住了', 'star': 1}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '酒店位置很好，在市中心出行比较方便。唯一缺点是房间里没有电脑桌，使用电脑不方便。如果在提升房间家具的配置，就非常好了。', 'star': 5}
{'descr': '该宾馆的位置还算不错，比较方便，在市中心的位置。环境也可以（对比起如家来说差不多。里面的设施少了一些。特别是洗衣服方面。', 'star': 5}
{'descr': '总体还不错的', 'star': 5}
{'descr': '房间中规中矩。有窗户，朝阳的很舒适。略有潮气，但在海滨城市的酒店里，算是味道比较小的了。宾馆楼下，还有宾馆旁边，吃得不少。还有家北户外可以买东西。去浴场有7路车，很方便。', 'star': 3}
{'descr': '位置还不错，房间有点小，隔音不怎么好。其他还好', 'star': 5}
