{'descr': '一进房间就看到天花板上硕大一块霉斑，很是煞风景，而且房间卫生也比较一般。不过比较好的一点是服务很好，我退房时东西落在房间，酒店帮忙保管起来了。总体还是不错的，希望酒店能再装修一下', 'star': 4}
{'descr': '空调坏了噪音太大。', 'star': 5}
{'descr': '还可以吧，就在八一医院对面，环境一般般', 'star': 5}
{'descr': '环境不好，卫生差', 'star': 1}
{'descr': '洗手间门关不上，夜里滴水声很恐怖。门窗不隔音，马路上汽车很吵，走廊很吵。', 'star': 4}
{'descr': '好好好好好好好好好好好好好', 'star': 5}
{'descr': '挺好的，位置方便，交通方便，值得选择', 'star': 5}
{'descr': 'cgffgtyxyxyyxyxyy', 'star': 5}
{'descr': '常去的地方不错', 'star': 5}
{'descr': '很不错～', 'star': 5}
{'descr': '自己出差 很好 很安静', 'star': 5}
{'descr': '地点好，房间干净，安静。', 'star': 5}
{'descr': '客服好，安全', 'star': 5}
{'descr': '整体整洁干净，空调噪音有点大了点', 'star': 5}
{'descr': '基本设施齐全，得自带洗漱用品，基本满意', 'star': 5}
{'descr': '位置很好，设施有点陈旧，所以价格稍高', 'star': 4}
{'descr': '房屋内卫生一般', 'star': 4}
{'descr': '离医院很近，很方便', 'star': 5}
