{'短评内容': '干净', '短评打分': 5}
{'短评内容': '床不错，房小点', '短评打分': 3}
{'短评内容': '', '短评打分': 4}
{'短评内容': '周边环境特别吵', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '总体还好！后面商品街吃的方便！', '短评打分': 5}
{'短评内容': '还行，安静，离哪都近。', '短评打分': 5}
{'短评内容': '#ud83d#ude01', '短评打分': 5}
{'短评内容': '房间还可以，就楼道味道太重了，勉强好评吧', '短评打分': 5}
{'短评内容': '服务周到，设施齐备', '短评打分': 5}
{'短评内容': '房间里非常干净，住进来很温馨。', '短评打分': 5}
{'短评内容': '干净，服务好', '短评打分': 5}
{'短评内容': '服务台态度好，周边环境好！很棒', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '方便，快捷．', '短评打分': 4}
{'短评内容': '房间不大，楼与楼之间很近，还好有窗，因为是带老人一起出行，住得有点压抑，第一次带她出去住太差了还是很过意不去的', '短评打分': 5}
{'短评内容': '不得不说，在全国各地住过那么多家7天，就数这间最差了。我提前一周定好房2间，晚上的飞机晚上12到店办入住手续，晚安牛奶只给一个，我定房时明明一间写2人名，4人才给两2个牛奶，怎么搞，还非得看微信是否有关注，不然还没有，这就不说了，我前一天特意打电话确定两间房要相连，结果2个房分别在两头。我定了自主大床房，结果房间跟定单上的图片一点都不符合，房间小得可怜，厕所浴室的门就在床边，坐床上伸手就能碰到门，', '短评打分': 2}
