{'短评内容': '小区环境不错小区环境不错', '短评打分': 5}
{'短评内容': '小区环境不错小区环境不错小区环境不错小区环境不错小区环境不错小区环境不错小区环境不错小区环境不错小区环境不错小区环境不错', '短评打分': 5}
{'短评内容': '小区环境非常好，像个小花园，离海很近，走几步就到了，小区里有个小超市，买日常东西很方便，很适合亲子旅游。', '短评打分': 5}
{'短评内容': '无早餐，自己解决，可住一家三口人，适合带孩子，位置很好，在阳台可以看到大海，走路不用5分钟就可以到海边，海边的沙滩很好，人也不多。就是房间的设施一般，很多生活用品需要进一步清洁、设施要保持完好无损，否则影响使用。', '短评打分': 4}
{'短评内容': '每年都会入住澳景蓝湾玩几天，这次要特别表扬下联系人小曹，非常热情，办事也是干脆利索。公寓房间干净整洁，因为位置是在沙滩上，所以不论出来玩还是回去洗澡都很方便。私家沙滩上，人不是很多，比起公共浴场强太多！', '短评打分': 5}
{'短评内容': '我每次去昌黎必去的酒店 喜欢楼下的私人海滩 干净 ', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '小区里一共有十栋楼 有些是家应酒店统一管理的 有的是私人买下出租的。这个链接就是私人的 所以干净程度和设施比起酒店运营的就差远了 厕所反味也很厉害。还是酒店的好', '短评打分': 3}
{'短评内容': '太贵了，周末和平时价格相差太大了！性价比我认为不是很合适！', '短评打分': 2}
{'短评内容': '房间内部与跟网上的一样 这是早上起晚了 看到的日出 屋里环境特别舒适 楼下就是海 玩的特别开心 也放心 小区内也特别安全 六日游玩人挺多的 但是这里是私人海域 不会有拥挤感 特别惬意 ', '短评打分': 5}
{'短评内容': '干净，安静', '短评打分': 5}
{'短评内容': '很满意的住宿经历，房间干净整齐，面朝大海，海滩人也不多。', '短评打分': 5}
{'短评内容': '不错的选择非常非常感谢！下次一定记得去！', '短评打分': 4}
{'短评内容': '私家海滩很好，就是内部设施有待维护，写着有无线，结果去了也没有。还要换房间，换的房间又没有冰箱和电磁炉。卫生间还是堵的。', '短评打分': 4}
{'短评内容': '房间格局很好，面积也很大，很舒服，坐在房间内就可以看到大海的感觉真好！', '短评打分': 5}
{'短评内容': '整个小区位置很好，环境很好，有私家沙滩，房间适合家庭度假，180度观海，小区内还有灯光蓝球，网球埸，锻炼休闲住的惬意!', '短评打分': 3}
{'短评内容': '房间和小区环境还是不错的，预定的三室一厅大房间，客厅和卧室都可以看到海景；有专属的海滩，虽然狭窄了点，但人不会太多；房间还是很干净整齐的。\n不足是：结帐刷卡不太方便，要跑到另一个前台；联营的餐厅本说有早餐，结果下雨天不做早餐，只能两家大小都吃泡面；前台不能存放行李，晚上六点多火车，只能退房后带着行李跑来跑去。服务有待改善！', '短评打分': 5}
{'短评内容': '私人海滩不错，离酒店很近，出门就是。房间还可以，算干净！', '短评打分': 5}
{'短评内容': '周日入住了该酒店,是酒店式公寓,设施良好,和图片上一样.房间应该是3-4星水平,非常舒适.看海效果很好,在床上\\客厅都可以看见大海,爽!有私家海滩,不大 ,人少.只是价格偏贵,而且这周发现房价竟然下降了,郁闷呀.不过也算值了,毕竟很舒适.', '短评打分': 5}
