{'短评内容': '帮朋友订的，一般性。', '短评打分': 5}
{'短评内容': '酒店附近很安静，虽然从门面看起来没有其他星级酒店那样堂皇美丽，可是在旅游旺季，它们的酒店服务依然很好，卫生很好，设施等一切都很好。本人比较满意的，尤其是在旅游旺季的时候，能住到这里。很不错的...', '短评打分': 5}
{'短评内容': '酒店设施完善，周边交通便利，服务热情，床不是很舒服，能感觉到床垫子里的弹簧。', '短评打分': 5}
{'短评内容': '今年国庆定的房，服务员比较热情，房间干净整洁，自身有餐厅，但不提供早餐，有点小遗憾，但边上就有很多小饭店，早点很多的，这里交通位置比较方便，距离火车站、钟鼓楼、大雁塔、陕西历史博物馆的路程差不多，都是大约十一二元的费用，如果是登城墙步行十几分钟就到了，很方便的。', '短评打分': 5}
{'短评内容': '设施有点陈旧，不过还算干净卫生，地理位置不错。就是大堂的服务员很让我无语，问了一些附近相关吃、停车（酒店不能停车）的问题，都没有热心回答。', '短评打分': 5}
{'短评内容': '已经入住、满意', '短评打分': 3}
{'短评内容': '服务一般，床太小', '短评打分': 3}
{'短评内容': '总体感觉很不错！对得起3星级的规格！很干净，很安静，很宽敞！价格便宜！', '短评打分': 5}
{'短评内容': '我己入住', '短评打分': 3}
{'短评内容': '\n条件还算不错，位置也挺方便。安东街上也有很多吃饭的地儿', '短评打分': 3}
{'短评内容': '房间不是很大，不过隔音还算不错，住着挺舒适的，而且位置好出行方便虽然不太好找.', '短评打分': 5}
{'短评内容': '价格便宜，而且免费上网，适合我，而且服务也很到位，有需要帮助时随叫随到.', '短评打分': 5}
{'短评内容': '客房的卫生感觉做得不是很好，有些感觉服务员不是很认真，房间有一些酶渍，没有打扫干净，其它各方面还好.', '短评打分': 5}
{'短评内容': '酒店位置不是很好找，在巷子里，出入不是很方便因为路比较窄，不过服务很周到.', '短评打分': 3}
{'短评内容': '客房通风不是太好，感觉室内有些潮湿的感觉.应该及时通通风，这样住着会更舒服一些', '短评打分': 5}
{'短评内容': '设施有些陈旧，而且配置也不是很好完善，虽然是新酒店，不过还是有不到位的地方，其它各方面还好.', '短评打分': 3}
{'短评内容': '客房的硬件设施比较齐全，而且干净整洁，住着也感觉挺舒适的，条件还算不错.', '短评打分': 5}
{'短评内容': '条件不错，价格适中，适合人群还是比较多的，条件还可以，舒适度不错.', '短评打分': 5}
{'短评内容': '性价比高，感觉物有所值而且条件也特别好，对于商务出差来讲算是比较符合要求.', '短评打分': 5}
{'短评内容': '酒店位置不太好，而且周边小摊比较多，本身路也不宽再加小摊摆放就显得更窄了，出行不太方便，室内环境还好.', '短评打分': 5}
