{'短评内容': '不错，下次再来', '短评打分': 5}
{'短评内容': '酒店离火车站挺近的，就10分钟的士，环境，卫生都挺好的，就是没有电风吹，三星级宾馆，这样的价格很合算了，', '短评打分': 4}
{'短评内容': '住的豪华大床房，房间比较小，酒店设施陈旧。酒店后面好像有个批发市场，早晨比较吵。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': 'Wi-Fi极差', '短评打分': 4}
{'短评内容': '还可以，配了早餐。', '短评打分': 4}
{'短评内容': '单人间有点小，其他还好。出行挺方便的，含早餐。', '短评打分': 4}
{'短评内容': '性价比很不错的酒店，不仅交通方便，到贸易广场买一些江西的土特产仅100多米路程。', '短评打分': 5}
{'短评内容': '就是 酒店有点久了，其次是不知道房间那么小的 还是感觉。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '卫生很干净，服务很周到，就是网速有点慢。', '短评打分': 3}
{'短评内容': '酒店位置很不错，交通也很方便！就是早餐比较普通，比较早。', '短评打分': 5}
{'短评内容': '酒店环境蛮不错的，价格很实惠，地段也很好，唯一就的房间小了点，前台的服务很好。下次还会继续入住', '短评打分': 5}
{'短评内容': '房间价格可以，交通比较方便。房间卫生也还可以。就是中央空调比较差，噪音很大。', '短评打分': 5}
{'短评内容': '价格位置还比较方便，客房卫生还可以。但是中央空调比较陈旧，噪音很大，如果开着很影响睡眠！', '短评打分': 5}
{'短评内容': '酒店比较干净，比较新，住的感觉不错，交通也比较便利。', '短评打分': 5}
{'短评内容': '交通便利，价格实惠，不错的酒店。床的毛巾都看上去比较干净。', '短评打分': 5}
{'短评内容': '当时图办事方便，订了这个酒店。一踏进酒店房间就后悔了，所谓的豪华间相当破旧，卫生状况极差，椅子上的烟灰等垃圾都没有清理，根本就不敢坐或者放置衣物。睡在床上，身体痒了一个晚上。', '短评打分': 1}
{'短评内容': '不错，三星级标准的，性价比很好，下次来还住这里。', '短评打分': 5}
{'短评内容': '酒店位置好，交通方便，但周边购物和吃饭不方便，靠近批发市场和货运市场，很乱。服务态度胡不错，要是临时出差住下还是不错的。', '短评打分': 5}
{'短评内容': '酒店还不错的，下次出差还来。', '短评打分': 3}
{'短评内容': '条件还可以，早餐还不错，可以推荐一下。呵呵', '短评打分': 5}
{'短评内容': '酒店房间干净，也不吵，值得这个价格，而且还有免费的瓶装水和小吃（饼干和阿尔卑斯奶糖）。早餐比较丰富，而且味道不错，只缺少点水果。不过加了20块钱带的电脑不怎么样，太慢了。', '短评打分': 5}
{'短评内容': '酒店不错，环境、硬件、服务，还有免费早餐提供，并有饼干、糖果等，出差的好选择，下次还会入住。晚上会有电话问询特殊服务，快餐160，全套260，呵呵！', '短评打分': 5}
{'短评内容': '说好有宽带怎么没电脑呀', '短评打分': 3}
{'短评内容': '作为一家三星酒店，这样已经很不错了。强烈推荐！', '短评打分': 5}
{'短评内容': '太偏，环境舒适性一般，指引不规范，感觉不到是三星的，', '短评打分': 1}
{'短评内容': '我们定了三间豪华双标房，共住了三晚，总体感觉不错。房间蛮大，很安静，也按我们的要求做过无烟处理。  其他设施都可以，只是907号房卫生间没有浴帘，（可能浴缸上挂浴帘的横杆坏了，拆掉后没有及时安装更新) 因为没有浴帘，导致淋浴时水花四溅，卫生间里一片潮湿。  还有就是早餐不太理想，且三天都是同样的食品，没有任何变化，与酒店三星的标准有一定距离。  以上如能及时调整，还是蛮不错的。  值得表扬的是酒店', '短评打分': 5}
{'短评内容': '離汽車客運站近,出行方便.服務人員親切,房間空間大,安靜.只是設備較為老舊.', '短评打分': 5}
{'短评内容': '交通方便，干净卫生，服务不错，值得推荐！', '短评打分': 5}
{'短评内容': '不错，地理位置方便，酒店价格便宜，干净卫生，值得推荐', '短评打分': 5}
{'短评内容': '服务很好   环境很好  我很满意~~！', '短评打分': 5}
{'短评内容': '不错，但离汽车站很远，并非订房间时所说的一公里，足有五公里。', '短评打分': 5}
{'短评内容': '怀境不错，服务挺好，', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '靠近汽车站，交通还算方便，但靠近赣州市区东边，服务态度还不错', '短评打分': 5}
{'短评内容': '房间有点小，不过性价比不错。', '短评打分': 3}
{'短评内容': '房间设施以及服务蛮不错的，距离汽车站很近，就是吃饭的地方太少了。', '短评打分': 5}
{'短评内容': '酒店的位置还可以，周边有个大批发市场.就是早餐没有亮点。', '短评打分': 5}
{'短评内容': '酒店附近交通发达,离汽车站也近总体感觉不错,房子里没有无线上网。', '短评打分': 5}
{'短评内容': '酒店附近交通发达,离汽车站也近总体感觉不错', '短评打分': 5}
