{'短评内容': '总体上不错，只不过在顶楼的话外面的空调噪音有点大', '短评打分': 5}
{'短评内容': '电视不清楚，遥控不好使，床单感觉不怎么干净，性价比还行', '短评打分': 5}
{'短评内容': '还算不错……比较实惠吧……', '短评打分': 3}
{'短评内容': '还不错 离交通大学很近 吃烧烤稍微有点远', '短评打分': 5}
{'短评内容': '电视不清楚，遥控不好使，床单感觉不怎么干净，总之住过旅馆中性价比最差', '短评打分': 1}
{'短评内容': '有点旧，不过还行，水貌似很热，不能调。别的都还好，下次希望前台能快一点', '短评打分': 5}
{'短评内容': '去交大办事很方便，离西直门地铁2站地，就是房间只能说很一般，隔音效果不也不好，这个价位将就可以接受，要能重新装修效果会很好。', '短评打分': 5}
{'短评内容': '实在是挺差的，哪方面也不具备，价格我在上海住的莫泰的也是这价，没法比', '短评打分': 1}
{'短评内容': '条件太差了，墙皮全掉了，住着感觉也不安全。', '短评打分': 1}
{'短评内容': '距离北京动物园海洋馆，地理位置相当占优势，走路不到5分钟。酒店的正门不是很起眼，在一群小商铺之间，室内热水、空调都可以使用，很方便，价格经济实惠。就是房间装修有些破旧，对于家庭型出游居住，还算不错。', '短评打分': 5}
{'短评内容': '，，，还不错吧，符合价格。', '短评打分': 3}
{'短评内容': '无法形容，电视空调电话算是摆设！房间陈旧，垃圾的无以伦比。唉。。', '短评打分': 3}
{'短评内容': '去得比较晚，可能位置不错的房间都让别人捷足先登了吧...', '短评打分': 3}
{'短评内容': '去动物园比较方便，但是卫生条件不是很理想', '短评打分': 5}
{'短评内容': '房间质量一般', '短评打分': 3}
{'短评内容': '太差了，又脏又乱，50块钱的招待所也比这个强！', '短评打分': 1}
{'短评内容': '不怎么样，7点以后才有热水洗澡，房间很冷，隔音效果不太好……', '短评打分': 3}
{'短评内容': '花了230元订了个行政商务房，到店后服务员给了间一楼的房间，破败的墙纸，窗户对面参观的厨房间出巨大的噪音，要求换了一间。窗户是坏的，枕头一白一黑，地面斑驳，下水道的臭味弥漫，我怀疑这商务房就这水准？八成是被他们的服务于拿标间（标价180元）掉包了，可只要别人不说你的是什么标准的房间，能有什么办法呢？此次住宿很郁闷，有种上当受骗的感觉。这个地段还是有点绕了，但是去长城的话，换乘比较方便。但此附件住宿', '短评打分': 1}
{'短评内容': '条件不是特别好。不过地理位置和价格已经不错了', '短评打分': 3}
{'短评内容': '招牌很小，门口的106车也人很多，离地铁口很远。电梯很秀真，最多装3个人。我定的经济间，没窗户倒也罢了，地板都坏了，地漏里一阵阵的往上泛臭味就让人受不了了。离学校很近，周围东西很全且物价不高。要是带孩子来动物园玩住一宿还是行的。离动物园北门太近了。', '短评打分': 1}
{'短评内容': '比较安静,尚可.', '短评打分': 3}
