{'短评内容': '房间挺不错的，发一张酒店房间实图，干净整洁卫生，挺好的。', '短评打分': 5}
{'短评内容': '酒店位置很方便，就在游客中心旁边几百米。而且硬件设施很不错，前台服务态度态度也很好。', '短评打分': 5}
{'短评内容': '一般化，比家庭宾馆好一些，早晨厨房排烟声大。', '短评打分': 3}
{'短评内容': '物美价廉，很好的家庭酒店', '短评打分': 5}
{'短评内容': '服务员还催退房……真是无语了，12点自然会退阿，这也要催，只能睡一晚应付，早晚都吵，大早上的就敲门搞卫生问退房不，也是醉了。', '短评打分': 2}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '睡觉吵，服务不好，看到你没人给你打招呼，酒店用品狠垃圾，武隆最差酒店', '短评打分': 1}
{'短评内容': '酒店位置不太好找，酒店不是很大，临街房子有点吵，不过酒店很干净，服务员很热情，还是挺满意的', '短评打分': 5}
{'短评内容': '非常差，位置偏僻，价格却不便宜，服务态度差，房间也不整洁，就是一个不正规的小旅馆。', '短评打分': 1}
{'短评内容': '出乎意料的好 房间很大很干净 地点也方便 真心不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这个季节出游，房间很大，价格也便宜', '短评打分': 5}
{'短评内容': '此家酒店是无良店家，大家千万不要入住哦。本人于2015年8月25日通过携程团购该店家2间标准间。结果，9月3日到店，店家说只收到1间标间的确认单，且已满房。明明本人收到了2间房的确认信息。后来本人致电携程要求1间退订，另外推荐附近一家酒店，并以现金入住。结果，携程与店家沟通无果，店家不同意退1间房费。明明都没有入住，店家居然昧着良心确认入住。携程客服也是吃屎的，明明预订都有电话录音，居然说无法查实', '短评打分': 3}
