{'短评内容': '还不错的酒店，价格便宜，位置不错。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '很好还不错', '短评打分': 5}
{'短评内容': '住了一周了，服务和酒店还不错，续租', '短评打分': 4}
{'短评内容': '还行，比想象的好', '短评打分': 5}
{'短评内容': '酒店位置较佳，停车方便。周边配套齐全。出行饮食均较为方便。房间干净豪华，房内设备齐全。周边娱乐设施完备，吃饭方便', '短评打分': 5}
{'短评内容': '酒店在浙江还可以，有点旧，设施还算齐全', '短评打分': 4}
{'短评内容': '适合出差，平阳本地没有大的连锁酒店，这个算好的', '短评打分': 4}
{'短评内容': '还不错的，酒家很客气', '短评打分': 5}
{'短评内容': '挺好的，还不错，还可以，给个好评先，忘了评价了之前，', '短评打分': 5}
{'短评内容': '挺好的，卫生，前台服务很热情', '短评打分': 5}
{'短评内容': '太差，隔音太差，大设备）好像水泵）声音、大货车声音、狗叫声、马桶漏水声音，这些噪音整夜不断，尤其是大货车声音又沉又刺耳。马桶坏了冲不了水。一个字太差，整晚睡不好……', '短评打分': 2}
{'短评内容': '有点旧了，还比较凑活  服务还行', '短评打分': 3}
{'短评内容': '平阳主要没什么宾馆', '短评打分': 3}
{'短评内容': '继续努力吧', '短评打分': 5}
