{'短评内容': '很好，以后经常来', '短评打分': 5}
{'短评内容': '一如既往地好，干净卫生！', '短评打分': 5}
{'短评内容': '网速太慢了，其他还行', '短评打分': 5}
{'短评内容': '网速太慢了，其他还行。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店是老酒店了，但是总体来说还可以呢！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '无语', '短评打分': 3}
{'短评内容': '地点方便 附近吃饭的地方很多 价格实惠', '短评打分': 5}
{'短评内容': '同比酒店也一般吧.不可以在当地.', '短评打分': 4}
{'短评内容': '空调有点差', '短评打分': 4}
{'短评内容': '再次入住，交通便利，房间干净，值得推荐！附近购物，吃饭很方便。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不错，下次还会住', '短评打分': 5}
{'短评内容': '还不错，就是退房时开不了发票', '短评打分': 4}
{'短评内容': '还好啦', '短评打分': 4}
{'短评内容': '很好很好，酒店位置很好，靠近广场，吃饭的地方很多。酒店也很干净，房间设施不错，下次还会再来。', '短评打分': 5}
{'短评内容': '很好，很好，在南疆是很好的酒店了。就是早餐有点差，而且收的时间太早了，10点就结束了。影响睡眠', '短评打分': 5}
{'短评内容': '很不错，在该市应该是数得着的了。。景观电梯可鸟瞰世纪广场，', '短评打分': 5}
{'短评内容': '酒店的位置还不错，早餐也还算丰富。装修有些老了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店的早餐还算丰富，住在靠边的房间了，这个时间段暖风没有了，感觉有些冷', '短评打分': 5}
{'短评内容': '实在不怎么样，早餐连水果都没有，浴室地漏是坏的，洗个澡整个洗手间都是水。在乌鲁木齐习惯住在鸿福，来到这里，太令人失望了。', '短评打分': 1}
{'短评内容': '本酒店交通便利,酒店设施单价适中，在市中心，', '短评打分': 5}
{'短评内容': '酒店不是一般的差，酒店服务人员的素质更差，而且酒店里面的毛巾有股异味，真是个很孬的酒店，强烈不推荐入住，以上所说属实，我用人格担保。这是一家垃圾酒店。', '短评打分': 1}
{'短评内容': '硬件设施不是很好，卫生还可以，位置好出行还算方便，整体来讲还可以.', '短评打分': 5}
{'短评内容': '性价比不错的酒店，下次入住还是会考虑的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错的酒店，下次去还是可以考虑的！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '当地来说算是可以的啦，比起其他酒店这个还可以接受，毕竟是上星级的了。房间有些小。行政标间布局不是太好。', '短评打分': 5}
{'短评内容': '还行吧，早餐种类看着挺多但是硬货少', '短评打分': 3}
{'短评内容': '房间不错，很暖和，也非常安静，早餐比较丰富，值得推荐。', '短评打分': 5}
{'短评内容': '处于阿克苏市中心地带，早餐不错，比较丰富。', '短评打分': 5}
{'短评内容': '设施卫生还可以环境还好，酒店离市区很近交通也还算方便，新疆酒店服务普遍慢一些还可以吧，但是价格还是算比较贵的了。', '短评打分': 3}
{'短评内容': '房间设施很陈旧了而且卫生也就一般， 酒店的位置还可以，服务也不怎么样。价格也很贵。', '短评打分': 1}
{'短评内容': '还挺干净，服务良好，设施比较齐全，服务态度也很好', '短评打分': 5}
{'短评内容': '酒店地处繁华地段，出门餐饮、购物非常方便，方便出行，早餐特别丰盛。推荐该酒店。 ', '短评打分': 5}
{'短评内容': '行政楼层空调故障，两夜三天都没修好，大夏天的~~~~夜里热醒了好几次', '短评打分': 1}
{'短评内容': '就在市中心，阿克苏广场边上，有个2-3十米远，方便停车，大堂很气派。房间里有挂试的吹风机', '短评打分': 5}
{'短评内容': '房间设施有点旧，卫生还可以，位置还行，出行还算是比较方便的，服务还不错，我觉得这家酒店性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '酒店的设施条件很一般了，服务卫生方面还是不错的，价格方面比较合适的。', '短评打分': 5}
{'短评内容': '酒店各方面服务都挺好的,价格也很实惠,住着挺满意的', '短评打分': 5}
{'短评内容': '这家酒店在那边还算不错的了，服务很好，环境也不错挺干净的，位置也不错，交通很方便', '短评打分': 5}
