{'短评内容': '旧', '短评打分': 3}
{'短评内容': '设施太旧。', '短评打分': 2}
{'短评内容': '早餐不错，只是七点才开始，如果再提前半小时最好了。酒店整体环境很好，很跟小公园似的。房间设施较陈旧。', '短评打分': 5}
{'短评内容': '给领导订的，还不错！', '短评打分': 5}
{'短评内容': '环境好，服务也不错，，早歺还行，但是，中午的自助歺太差了，稍微晚点没有吃的了，自助歺还不加了，希望可以改进', '短评打分': 5}
{'短评内容': '老，旧，但是位置好，服务不错', '短评打分': 5}
{'短评内容': '自助餐特好', '短评打分': 5}
{'短评内容': '出差时的东营 在网上订了这家酒店 酒店挺大的 但没什么人 讲真 一个人住好怕怕怕怕怕怕  刚入住的时候楼道里一个灯都没有也没有人 我拿手机的手电筒照到的房间 Wi-Fi信号特别差 感觉与世隔绝了 ', '短评打分': 3}
{'短评内容': '暖气特别好。酒店装修一看就是政府接待型，贵宾楼没有住，应该还OK的………', '短评打分': 4}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '房间设施全，床很舒服', '短评打分': 5}
{'短评内容': '不错不错不错不错。紫薯布丁.exe', '短评打分': 5}
{'短评内容': '酒店有点旧，早饭还可以，交通不是很方便。', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 4}
{'短评内容': '不错不错', '短评打分': 4}
{'短评内容': '不错不错', '短评打分': 4}
{'短评内容': '装潢太差了，那是四星哦，房间不足20平，称25平，第一次从网上订到如些的酒店', '短评打分': 1}
{'短评内容': '服务一般，设施一般，电视较破旧，房间很小，早餐也不丰富-谊宾楼', '短评打分': 1}
{'短评内容': '服务号 不错 值得推荐\n环境好  干净整洁\n自助餐也不错', '短评打分': 5}
{'短评内容': '不错。值得推荐', '短评打分': 3}
{'短评内容': '酒店很老，一般情况。环境嘛，四星级酒店，还不错喽。\n值得推荐。', '短评打分': 5}
{'短评内容': '不错，温馨舒适', '短评打分': 3}
{'短评内容': '好几个楼 有点乱 早餐还是不错的，住过好几次了', '短评打分': 5}
{'短评内容': '酒店一般吧，不过性价比还算可以，可以一住', '短评打分': 5}
{'短评内容': '很不错的一个酒店，，，到很晚都有饭吃。。哈哈\n', '短评打分': 5}
{'短评内容': '酒店设施齐全干净卫生物有所值', '短评打分': 3}
{'短评内容': '位置不错，干净舒服，早餐比较丰富，价格合理，来东营就住这儿。', '短评打分': 5}
{'短评内容': '价格合理，早餐很好，下次还住那儿，并向各位推荐此酒店。', '短评打分': 5}
{'短评内容': '性价比还是比较高，院内宽敞，卫生条件不错', '短评打分': 5}
{'短评内容': '比想象中的性价比要高，房间比较敞亮。周围环境也相对不错，还带个花园。', '短评打分': 5}
{'短评内容': '酒店位于东城区市中心，交通购物方便，宾馆外部环境较好。', '短评打分': 5}
{'短评内容': '位置方便，环境优美，服务周到，价格适中，性价比高。下次来还住这里。', '短评打分': 5}
{'短评内容': '较差，离四星标准差远了，我们九点之前去吃早餐没吃到，说是改点了，也不提前通知', '短评打分': 1}
{'短评内容': '＋如果能提升早餐质量就更好', '短评打分': 3}
{'短评内容': '东营宾馆非常好，性价比高，服务一流。尤其是那个戴眼镜的高个子服务生，态度和蔼可亲，讲解出行线路清楚可信。总之很好，下次还住在这里。', '短评打分': 3}
{'短评内容': '环境还可以,态度也不错.', '短评打分': 3}
{'短评内容': '内部装修一般，但地段还不错，自驾车方便点。', '短评打分': 5}
{'短评内容': '在东营来说算是很不错的了，属于政府接待中心。只是价钱对于正常出差的来说有点贵，但环境还是不错的，服务也不错。', '短评打分': 5}
{'短评内容': '服务很不错，环境也不错，总之两天的住宿很满意！', '短评打分': 5}
{'短评内容': '环境、服务都不错，早餐很丰富，下次还会考虑', '短评打分': 5}
{'短评内容': '我推荐这家酒店不是因为价格便宜，它的价格并不便宜，房间里还有淡淡的霉味。我主要推荐是因为它的外景很漂亮，就像江南的园林一样规划的很漂亮。尤其是宾馆从1500米的地下打出的水洗澡你甚至不用任何的护肤品皮肤也非常的光泽。还有就是宾馆的早餐非常的丰盛，尤其推荐小油条非常的可口。', '短评打分': 5}
{'短评内容': '不错，楼下环境很好，早餐和午餐自助很丰富，服务也不错', '短评打分': 5}
{'短评内容': '酒店在东营算不错的了', '短评打分': 5}
{'短评内容': '非常不错的酒店，自助餐也不错，设施及环境都好，推荐大家入住。', '短评打分': 3}
{'短评内容': '位置一般，服务还好，设施稍显陈旧。大堂服务不错。', '短评打分': 1}
{'短评内容': '应该是政府定点的，有很大的院子方便停车。仅此！', '短评打分': 5}
{'短评内容': '房间小。大堂新装修了，房间局部装修。服务非常好。推荐。性价比高。', '短评打分': 5}
{'短评内容': '酒店的装修布局很不错，房间很宽敞舒适。配置很好。', '短评打分': 5}
{'短评内容': '服务特别好，可以看得出酒店的管理很规范，员工都非常热情有礼貌。', '短评打分': 5}
{'短评内容': '酒店刚开业不太久，感觉很新，卫生很好很干净。', '短评打分': 5}
{'短评内容': '酒店占地很大，不用考虑停车的问题，除了早餐稍显简单，其他都是不错的', '短评打分': 5}
{'短评内容': '性价比非常高的一家酒店.硬件和软件条件非常好，比较达标.', '短评打分': 5}
{'短评内容': '我感觉酒店很干净，感觉很舒适，设施方面也比较齐全，该有的都有了.', '短评打分': 5}
{'短评内容': '酒店超大,舒适.大堂经理/前台/餐厅/旅游中心的服务员热情周到.\r\n赞一个.', '短评打分': 5}
{'短评内容': '这家酒店的服务人员态度很热情，感觉很很专业，房间卫生打扫的也比较干净，设施方面也比较齐全.', '短评打分': 5}
{'短评内容': '这家酒店的配套的餐饮，娱乐都挺不错的，服务人员也挺热情，说话服务都挺规范的。餐厅每年有时还会举办饮食节。感觉挺新鲜的。', '短评打分': 5}
{'短评内容': '酒店的环境不错，花园式的，周边很多树，周边还有个人工湖，感觉挺漂亮的，周边交通也挺便利的。', '短评打分': 5}
{'短评内容': '我觉得这家酒店的价格挺实惠的，早餐也很好，挺丰盛的，味道也不错。', '短评打分': 5}
{'短评内容': '环境不错，设施也不错，就是服务态度太板，大概是政府招待所的缘故。', '短评打分': 5}
{'短评内容': '什么都好，价钱也不错，就是网路的防火墙太强，无法自动获取IP地址', '短评打分': 5}
